timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722623400,Aug 02 2024 - 6:30pm,complete,,Grazer AK,Salzburg,Julian Weinberger,1.0,0.0,0.0,0.6,1.33,2,3,5,5,2,3,"10,18","4,6,45'2",3,5,2,0,1,0,0,2,0,1,11,22,6,7,3,11,9,8,29,71,0.0,0.0,1.07,1.95,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0,5.0,1.29,1.16,1.46,2.32,4.0,1.8,1.95,Merkur Arena (Graz),S6350F7A6EE
1722697200,Aug 03 2024 - 3:00pm,complete,,Rheindorf Altach,Wattens,Sebastian Gishamer,1.0,0.0,0.0,0.83,1.0,1,2,3,1,0,1,73,"8,81",6,3,2,0,3,1,1,1,0,4,16,14,3,4,7,4,12,16,51,49,0.0,0.0,1.26,1.13,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.85,3.3,4.0,1.4,2.05,4.2,8.5,2.0,1.75,CASHPOINT Arena (Altach),S63567272F6
1722697200,Aug 03 2024 - 3:00pm,complete,,Hartberg,LASK Linz,Markus Hameter,1.0,0.0,0.0,1.83,1.4,1,2,3,1,0,1,60,"29,57",9,4,2,0,1,0,1,1,1,0,10,13,4,8,3,4,17,8,40,60,0.0,0.0,1.09,1.6,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.9,3.25,2.25,1.28,1.8,3.25,6.0,1.7,2.05,PROfertil ARENA (Hartberg),S6350D050FA
1722706200,Aug 03 2024 - 5:30pm,complete,,Wolfsberger AC,Austria Klagenfurt,Chiristian-Petru Ciochirca,1.0,0.0,0.0,1.33,1.4,4,1,5,3,3,0,"10,21,23,78",82,7,3,2,0,2,0,1,1,0,2,0,-1,-1,-1,-1,-1,16,10,45,55,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.85,3.6,3.8,1.3,1.85,3.5,6.5,1.8,1.95,Lavanttal Arena (Wolfsberg),S635D4614D7
1722783600,Aug 04 2024 - 3:00pm,complete,,Rapid Wien,Sturm Graz,Christopher Jäger,1.0,0.0,0.0,2.67,2.0,1,0,1,1,1,0,29,,7,4,3,0,3,0,1,2,0,3,19,8,6,4,7,1,13,17,57,43,0.0,0.0,1.7,0.84,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.98,3.41,2.31,1.28,1.85,3.1,6.0,1.7,2.05,Allianz Stadion (Wien),S63500FDFC9
1722783600,Aug 04 2024 - 3:00pm,complete,,Blau-Weiß Linz,Austria Wien,Alexander Harkam,1.0,0.0,0.0,1.8,0.83,1,0,1,0,0,0,78,,7,7,3,0,5,0,2,1,0,5,8,18,3,5,4,8,9,19,39,61,0.0,0.0,0.92,1.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.12,3.24,2.32,1.3,1.91,3.42,6.6,1.8,1.95,Hofmann Personal Stadion (Linz),S635FBD14F2
1723302000,Aug 10 2024 - 3:00pm,complete,,LASK Linz,Rheindorf Altach,Walter Altmann,2.0,0.0,0.0,1.0,0.67,1,2,3,2,1,1,18,"27,69",6,1,1,0,4,0,0,1,1,3,16,9,5,4,6,2,5,15,80,20,0.0,0.0,1.73,0.76,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,3.46,4.01,1.28,2.03,3.3,6.25,1.91,1.77,Raiffeisen Arena (Linz),S63567824BE
1723302000,Aug 10 2024 - 3:00pm,complete,,Wattens,Grazer AK,Harald Lechner,2.0,0.0,0.0,1.0,0.43,0,0,0,0,0,0,,,6,1,4,0,4,0,2,2,1,3,11,13,2,2,3,7,8,19,58,42,0.0,0.0,0.78,0.98,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.33,3.57,2.86,1.19,1.83,2.51,4.45,1.53,2.38,Tivoli Stadion Tirol (Innsbruck),S635B9BA4B2
1723311000,Aug 10 2024 - 5:30pm,complete,,Salzburg,Blau-Weiß Linz,Safak Barmaksiz,2.0,0.0,0.0,2.5,0.71,5,1,6,3,2,1,"15,34,62,73,77",12,6,1,1,0,2,0,1,0,1,1,31,4,10,2,9,1,4,8,79,21,0.0,0.0,2.5,0.55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.25,5.79,9.98,1.17,1.53,2.25,4.07,2.0,1.75,Red Bull Arena (Wals-Siezenheim),S635FEA6774
1723388400,Aug 11 2024 - 3:00pm,complete,,Austria Wien,Wolfsberger AC,Stefan Ebner,2.0,0.0,0.0,2.67,1.5,3,1,4,1,0,1,"69,90'3,90'6",26,12,3,4,0,1,1,3,1,1,1,18,11,8,4,2,4,14,8,67,33,0.0,0.0,1.73,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.62,3.52,1.25,1.85,3.0,5.75,1.7,2.05,Generali Arena (Wien),S6352CEEC36
