timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722019500,Jul 26 2024 - 6:45pm,complete,,Club Brugge,KV Mechelen,Erik Lambrechts,1.0,0.0,0.0,1.83,1.33,1,1,2,0,0,0,51,65,7,2,1,0,2,0,0,1,0,2,30,6,9,3,9,2,14,8,58,42,0.0,0.0,2.35,0.78,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4,4.3,7.5,1.18,1.64,2.45,4.33,1.8,1.95,Jan Breydelstadion (Brugge),S635B88D137
1722088800,Jul 27 2024 - 2:00pm,complete,,FCV Dender EH,Union Saint-Gilloise,Wesli De Cremer,1.0,0.0,0.0,1.14,0.71,0,0,0,0,0,0,,,4,6,4,0,2,0,0,4,1,1,6,13,0,5,4,5,14,7,31,69,0.0,0.0,0.45,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.5,4.75,1.46,1.16,1.53,2.25,4.2,1.7,2.05,DENDER Football Complex (Denderleeuw),S6350109242
1722096900,Jul 27 2024 - 4:15pm,complete,,Beerschot-Wilrijk,OH Leuven,Bert Put,1.0,0.0,0.0,0.83,0.86,0,0,0,0,0,0,,,2,6,2,0,1,0,0,2,0,1,2,10,0,3,2,5,16,15,51,49,0.0,0.0,0.45,1.07,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,3.25,2.27,1.25,1.73,3.1,5.5,1.67,2.1,Olympisch Stadion (Antwerp (Anvers)),S635CD66BBE
1722105900,Jul 27 2024 - 6:45pm,complete,,RSC Anderlecht,Sint-Truiden,Jasper Vergoote,1.0,0.0,0.0,1.71,0.71,1,0,1,0,0,0,90'2,,6,0,0,0,0,0,0,0,0,0,12,3,4,0,4,3,8,10,66,34,0.0,0.0,1.37,0.27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.57,4.2,5.5,1.2,1.61,2.7,4.75,1.75,2.0,Lotto Park (Bruxelles (Brussel)),S635A1D190D
1722166200,Jul 28 2024 - 11:30am,complete,,KRC Genk,Standard Liège,Lothar D'hondt,1.0,0.0,0.0,2.71,0.67,0,0,0,0,0,0,,,10,1,0,0,4,0,0,0,2,2,22,5,4,2,10,3,12,14,76,24,0.0,0.0,1.58,0.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4,4.3,7.5,1.18,1.6,2.2,4.33,1.67,2.1,Cegeka Arena (Genk),S635037585A
1722175200,Jul 28 2024 - 2:00pm,complete,,KV Kortrijk,KAA Gent,Nathan Verboomen,1.0,0.0,0.0,1.67,1.29,0,1,1,0,0,0,,59,8,4,3,0,2,0,1,2,1,1,17,9,6,3,4,5,10,7,36,64,0.0,0.0,1.43,1.15,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,4.33,1.53,1.16,1.53,2.38,4.2,1.62,2.2,Guldensporenstadion (Kortrijk),S63571FB3FE
1722184200,Jul 28 2024 - 4:30pm,complete,,Sporting Charleroi,Royal Antwerp FC,Lawrence Visser,1.0,0.0,0.0,1.67,1.33,0,1,1,1,0,1,,10,5,6,5,0,2,0,1,4,0,2,13,13,6,5,6,6,15,7,50,50,0.0,0.0,1.65,1.29,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.35,3.5,2.0,1.22,1.65,2.85,5.0,1.62,2.2,Stade du Pays de Charleroi (Charleroi),S6357DB03E4
1722186900,Jul 28 2024 - 5:15pm,complete,,KVC Westerlo,Cercle Brugge,Kevin Van Damme,1.0,0.0,0.0,1.57,0.67,3,0,3,1,1,0,"18,55,64",,6,7,0,0,1,0,0,0,0,1,11,13,7,5,2,4,9,12,48,52,0.0,0.0,1.27,1.51,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.95,3.6,2.15,1.17,1.55,2.35,4.2,1.5,2.5,Het Kuipje (Westerlo),S6353EF9707
1722624300,Aug 02 2024 - 6:45pm,complete,,Union Saint-Gilloise,Beerschot-Wilrijk,Nicolas Laforge,2.0,0.0,0.0,1.83,0.14,3,1,4,2,2,0,"2,42,83",48,4,6,2,0,2,0,1,1,1,1,11,7,5,3,3,1,12,10,54,46,0.0,0.0,1.53,0.78,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.25,5.5,11.0,1.22,1.71,2.9,5.0,2.25,1.6,Stade Joseph Mariën (Bruxelles (Brussels)),S6353E22CBA
1722693600,Aug 03 2024 - 2:00pm,complete,,KV Mechelen,KVC Westerlo,Bram Van Driessche,2.0,0.0,0.0,1.86,1.17,2,4,6,2,0,2,"65,88","18,36,79,90'5",8,4,4,0,4,0,1,3,0,4,13,22,5,10,4,6,14,13,56,44,0.0,0.0,0.96,1.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.85,3.8,3.6,1.12,1.58,2.0,3.6,1.44,2.63,AFAS Stadion (Mechelen (Malines)),S6352E56BF0
