timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1713043800,Apr 13 2024 - 9:30pm,complete,,Internacional,Bahia,,1,0.0,0.0,2.0,0.88,2,1,3,0,0,0,"72,83",70,6,3,4,0,4,0,2,2,1,3,19,10,10,5,7,3,23,12,52,48,0.0,0.0,2.13,1.09,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,3.45,4.5,1.32,1.95,3.5,6.85,1.95,1.8,Estádio José Pinheiro Borda,S6355DCD860
1713043800,Apr 13 2024 - 9:30pm,complete,,Criciúma,Juventude,Bruno Pereira Vasconcelos,1,0.0,0.0,1.44,0.5,1,1,2,1,1,0,36,64,0,4,4,0,6,0,0,4,3,3,11,16,4,5,4,7,9,13,47,53,0.0,0.0,0.99,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.05,3.5,1.41,2.3,4.3,8.4,2.05,1.7,Estádio Heriberto Hülse,S6350CDF1A3
1713052800,Apr 14 2024 - 12:00am,complete,,Fluminense,Bragantino,,1,0.0,0.0,1.5,0.56,2,2,4,1,1,0,"45'4,68","47,52",13,6,3,0,4,0,2,1,2,2,27,17,12,9,10,7,8,17,69,31,0.0,0.0,2.75,1.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.3,4.2,1.35,2.15,3.8,7.62,1.95,1.8,,S635D194E01
1713052800,Apr 14 2024 - 12:00am,complete,,São Paulo,Fortaleza,,1,0.0,0.0,2.19,1.25,1,2,3,0,0,0,84,"66,80",11,4,3,0,3,0,0,3,1,2,17,7,7,3,5,3,10,13,72,28,0.0,0.0,1.75,0.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.3,4.0,1.44,2.35,4.59,8.5,2.05,1.7,Morumbí,S63577C43A9
1713121200,Apr 14 2024 - 7:00pm,complete,,Vasco da Gama,Grêmio,Flavio Rodrigues De Souza,1,0.0,0.0,1.94,0.88,2,1,3,2,2,0,"24,37",68,3,5,5,0,0,0,1,4,0,0,16,10,4,3,7,5,18,9,47,53,0.0,0.0,1.35,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.3,3.2,1.37,2.0,3.93,7.2,1.91,1.91,Estádio Club de Regatas Vasco da Gama,S635E93B003
1713121200,Apr 14 2024 - 7:00pm,complete,,Corinthians,Atlético Mineiro,,1,0.0,0.0,1.81,1.21,0,0,0,0,0,0,,,3,3,8,0,5,1,5,3,3,3,15,9,3,4,7,2,12,13,49,51,0.0,0.0,1.12,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,3.0,2.75,1.51,2.2,5.55,10.0,2.1,1.67,Arena Corinthians,S635D2151E9
1713121200,Apr 14 2024 - 7:00pm,complete,,Atlético PR,Cuiabá,Jonathan Benkenstein Pinheiro,1,0.0,0.0,1.2,0.88,4,0,4,3,3,0,"23,37,39,81",,7,0,0,0,3,0,0,0,2,1,21,3,10,2,6,1,14,9,62,38,0.0,0.0,2.21,0.45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,3.75,6.0,1.43,2.12,4.4,7.9,2.2,1.62,,S6358BC722D
1713121200,Apr 14 2024 - 7:00pm,complete,,Atlético GO,Flamengo,,1,0.0,0.0,0.87,1.47,1,2,3,1,0,1,63,"45'6,90'13",4,4,5,2,3,0,5,2,1,2,12,16,5,3,5,8,10,11,32,68,0.0,0.0,1.21,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.2,3.5,1.8,1.33,1.96,3.45,6.97,1.95,1.8,,S635E5662EF
1713124800,Apr 14 2024 - 8:00pm,complete,,Cruzeiro,Botafogo,,1,0.0,0.0,2.07,1.94,3,2,5,2,1,1,"20,65,90'1","5,83",6,3,4,0,3,1,2,2,2,2,16,7,6,4,4,3,6,9,56,44,0.0,0.0,1.46,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.1,3.4,1.48,2.45,5.12,9.3,2.05,1.7,Estádio Governador Magalhães Pinto,S6353226E07
1713130200,Apr 14 2024 - 9:30pm,complete,,Vitória,Palmeiras,Braulio da Silva Machado,1,0.0,0.0,1.44,1.63,0,1,1,1,0,1,,20,3,9,3,0,5,0,2,1,2,3,14,17,6,5,4,7,13,14,57,43,0.0,0.0,1.33,1.42,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,3.8,1.62,1.31,1.83,3.31,6.6,1.95,1.8,Estádio Manoel Barradas,S635A48A117
1713313800,Apr 17 2024 - 12:30am,complete,23080.0,Bahia,Fluminense,,2,0.0,0.0,2.0,0.81,2,1,3,2,1,1,"34,61",4,4,3,4,0,5,0,2,2,0,5,13,11,6,4,5,3,16,21,40,60,0.0,0.0,1.55,0.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.4,3.5,1.34,1.9,3.66,7.41,1.7,2.05,Arena Fonte Nova,S635C16ECA6
1713391200,Apr 17 2024 - 10:00pm,complete,,Grêmio,Atlético PR,Marcelo de Lima Henrique,2,0.0,0.0,1.56,1.0,2,0,2,1,1,0,"19,51",,9,2,1,0,3,0,0,1,1,2,15,5,8,0,4,4,7,14,48,52,0.0,0.0,1.64,0.6,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,3.25,2.75,1.38,2.1,3.75,7.5,1.91,1.91,Arena do Grêmio,S6353EFD122
1713391200,Apr 17 2024 - 10:00pm,complete,,Bragantino,Vasco da Gama,,2,0.0,0.0,1.63,0.75,2,1,3,1,1,0,"7,78",63,4,6,2,0,0,0,0,2,0,0,18,14,6,4,9,8,14,15,40,60,0.0,0.0,1.76,1.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.5,4.2,1.35,2.0,3.76,7.72,1.8,1.95,Estádio Nabi Abi Chedid,S6354548217
1713394800,Apr 17 2024 - 11:00pm,complete,,Atlético Mineiro,Criciúma,,2,0.0,0.0,1.5,0.88,1,1,2,1,1,0,40,84,9,2,2,0,4,0,0,2,2,2,23,6,7,2,8,4,9,9,68,32,0.0,0.0,1.95,0.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,4.0,7.0,1.26,2.05,3.02,5.65,2.2,1.62,Estádio Raimundo Sampaio,S635A5645EC
1713394800,Apr 17 2024 - 11:00pm,complete,,Palmeiras,Internacional,Lucas Paulo Torezin,2,0.0,0.0,2.19,1.5,0,1,1,1,0,1,,45,6,2,2,0,4,0,0,2,1,3,20,6,4,3,11,3,15,21,68,32,0.0,0.0,1.49,0.79,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.6,6.0,1.35,2.2,3.8,7.5,2.1,1.67,Allianz Parque,S6351ABC572
1713394800,Apr 17 2024 - 11:00pm,complete,,Fortaleza,Cruzeiro,,2,0.0,0.0,2.5,0.81,1,1,2,1,1,0,19,89,7,5,2,0,2,1,0,2,0,3,15,15,4,7,6,6,9,8,39,61,0.0,0.0,1.19,1.64,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.4,4.0,1.42,2.25,4.33,8.5,2.05,1.7,Estádio Governador Plácido Aderaldo Castelo,S6354E85447
1713394800,Apr 17 2024 - 11:00pm,complete,,Juventude,Corinthians,Bruno Arleu de Araujo,2,0.0,0.0,1.63,0.56,2,0,2,0,0,0,"53,59",,6,7,2,1,1,0,0,3,0,1,17,18,9,3,4,11,16,10,45,55,0.0,0.0,1.65,1.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.5,3.0,2.3,1.42,2.88,4.25,8.65,2.25,1.57,,S63531CA63F
1713400200,Apr 18 2024 - 12:30am,complete,,Flamengo,São Paulo,Anderson Daronco,2,0.0,0.0,2.06,1.19,2,1,3,1,1,0,"20,54",79,9,1,1,0,3,0,1,0,2,1,13,11,7,4,4,3,20,19,46,54,0.0,0.0,1.46,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,3.6,6.0,1.33,2.15,3.55,7.0,2.05,1.7,,S635DF0AE24
1713486600,Apr 19 2024 - 12:30am,complete,,Botafogo,Atlético GO,Luiz Flavio De Oliveira,2,0.0,0.0,2.25,0.56,1,0,1,1,1,0,32,,8,8,4,0,3,0,2,2,3,0,14,13,5,4,6,4,13,12,53,47,0.0,0.0,1.4,1.18,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.73,3.5,5.0,1.36,2.08,3.75,7.5,1.95,1.8,Estádio Nilton Santos,S63511E008C
1713639600,Apr 20 2024 - 7:00pm,complete,,Fluminense,Vasco da Gama,Wilton Pereira Sampaio,3,1.0,0.0,1.5,0.75,2,1,3,1,1,0,"10,53",55,2,7,4,0,4,0,2,2,1,3,12,23,9,6,2,9,15,17,58,42,2.75,1.34,1.68,1.65,3.5,100,100,100,50,0,0,100,100,100,19.0,3.0,1.94,3.47,4.11,1.29,1.95,3.34,6.35,1.91,1.91,,S6355ED0A4B
1713648600,Apr 20 2024 - 9:30pm,complete,,Grêmio,Cuiabá,Bruno Pereira Vasconcelos,3,3.0,0.0,1.56,0.88,1,0,1,1,1,0,44,,3,4,4,0,2,0,2,2,2,0,8,15,5,4,3,8,10,5,57,43,1.64,0.45,1.38,1.33,3.0,0,100,50,50,0,50,100,0,100,9.0,4.0,1.72,3.67,5.1,1.35,2.05,3.65,7.0,2.2,1.62,Arena do Grêmio,S635CDDCAFF
1713648600,Apr 20 2024 - 9:30pm,complete,,Bragantino,Corinthians,,3,3.0,0.0,1.63,0.56,1,0,1,1,1,0,5,,3,4,4,0,2,0,3,1,1,1,11,16,4,5,5,8,20,12,35,65,1.76,1.43,1.04,1.52,2.5,50,100,50,0,0,0,50,100,100,11.0,3.0,1.8,3.48,4.9,1.35,2.3,3.75,7.5,1.95,1.8,Estádio Nabi Abi Chedid,S6355758684
1713657600,Apr 21 2024 - 12:00am,complete,,Atlético Mineiro,Cruzeiro,Ramon Abatti,3,1.0,1.0,1.5,0.81,3,0,3,3,3,0,"25,35,45'2",,4,4,2,0,2,0,0,2,0,2,10,11,5,4,3,1,15,17,58,42,1.95,1.64,1.15,0.92,2.0,100,100,0,0,0,0,100,0,100,14.0,5.0,1.91,3.5,4.0,1.42,2.35,4.33,8.5,2.2,1.62,,S6355A85EFE
1713726000,Apr 21 2024 - 7:00pm,complete,,Vitória,Bahia,Raphael Claus,3,0.0,0.0,1.44,0.88,2,2,4,1,1,0,"20,57","69,72",2,7,3,0,3,0,2,1,0,3,14,21,9,8,4,6,12,13,43,57,1.33,1.09,1.61,1.76,2.0,50,50,50,0,0,0,50,50,50,6.0,7.0,2.6,3.2,2.8,1.42,2.15,4.2,8.5,1.8,1.95,Estádio Manoel Barradas,S63579EEBC7
1713726000,Apr 21 2024 - 7:00pm,complete,,Palmeiras,Flamengo,,3,0.0,3.0,2.19,1.47,0,0,0,0,0,0,,,6,5,4,0,5,0,2,2,4,1,13,9,2,4,8,3,22,12,48,52,1.49,1.26,0.98,0.95,2.0,50,50,50,0,0,0,100,50,50,10.0,5.0,2.2,3.13,3.0,1.35,2.05,3.7,7.5,2.0,1.75,Allianz Parque,S635FD81B27
1713726000,Apr 21 2024 - 7:00pm,complete,,Atlético PR,Internacional,Felipe Fernandes de Lima,3,3.0,3.0,1.2,1.5,1,0,1,0,0,0,71,,5,3,4,1,5,0,1,4,4,1,6,8,0,2,5,4,15,15,46,54,2.21,0.79,0.42,0.57,2.5,0,50,50,50,0,50,100,0,50,9.0,4.0,1.83,3.6,4.0,1.36,2.0,3.75,7.5,2.0,1.75,,S635939C87B
1713735000,Apr 21 2024 - 9:30pm,complete,,Botafogo,Juventude,,3,3.0,1.0,2.25,0.5,5,1,6,2,2,0,"4,9,53,61,80",85,5,4,4,0,2,1,2,2,3,0,14,13,7,2,5,5,21,9,55,45,1.4,1.58,1.52,0.86,1.5,50,50,0,0,0,0,100,0,50,12.0,10.0,1.73,3.6,4.75,1.33,2.0,3.66,7.1,2.1,1.67,Estádio Nilton Santos,S63548C3618
1713735000,Apr 21 2024 - 9:30pm,complete,,Atlético GO,São Paulo,Braulio da Silva Machado,3,0.0,0.0,0.87,1.19,0,3,3,1,0,1,,"14,52,76",4,3,4,2,0,0,2,4,0,0,10,20,2,8,4,4,11,9,34,66,1.21,0.91,0.78,1.78,3.0,100,100,100,0,0,0,100,100,100,5.0,12.0,2.8,2.9,2.45,1.39,2.38,4.15,8.1,2.05,1.7,,S63508BDADB
1714244400,Apr 27 2024 - 7:00pm,complete,,Vasco da Gama,Criciúma,Caio Max Augusto Vieira,4,3.0,1.0,1.94,0.88,0,4,4,1,0,1,,"32,47,55,69",5,4,1,0,0,0,1,0,0,0,22,19,6,11,8,5,12,6,58,42,1.35,0.77,1.66,2.0,2.5,100,100,50,0,0,50,100,0,100,5.0,9.0,1.61,3.5,4.6,1.33,2.05,3.7,7.5,2.2,1.62,Estádio Club de Regatas Vasco da Gama,S635DE4855D
1714253400,Apr 27 2024 - 9:30pm,complete,,Cuiabá,Atlético Mineiro,Savio Pereira Sampaio,4,0.0,1.0,0.88,1.21,0,3,3,1,0,1,,"28,61,78",3,10,4,0,4,1,1,3,2,3,6,14,2,6,2,5,10,16,32,68,0.0,0.85,0.52,1.56,0.0,0,0,0,0,0,0,0,0,0,3.0,6.0,3.25,3.0,2.1,1.5,2.37,5.0,10.25,2.25,1.57,Arena Pantanal,S635B56572F
1714262400,Apr 28 2024 - 12:00am,complete,36066.0,Bahia,Grêmio,Braulio da Silva Machado,4,3.0,0.0,2.0,0.88,1,0,1,1,1,0,17,,4,0,2,0,4,2,0,2,1,5,15,4,5,3,5,1,10,15,60,40,1.55,1.03,1.36,0.63,3.0,100,100,100,0,0,100,100,0,100,9.0,4.0,1.91,3.6,4.0,1.33,1.95,3.6,7.0,1.8,1.95,Arena Fonte Nova,S635158CB13
1714312800,Apr 28 2024 - 2:00pm,complete,,Flamengo,Botafogo,Raphael Claus,4,3.0,0.0,2.06,1.94,0,2,2,0,0,0,,"53,90'3",8,3,1,0,4,0,0,1,2,2,16,10,0,4,12,1,11,14,60,40,1.46,0.91,1.26,0.78,4.0,100,100,100,50,50,50,100,100,100,12.0,6.0,1.6,3.61,5.0,1.33,2.03,3.55,6.9,1.95,1.8,,S63562D3464
1714330800,Apr 28 2024 - 7:00pm,complete,,Cruzeiro,Vitória,Fabio Augusto de Sá Junior,4,3.0,0.0,2.07,0.94,3,1,4,0,0,0,"50,58,75",52,10,4,2,0,0,0,0,2,0,0,16,11,7,4,5,6,12,6,54,46,1.46,0.0,1.67,1.11,2.5,50,50,50,50,50,50,50,50,50,6.0,4.0,1.53,3.6,5.5,1.42,2.1,4.33,8.5,2.2,1.62,Estádio Governador Magalhães Pinto,S635E866C40
1714330800,Apr 28 2024 - 7:00pm,complete,,Corinthians,Fluminense,Ramon Abatti,4,1.0,0.0,1.81,0.81,3,0,3,2,2,0,"40,45'2,47",,6,8,4,0,2,0,4,0,2,0,18,14,8,3,4,5,14,13,31,69,1.12,0.99,1.49,1.08,1.5,50,50,50,0,0,50,50,0,50,6.0,13.0,2.3,2.9,2.9,1.44,2.3,4.5,9.0,1.95,1.8,Arena Corinthians,S6357428C43
1714339800,Apr 28 2024 - 9:30pm,complete,18113.0,Fortaleza,Bragantino,,4,1.0,1.0,2.5,0.56,1,1,2,2,1,1,9,40,12,6,1,0,1,0,0,1,1,0,24,11,6,5,10,4,8,6,44,56,1.19,1.97,1.8,1.2,3.0,100,100,50,50,0,0,100,50,100,13.0,6.0,2.1,3.0,3.25,1.35,2.2,3.7,7.35,1.91,1.91,Estádio Governador Plácido Aderaldo Castelo,S6351DB088D
1714339800,Apr 28 2024 - 9:30pm,complete,,Juventude,Atlético PR,,4,3.0,0.0,1.63,1.0,1,1,2,1,1,0,8,73,4,6,2,0,2,0,0,2,0,2,16,16,6,7,6,5,12,15,55,45,1.65,0.6,1.52,1.56,2.0,0,100,0,0,0,0,50,50,100,8.0,6.0,2.8,2.87,2.4,1.42,2.3,4.33,8.5,1.95,1.8,,S635ECBC9B3
1714345200,Apr 28 2024 - 11:00pm,complete,,Internacional,Atlético GO,Edina Alves Batista,4,3.0,0.0,2.0,0.56,1,1,2,0,0,0,55,50,13,0,0,0,4,0,0,0,0,4,23,5,6,3,9,0,13,12,72,28,2.13,1.18,2.04,0.54,2.0,50,50,50,0,0,0,50,50,50,14.0,7.0,1.57,3.8,6.5,1.28,2.1,3.25,6.0,2.1,1.67,Estádio José Pinheiro Borda,S635437161E
1714431600,Apr 29 2024 - 11:00pm,complete,,São Paulo,Palmeiras,Wilton Pereira Sampaio,4,0.0,3.0,2.19,1.63,0,0,0,0,0,0,,,6,4,4,0,3,0,2,2,2,1,17,10,2,4,8,3,12,17,53,47,1.75,1.42,0.99,0.95,2.0,50,50,50,0,0,0,50,50,50,20.0,8.0,2.45,2.9,3.25,1.53,2.6,4.6,9.2,2.2,1.62,Morumbí,S6352D03F55
1714849200,May 04 2024 - 7:00pm,complete,,Fluminense,Atlético Mineiro,Raphael Claus,5,2.0,2.0,1.5,1.21,2,2,4,1,1,0,"4,61","73,79",4,11,5,0,2,0,5,0,1,1,11,20,6,8,3,6,11,18,43,57,2.22,1.21,1.13,1.75,2.5,50,75,75,25,0,0,75,75,75,14.0,9.0,1.86,3.35,3.85,1.36,2.2,3.8,7.0,1.95,1.8,,S6356245850
1714858200,May 04 2024 - 9:30pm,complete,,Bragantino,Flamengo,,5,3.0,2.0,1.63,1.47,1,1,2,1,1,0,30,79,8,4,2,0,2,0,1,1,2,0,19,20,4,7,5,6,17,10,43,57,1.4,1.1,1.32,1.73,1.75,50,50,50,0,0,0,75,50,50,8.0,7.0,2.96,3.2,2.25,1.33,2.15,3.6,6.5,1.91,1.91,Estádio Nabi Abi Chedid,S635B58EB33
1714867200,May 05 2024 - 12:00am,complete,,Corinthians,Fortaleza,Felipe Fernandes de Lima,5,2.0,3.0,1.81,1.25,0,0,0,0,0,0,,,9,5,1,0,6,0,1,0,2,4,19,13,10,3,6,4,12,20,65,35,1.3,0.8,2.29,1.13,2.25,50,75,75,0,0,25,25,50,75,8.5,9.0,2.25,3.2,3.5,1.44,2.6,4.33,8.5,2.2,1.62,,S635DBEB894
1714935600,May 05 2024 - 7:00pm,complete,,Vitória,São Paulo,Ramon Abatti,5,0.5,1.5,1.44,1.19,1,3,4,1,0,1,49,"45,53,84",3,8,3,1,4,0,2,2,3,1,8,22,3,9,2,8,9,14,33,67,1.47,1.35,0.74,1.99,2.75,50,75,75,25,0,0,100,75,75,4.5,4.5,3.7,2.9,2.18,1.5,2.27,5.0,10.0,2.05,1.7,Estádio Manoel Barradas,S63595429F9
1714935600,May 05 2024 - 7:00pm,complete,31192.0,Atlético PR,Vasco da Gama,Anderson Daronco,5,3.0,0.0,1.2,0.75,1,0,1,1,1,0,26,,6,5,1,0,0,1,0,1,1,0,27,8,8,2,13,6,11,9,56,44,1.32,1.5,2.35,0.85,2.75,50,75,75,25,0,25,75,50,100,12.5,4.5,1.67,3.6,5.0,1.33,2.04,3.75,7.5,2.05,1.7,,S6356471730
1714944600,May 05 2024 - 9:30pm,complete,,Botafogo,Bahia,,5,3.0,0.5,2.25,0.88,1,2,3,1,0,1,63,"45'3,86",5,1,2,0,2,0,0,2,1,1,18,11,7,5,10,5,8,5,55,45,1.46,1.42,2.01,1.19,3.5,75,75,75,50,25,25,75,75,75,11.5,7.5,1.81,3.45,4.3,1.29,2.05,3.0,5.5,1.75,2.0,Estádio Nilton Santos,S635219D40A
1714944600,May 05 2024 - 9:30pm,complete,,Cuiabá,Palmeiras,Bruno Arleu de Araujo,5,0.0,2.0,0.88,1.63,0,2,2,1,0,1,,"45'1,71",6,6,2,0,3,0,1,1,0,3,10,16,2,7,6,6,9,11,45,55,0.52,1.18,0.85,1.73,1.75,0,50,50,0,0,0,75,50,50,9.5,8.0,3.96,3.35,1.91,1.47,2.26,4.75,10.0,2.25,1.57,Arena Pantanal,S6354C3C4C5
1715454000,May 11 2024 - 7:00pm,complete,56929.0,Flamengo,Corinthians,Ramon Abatti,6,1.5,0.0,2.06,0.56,2,0,2,1,1,0,"20,63",,13,6,1,0,1,0,0,1,1,0,19,14,10,4,4,5,12,17,58,42,1.36,1.47,2.09,1.12,2.0,25,75,25,0,0,0,50,75,75,14.0,2.5,1.6,3.8,6.25,1.38,2.15,4.2,8.5,2.05,1.7,,S635F4BA61E
1715540400,May 12 2024 - 7:00pm,complete,,Palmeiras,Atlético PR,Braulio da Silva Machado,6,0.5,0.5,2.19,1.0,0,2,2,1,0,1,,"45'9,59",9,6,4,0,5,1,2,2,2,4,24,12,7,7,11,2,13,16,63,37,1.23,1.08,1.89,1.24,1.25,25,50,0,0,0,0,75,0,50,10.0,5.5,1.62,3.4,5.0,1.36,2.1,4.0,8.0,2.05,1.7,Allianz Parque,S6354C8DF1B
