timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721403900,Jul 19 2024 - 3:45pm,complete,,Cherno More,CSKA 1948 Sofia,,1,0.0,0.0,2.25,1.43,0,0,0,0,0,0,,,10,1,1,0,5,1,1,0,2,4,17,11,7,0,8,9,10,11,61,39,0.0,0.0,2.14,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.7,3.3,5.75,1.38,2.25,4.0,7.5,2.1,1.67,Stadion Ticha,S63526B2E1E
1721412900,Jul 19 2024 - 6:15pm,complete,,Levski Krumovgrad,Slavia Sofia,,1,0.0,0.0,1.25,0.5,1,0,1,1,1,0,11,,5,9,1,1,6,1,0,2,1,6,12,17,5,3,5,11,14,19,44,56,0.0,0.0,1.4,1.68,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,3.15,2.55,1.38,2.25,4.0,7.6,1.91,1.8,,S6355D442D7
1721491200,Jul 20 2024 - 4:00pm,complete,,Lokomotiv Plovdiv,Arda,,1,0.0,0.0,0.75,1.0,1,0,1,1,1,0,41,,2,9,4,1,1,1,3,2,2,0,9,13,4,3,3,7,13,7,50,50,0.0,0.0,1.14,1.28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.35,3.1,3.2,1.36,2.35,4.1,7.4,1.91,1.8,,S635BF144E7
1721499300,Jul 20 2024 - 6:15pm,complete,,Lokomotiv Sofia 1929,Levski Sofia,,1,0.0,0.0,0.75,1.63,1,6,7,5,1,4,6,"12,22,45'1,45'4,90'1,90'8",3,6,1,0,2,0,0,1,1,1,15,18,3,10,7,5,11,15,44,56,0.0,0.0,1.21,2.06,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.5,3.9,1.4,1.33,2.0,3.75,6.7,2.25,1.57,,S6355C78110
1721577600,Jul 21 2024 - 4:00pm,complete,,Botev Vratsa,Botev Plovdiv,Volen Chinkov,1,0.0,0.0,1.0,2.25,1,3,4,0,0,0,60,"54,57,77",6,7,1,0,0,0,0,1,0,0,11,16,0,3,7,8,12,12,36,64,0.0,0.0,0.89,1.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5,3.6,1.8,1.25,1.9,2.95,5.35,1.8,1.91,,S6359A6093C
1721585700,Jul 21 2024 - 6:15pm,complete,,Ludogorets,CSKA Sofia,Nikola Popov,1,0.0,0.0,2.75,0.71,1,0,1,0,0,0,53,,4,3,1,0,2,0,1,0,2,0,17,11,2,2,9,6,14,20,50,50,0.0,0.0,1.29,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,4.0,5.0,1.25,1.8,2.9,5.3,1.83,1.83,,S635BFC3248
1721664000,Jul 22 2024 - 4:00pm,complete,,Hebar 1918,Spartak Varna,Hristiana Guteva,1,0.0,0.0,0.86,1.75,0,2,2,1,0,1,,"45'2,90'4",2,9,3,0,4,0,0,3,0,4,8,15,4,7,2,7,13,14,41,59,0.0,0.0,1.05,1.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,3.1,2.3,1.22,2.35,2.65,5.0,1.91,1.8,,S635B28E89A
1721672100,Jul 22 2024 - 6:15pm,complete,,Septemvri Sofia,Beroe,Dimitar Dimitrov,1,0.0,0.0,0.88,1.75,0,1,1,0,0,0,,51,1,8,1,0,5,0,0,1,0,5,8,11,3,3,4,7,11,12,51,49,0.0,0.0,1.04,1.35,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.08,3.0,3.25,1.44,2.35,4.5,8.4,2.1,1.67,Ludogorets Arena,S635DF69EB5
1722009600,Jul 26 2024 - 4:00pm,complete,,Arda,Levski Krumovgrad,,2,0.0,0.0,2.67,0.83,1,0,1,1,1,0,21,,4,3,4,0,1,0,2,2,0,1,7,12,3,6,3,6,16,9,52,48,0.0,0.0,1.06,1.64,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.4,3.9,1.33,2.2,3.56,7.0,2.0,1.73,Arena Arda,S63553DD681
1722017700,Jul 26 2024 - 6:15pm,complete,,Levski Sofia,Botev Vratsa,,2,0.0,0.0,2.5,0.67,4,0,4,1,1,0,"41,66,79,90",,7,0,2,0,1,0,0,2,0,1,21,11,3,3,9,4,6,10,65,35,0.0,0.0,1.64,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.17,7.0,17.0,1.23,1.67,2.8,4.9,2.75,1.4,Vivacom Arena - Georgi Asparuhov,S63588F8386
