timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721437200,Jul 20 2024 - 1:00am,complete,,Guanacasteca,San Carlos,,1.0,0.0,0.0,2.33,1.89,0,3,3,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.7,3.2,2.4,1.25,1.76,2.95,4.9,1.62,2.2,Estadio Chorotega (Nicoya),S63502BD850
1721440800,Jul 20 2024 - 2:00am,complete,,Puntarenas,Municipal Liberia,Benjamín Pineda,1.0,0.0,0.0,0.78,0.9,0,0,0,0,0,0,,,2,10,2,0,1,0,2,0,1,0,6,9,0,3,6,6,8,11,54,46,0.0,0.0,0.76,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,3.3,2.5,1.29,1.9,3.2,5.75,1.73,2.0,Estadio Municipal de Puntarenas Miguel Ángel Lito Pérez Treacy (Puntarenas),S6359F255FF
1721516400,Jul 20 2024 - 11:00pm,complete,,Cartaginés,Santa Ana,,1.0,0.0,0.0,2.3,0.78,4,0,4,2,2,0,"30,45'2,56,62",,7,5,0,0,0,0,0,0,0,0,3,2,3,2,0,0,4,2,46,54,0.0,0.0,0.79,0.55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.1,3.75,0.0,2.06,0.0,0.0,1.83,1.83,Estadio José Rafael Fello Meza (Cartago),S63560ABE79
1721520000,Jul 21 2024 - 12:00am,complete,,Sporting San José,Deportivo Saprissa,,1.0,0.0,0.0,1.56,1.25,3,1,4,3,2,1,"19,29,48",6,7,5,2,1,1,0,1,2,0,1,10,9,4,2,6,7,12,9,44,56,0.0,0.0,1.5,1.35,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.75,3.75,1.6,1.25,1.65,3.0,6.0,1.8,1.91,Estadio Ernesto Rohrmoser Lahmann (San José),S6359D78471
1721527200,Jul 21 2024 - 2:00am,complete,,Pérez Zeledón,Herediano,Keylor Herrera,1.0,0.0,0.0,1.56,1.38,0,0,0,0,0,0,,,6,7,3,0,2,0,0,3,1,1,13,11,5,4,8,7,17,10,46,54,0.0,0.0,1.65,1.44,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.75,3.75,1.6,1.29,1.8,3.4,6.5,1.83,1.83,Estadio Municipal Pérez Zeledón (San Isidro de El General),S63506E66D9
1721606400,Jul 22 2024 - 12:00am,complete,,Alajuelense,Santos de Guápiles,,1.0,0.0,0.0,2.25,0.33,2,1,3,2,1,1,"45'5,69",35,11,0,1,0,3,0,0,1,3,0,22,5,8,4,14,1,12,11,71,29,0.0,0.0,2.65,0.74,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.16,6.5,15.0,1.16,1.55,2.25,4.2,2.5,1.5,Estadio Nacional de Costa Rica (San José),S635414C80F
1721775600,Jul 23 2024 - 11:00pm,complete,,Santa Ana,Sporting San José,Hugo Cruz Alvarado,2.0,0.0,0.0,1.11,1.11,0,2,2,0,0,0,,"79,90'4",7,2,2,0,3,0,1,1,3,0,12,0,4,0,8,0,4,4,59,41,0.0,0.0,1.45,0.28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.7,3.1,2.35,0.0,1.88,0.0,0.0,1.73,2.0,Estadio de Piedades (Santa Ana),S635A69CD35
1721786400,Jul 24 2024 - 2:00am,complete,,Herediano,Puntarenas,William Mattus Vega,2.0,0.0,0.0,2.11,0.56,2,0,2,2,2,0,"23,32",,7,5,0,0,1,0,0,0,1,0,11,7,7,5,4,2,6,5,64,36,0.0,0.0,1.53,1.06,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3,5.0,9.0,1.2,1.68,2.62,4.75,1.96,1.8,Estadio Carlos Alvarado (Santa Bárbara),S635DBF701F
1721865600,Jul 25 2024 - 12:00am,complete,,Municipal Liberia,Alajuelense,Adrian Chinchilla,2.0,0.0,0.0,1.63,1.78,1,2,3,2,0,2,49,"14,45",8,0,2,0,0,0,1,1,0,0,14,7,6,4,8,3,4,0,50,50,0.0,0.0,1.89,1.04,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6,3.5,1.95,1.22,1.72,2.7,5.0,1.6,2.27,Estadio Edgardo Baltodano Briceño (Liberia),S635A84CCDD
1721865600,Jul 25 2024 - 12:00am,complete,,San Carlos,Cartaginés,Rigo Prendas,2.0,0.0,0.0,1.56,0.89,0,0,0,0,0,0,,,8,1,2,0,2,0,0,2,0,2,22,8,6,4,16,4,11,3,48,52,0.0,0.0,2.29,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.6,3.5,1.25,1.65,2.88,5.1,1.67,2.1,Estadio Ebal Rodríguez Aguilar (Guápiles),S6351E49293
