timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722625200,Aug 02 2024 - 7:00pm,complete,,Dinamo Zagreb,Istra 1961,Mario Zebec,1,0.0,0.0,2.0,0.67,5,0,5,3,3,0,"13,19,28,49,79",,6,0,0,0,2,0,0,0,2,0,17,4,11,2,2,1,9,13,72,28,0.0,0.0,2.03,0.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.25,5.75,9.5,1.23,1.7,2.8,4.9,2.38,1.53,Stadion Maksimir,S635EC6E3AE
1722711600,Aug 03 2024 - 7:00pm,complete,,Gorica,Varaždin,,1,0.0,0.0,1.83,1.0,0,0,0,0,0,0,,,4,7,2,0,1,0,1,1,0,1,6,21,0,8,5,6,11,11,53,47,0.0,0.0,0.69,1.87,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.35,3.1,3.0,1.36,2.08,3.6,7.0,1.83,1.83,ŠRC Velika Gorica,S63514A2001
1722790200,Aug 04 2024 - 4:50pm,complete,3552.0,Rijeka,Lokomotiva Zagreb,Igor Pajač,1,0.0,0.0,2.0,0.8,4,0,4,2,2,0,"13,28,70,83",,2,3,0,0,4,0,0,0,0,4,22,10,8,3,7,4,8,10,48,52,0.0,0.0,1.93,1.15,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,4.0,5.5,1.22,1.7,2.62,4.75,1.8,1.91,Stadion HNK Rijeka,S6350FAA7DA
1722798000,Aug 04 2024 - 7:00pm,complete,,Osijek,Šibenik,,1,0.0,0.0,1.5,1.0,1,2,3,1,0,1,55,"8,61",16,2,1,0,3,0,1,0,1,2,32,7,10,4,10,1,7,10,77,23,0.0,0.0,3.14,0.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.44,4.2,7.0,1.17,1.6,2.4,4.0,1.8,1.91,,S6351AF1070
1722798000,Aug 04 2024 - 7:00pm,complete,26819.0,Hajduk Split,Slaven Koprivnica,Zdenko Lovrić,1,0.0,0.0,3.0,0.5,2,1,3,3,2,1,"18,37",45'1,4,3,2,0,4,1,0,2,1,4,13,7,5,4,3,1,11,20,59,41,0.0,0.0,1.27,0.92,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.2,6.0,12.0,1.17,1.57,2.4,4.0,2.2,1.62,Stadion Poljud,S635A117479
1723221000,Aug 09 2024 - 4:30pm,complete,2578.0,Šibenik,Slaven Koprivnica,,2,0.0,0.0,1.0,0.5,2,0,2,2,2,0,"13,22",,3,7,1,0,1,0,0,1,1,0,11,16,6,7,4,8,9,13,36,64,0.0,0.92,1.34,2.01,1.5,50,50,50,0,0,50,50,0,0,3.0,5.0,2.0,3.3,3.5,1.18,1.8,2.57,4.65,1.67,2.1,Stadion Šubićevac,S63580D9BF4
1723316400,Aug 10 2024 - 7:00pm,complete,,Istra 1961,Gorica,,2,0.0,0.0,1.33,0.0,2,1,3,0,0,0,"71,89",84,6,2,3,0,2,0,1,2,1,1,20,7,6,5,9,2,19,13,59,41,0.0,0.0,1.92,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,3.4,3.9,1.38,2.2,3.8,7.5,2.0,1.73,Stadion Aldo Drosina,S6356805622
1723393800,Aug 11 2024 - 4:30pm,complete,,Lokomotiva Zagreb,Hajduk Split,Dario Bel,2,0.0,0.0,0.71,1.5,1,1,2,0,0,0,90'9,81,13,3,1,0,4,0,0,1,1,3,24,12,6,7,8,4,12,8,46,54,0.0,0.0,1.8,1.56,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,3.7,1.75,1.22,1.67,2.7,4.75,1.67,2.1,Stadion Kranjčevićeva,S63500E4BBD
1723402800,Aug 11 2024 - 7:00pm,complete,,Varaždin,Rijeka,Tihomir Pejin,2,0.0,0.0,2.17,2.0,0,0,0,0,0,0,,,5,6,0,0,3,0,0,0,1,2,10,12,0,3,8,4,11,11,42,58,0.0,0.0,0.81,1.06,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.2,3.7,1.75,1.3,1.95,3.3,6.0,1.83,1.83,,S6353D6CB92
1723402800,Aug 11 2024 - 7:00pm,complete,,Osijek,Dinamo Zagreb,Duje Strukan,2,0.0,0.0,1.5,1.83,1,2,3,2,1,1,10,"21,90'5",0,7,4,0,2,0,0,4,0,2,8,18,3,6,3,7,12,12,34,66,3.14,0.0,0.96,1.9,1.5,50,50,50,0,0,0,50,50,50,16.0,1.0,5.25,3.6,1.67,1.29,1.95,3.2,5.75,1.83,1.83,,S635C3BAB87
