timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721408400,Jul 19 2024 - 5:00pm,complete,16744.0,Sparta Praha,Pardubice,,1.0,0.0,0.0,1.67,0.63,2,1,3,2,1,1,"45'4,59",25,5,4,2,0,2,0,1,1,2,0,24,9,7,4,7,3,9,10,64,36,0.0,0.0,1.9,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.14,7.2,17.5,1.06,1.33,2.0,2.71,1.91,1.91,epet ARENA (Praha),S63500FA802
1721478600,Jul 20 2024 - 12:30pm,complete,,Jablonec,Mladá Boleslav,,1.0,0.0,0.0,1.67,1.14,2,0,2,1,1,0,"31,80",,4,2,2,0,3,2,0,2,2,3,17,10,9,3,5,3,17,19,52,48,0.0,0.0,1.81,0.94,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.2,3.5,2.8,1.23,1.71,2.8,2.8,1.62,2.2,Stadion Střelnice (Jablonec nad Nisou),S6355640AFC
1721487600,Jul 20 2024 - 3:00pm,complete,3429.0,České Budějovice,Sigma Olomouc,,1.0,0.0,0.0,0.25,1.14,0,2,2,0,0,0,,"56,71",6,3,0,0,2,0,0,0,0,2,9,17,4,7,3,9,14,11,48,52,0.0,0.0,1.33,2.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.5,3.1,1.24,1.71,2.84,2.84,1.62,2.2,Fotbalový stadion Střelecký ostrov (Ceské Budejovice),S635E7F7403
1721487600,Jul 20 2024 - 3:00pm,complete,5862.0,Bohemians 1905,Baník Ostrava,Ondřej Berka,1.0,0.0,0.0,0.83,1.5,2,1,3,0,0,0,"53,82",90'3,7,2,2,0,0,0,1,1,0,0,19,13,5,7,8,3,10,14,47,53,0.0,0.0,1.73,1.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.4,3.4,2.7,1.2,1.68,2.75,4.97,1.57,2.25,Stadion Ďolíček (Praha),S635D9A216F
1721498400,Jul 20 2024 - 6:00pm,complete,4574.0,Dukla Praha,Viktoria Plzeň,Jan Machálek,1.0,0.0,0.0,1.29,1.57,1,3,4,2,0,2,81,"19,30,68",3,1,2,0,0,0,1,1,0,0,10,13,2,5,6,5,14,17,43,57,0.0,0.0,0.98,1.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.75,4.2,1.5,1.18,1.53,2.25,4.25,1.67,2.1,Stadion Juliska (Praha),S635C1F92CE
1721565000,Jul 21 2024 - 12:30pm,complete,,Karviná,Slovan Liberec,,1.0,0.0,0.0,1.5,1.17,1,3,4,3,1,2,4,"26,34,87",8,6,0,0,1,0,0,0,0,1,17,18,6,9,7,5,8,7,64,36,0.0,0.0,1.93,1.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,3.35,2.65,1.28,1.9,3.25,5.75,1.7,2.05,Městský Stadión (Karviná),S635BA862E6
1721574000,Jul 21 2024 - 3:00pm,complete,7353.0,Slovácko,Slavia Praha,,1.0,0.0,0.0,1.71,2.33,0,0,0,0,0,0,,,1,5,3,0,2,0,2,1,1,1,7,12,2,5,4,5,12,8,36,64,0.0,0.0,1.0,1.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,4.35,1.45,1.2,1.63,2.65,4.45,1.8,1.95,Městský fotbalový stadion Miroslava Valenty (Uherské Hradiště),S635D6BD249
1721584800,Jul 21 2024 - 6:00pm,complete,6248.0,Hradec Králové,Teplice,,1.0,0.0,0.0,2.0,1.0,1,0,1,0,0,0,90'5,,7,4,7,0,3,0,1,6,1,2,8,12,4,5,3,3,14,14,54,46,0.0,0.0,1.19,1.21,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.2,3.4,1.33,2.1,3.6,6.85,1.91,1.91,Malšovická Aréna (Hradec Králové),S635705C5F1
1722083400,Jul 27 2024 - 12:30pm,complete,,Dukla Praha,Bohemians 1905,,2.0,0.0,0.0,1.29,1.71,1,0,1,0,0,0,66,,2,9,2,1,3,1,1,2,1,3,7,22,3,5,2,9,11,19,32,68,0.98,0.0,0.87,1.88,2.0,50,50,50,50,0,50,50,50,50,3.0,2.0,3.44,3.42,2.07,1.29,1.91,3.18,6.5,1.65,2.1,Stadion Juliska (Praha),S6351C45776
1722092400,Jul 27 2024 - 3:00pm,complete,,Teplice,Sparta Praha,,2.0,0.0,0.0,0.57,2.14,1,4,5,0,0,0,60,"47,61,90'1,90'5",5,4,1,0,3,0,1,0,1,2,13,19,4,8,3,8,9,10,34,66,0.0,0.0,1.06,2.02,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,4.5,1.47,1.21,1.61,2.65,4.75,1.91,1.91,AGC Aréna Na Stínadlech (Teplice),S635F336C2B
