timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721404800,Jul 19 2024 - 4:00pm,complete,,AGF,Midtjylland,Morten Krogh,1,0.0,0.0,2.25,1.29,1,1,2,1,1,0,8,47,6,4,3,0,0,0,1,2,0,0,18,14,8,4,6,5,20,11,49,51,0.0,0.0,1.77,1.16,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.7,3.5,2.45,1.29,1.75,3.2,6.45,1.67,2.1,Ceres Park,S635146907F
1721412000,Jul 19 2024 - 6:00pm,complete,,Nordsjælland,AaB,Jørgen Daugbjerg Burchardt,1,0.0,0.0,2.0,0.71,3,0,3,2,2,0,"18,19,88",,2,6,1,0,2,0,0,1,0,2,20,16,9,4,7,8,9,8,50,50,0.0,0.0,1.96,1.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,4.1,4.95,1.13,1.47,2.0,3.75,1.67,2.1,Right to Dream Park,S635CB04E92
1721563200,Jul 21 2024 - 12:00pm,complete,,Silkeborg,SønderjyskE,Mads-Kristoffer Kristoffersen,1,0.0,0.0,1.71,0.43,1,0,1,0,0,0,78,,7,4,0,0,1,0,0,0,0,1,19,9,5,4,7,5,9,15,55,45,0.0,0.0,1.37,1.18,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.5,4.0,1.25,1.75,2.85,5.45,1.67,2.1,JYSK park,S63519E4FA1
1721570400,Jul 21 2024 - 2:00pm,complete,,Vejle,Randers,,1,0.0,0.0,0.57,1.86,2,3,5,1,1,0,"37,87","53,59,90'2",6,10,2,0,1,0,1,1,0,1,9,16,5,4,4,7,16,6,54,46,0.0,0.0,1.07,1.19,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.75,3.25,2.4,1.32,1.97,3.35,6.5,1.75,2.0,Vejle Stadion,S635BB598D2
1721577600,Jul 21 2024 - 4:00pm,complete,,Viborg,Brøndby,,1,0.0,0.0,1.83,1.38,3,3,6,3,2,1,"11,33,90'6","30,90'2,90'8",4,7,1,0,0,0,1,0,0,0,9,28,5,12,1,11,8,4,35,65,0.0,0.0,0.91,2.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.4,3.4,2.05,1.25,1.75,2.95,5.45,1.62,2.2,Energi Viborg Arena,S635E7627BF
1721667600,Jul 22 2024 - 5:00pm,complete,,Lyngby,København,Jakob A. Sundberg,1,0.0,0.0,0.86,1.57,0,2,2,2,0,2,,"7,30",3,4,2,0,2,0,0,2,0,2,12,11,3,5,5,6,15,12,46,54,0.0,0.0,1.15,1.36,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,4.5,1.5,1.18,1.62,2.25,4.33,1.75,2.0,Lyngby Stadion,S6350E0D9A1
1722013200,Jul 26 2024 - 5:00pm,complete,,SønderjyskE,Lyngby,,2,0.0,0.0,1.14,0.43,1,1,2,2,1,1,14,20,6,4,3,0,1,0,1,2,0,1,21,9,5,2,11,4,13,9,58,42,0.0,0.0,1.85,0.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.4,3.8,1.29,1.95,3.2,6.45,1.75,2.0,Sydbank Park,S635FCC778E
1722088800,Jul 27 2024 - 2:00pm,complete,,Nordsjælland,Midtjylland,Jonas Hansen,2,3.0,1.0,2.0,1.29,2,2,4,4,2,2,"29,34","11,45",3,3,0,0,0,0,0,0,0,0,5,11,4,3,1,5,5,10,66,34,1.96,1.16,0.92,1.06,2.5,50,100,50,0,0,50,100,0,100,6.0,1.0,1.9,3.9,3.5,1.15,1.6,2.15,3.95,1.53,2.38,Right to Dream Park,S6358E0B2D2
1722168000,Jul 28 2024 - 12:00pm,complete,,Randers,Viborg,Sandi Putros,2,0.0,0.0,1.57,0.75,3,1,4,3,2,1,"27,45'4,75",39,5,8,1,0,2,0,0,1,0,2,8,14,5,3,2,4,14,11,36,64,0.0,0.0,1.14,1.14,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.5,3.4,1.25,1.7,2.75,5.0,1.62,2.2,,S635DAF8C4A
1722175200,Jul 28 2024 - 2:00pm,complete,,AaB,Silkeborg,Jakob Kehlet,2,0.0,0.0,1.43,1.43,2,1,3,1,1,0,"18,52",90,5,11,1,0,1,1,0,1,0,2,12,19,5,7,4,8,14,7,49,51,0.0,0.0,1.16,1.79,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.55,3.25,2.6,1.25,1.8,3.0,5.75,1.57,2.25,Aalborg Portland Park,S63577710CE
