timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1709337600,Mar 02 2024 - 12:00am,complete,,Delfin SC,CSD Independiente del Valle,Guillermo Enrique Guerrero Alcivar,1.0,0.0,0.0,1.08,2.0,0,1,1,0,0,0,,67,4,2,3,0,4,0,1,2,1,3,6,9,3,4,2,2,10,15,38,62,0.0,0.0,0.74,0.84,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.43,3.08,2.28,1.4,2.09,4.0,8.5,1.9,1.83,Estadio Jocay (Manta),S63546051A0
1709402400,Mar 02 2024 - 6:00pm,complete,,Mushuc Runa SC,Libertad,,1.0,0.0,0.0,1.93,0.54,2,1,3,1,0,1,"90'6,90'10",43,6,2,5,0,3,1,2,3,1,3,25,11,12,5,10,4,16,18,61,39,0.0,0.0,2.66,1.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.39,3.87,1.29,1.98,3.3,3.65,1.83,1.83,Estadio Cooperativa de Ahorro y Crédito Mushuc Runa (Ambato),S63512501D7
1709411400,Mar 02 2024 - 8:30pm,complete,,SD Aucas,Orense SC,Augusto Bergelio Aragón Bautista,1.0,0.0,0.0,1.5,1.07,2,0,2,1,1,0,"25,49",,5,7,2,0,2,0,1,1,1,1,11,15,4,4,6,6,11,12,52,48,0.0,0.0,1.27,1.13,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.66,3.71,4.76,1.35,1.83,3.6,7.0,1.76,2.01,Estadio Cooprogreso Gonzalo Pozo Ripalda (Quito),S6351607487
1709420400,Mar 02 2024 - 11:00pm,complete,,Deportivo Cuenca,CS Emelec,Roddy Alberto Zambrano Olmedo,1.0,0.0,0.0,1.21,1.15,1,2,3,0,0,0,90'4,"60,72",5,2,1,1,2,1,1,1,1,2,13,11,2,4,8,5,11,5,54,46,0.0,0.0,0.96,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.38,3.19,2.91,1.33,2.09,3.65,7.2,1.82,1.94,Estadio Alejandro Serrano Aguilar Banco del Austro (Cuenca),S635AD5B808
1709488800,Mar 03 2024 - 6:00pm,complete,,CD Universidad Católica,CD El Nacional,Álex Cajas,1.0,0.0,0.0,2.23,1.43,3,0,3,1,1,0,"17,58,68",,6,5,3,0,1,0,1,2,1,0,20,10,9,2,6,7,16,7,76,24,0.0,0.0,1.95,0.87,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.76,3.45,4.51,1.25,1.75,2.75,5.0,1.57,2.2,Estadio Olímpico Atahualpa (Quito),S63577C3B00
1709497800,Mar 03 2024 - 8:30pm,complete,,Técnico Universitario,Cumbayá,,1.0,0.0,0.0,1.64,0.23,1,0,1,1,1,0,42,,5,4,1,0,3,1,1,0,2,2,21,11,10,5,8,5,19,15,54,46,0.0,0.0,2.12,1.14,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.51,3.8,6.44,1.36,2.03,3.84,7.5,2.21,1.56,Estadio Bellavista de Ambato (Ambato),S6355DFAA38
1709506800,Mar 03 2024 - 11:00pm,complete,,Barcelona,Imbabura SC,Gabriel Ismael González Cordero,1.0,0.0,0.0,2.54,0.64,2,0,2,1,1,0,"24,65",,8,4,0,0,3,0,0,0,3,0,21,13,8,6,7,1,20,12,58,42,0.0,0.0,1.94,1.05,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.19,5.35,12.25,1.19,1.66,2.63,4.8,2.38,1.54,Estadio Monumental Banco Pichincha (Guayaquil),S6350DB09C8
1709596800,Mar 05 2024 - 12:00am,complete,,LDU Quito,Macará,,1.0,0.0,0.0,2.31,1.07,2,1,3,3,2,1,"5,30",8,2,4,2,0,2,0,0,2,2,0,19,19,6,8,8,6,16,11,61,39,0.0,0.0,1.53,1.76,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.17,7.0,15.0,1.08,1.35,1.94,3.05,1.86,1.87,Estadio Rodrigo Paz Delgado (Quito),S635006607D
1709942400,Mar 09 2024 - 12:00am,complete,,CS Emelec,Mushuc Runa SC,Álex Cajas,2.0,0.0,0.0,1.43,0.92,0,0,0,0,0,0,,,7,5,5,0,2,0,3,2,0,2,15,11,7,2,3,6,13,12,65,35,0.0,0.0,1.65,0.84,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.51,4.0,5.8,1.25,1.86,3.04,5.7,1.91,1.76,Estadio George Capwell Banco del Austro (Guayaquil),S635902AD3B
1710007200,Mar 09 2024 - 6:00pm,complete,,Macará,CD El Nacional,,2.0,0.0,0.0,1.31,1.43,1,0,1,0,0,0,86,,11,8,2,0,5,1,0,2,2,4,25,14,9,4,9,7,15,19,68,32,0.0,0.87,2.15,1.18,1.5,0,50,50,0,0,0,50,50,50,5.0,1.0,1.92,3.45,3.65,1.33,1.95,3.6,7.0,1.82,1.91,Estadio Bellavista de Ambato (Ambato),S635994020A
