timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722115800,Jul 27 2024 - 9:30pm,complete,,Firpo,CD Platense,Hector Salazar,1,0.0,0.0,2.06,0.53,1,0,1,1,1,0,6,,4,8,3,1,2,0,1,3,1,1,4,10,3,4,1,6,-1,-1,50,50,0.0,0.0,0.89,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.6,4.33,1.2,1.73,2.55,5.25,1.76,2.04,Estadio Sergio Torres Rivera,S6356C52FA0
1722124800,Jul 28 2024 - 12:00am,complete,,Alianza,Municipal Limeño,Germán Martínez,1,0.0,0.0,1.65,1.41,1,1,2,1,0,1,80,7,2,0,1,0,1,0,1,0,0,1,10,6,3,3,7,3,-1,-1,50,50,0.0,0.0,1.49,0.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,4.0,4.75,1.26,1.9,3.08,5.54,1.95,1.72,Estadio Cuscatlán,S6359F9CFEF
1722200400,Jul 28 2024 - 9:00pm,complete,,Fuerte San Francisco,Isidro Metapán,,1,0.0,0.0,0.71,1.82,0,3,3,1,0,1,,"6,58,90",1,4,3,2,4,0,2,3,2,2,5,13,2,6,3,7,-1,-1,50,50,0.0,0.0,0.74,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.4,3.1,2.63,1.43,2.38,4.4,9.0,2.02,1.86,,S635DC71B1F
1722200400,Jul 28 2024 - 9:00pm,complete,,Dragón,Águila,,1,0.0,0.0,0.72,2.0,0,3,3,2,0,2,,"11,42,52",1,10,1,0,3,1,1,0,1,3,8,13,2,8,6,5,-1,-1,50,50,0.0,0.0,0.93,1.74,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.7,3.3,1.85,1.38,2.08,3.95,7.5,1.93,1.96,Estadio Juan Francisco Barraza,S6353EEE427
1722200400,Jul 28 2024 - 9:00pm,complete,,Once Municipal,FAS,Elmer Martínez,1,0.0,0.0,1.59,1.12,2,2,4,0,0,0,"74,90'5","55,90",1,8,2,0,5,0,0,2,1,4,6,8,4,3,2,5,-1,-1,50,50,0.0,0.0,1.08,1.23,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,3.0,2.8,1.47,2.5,4.5,8.5,2.12,1.87,Estadio Arturo Simeón Magaña,S635497EACE
1722461400,Jul 31 2024 - 9:30pm,complete,,Águila,Fuerte San Francisco,Juan Francisco Quinteros,2,3.0,0.0,2.0,0.71,1,0,1,1,1,0,31,,3,2,2,0,0,0,2,0,0,0,14,7,9,2,5,5,-1,-1,50,50,1.74,0.74,1.95,0.82,3.0,0,100,100,0,0,50,100,50,100,11.0,10.0,1.27,5.0,9.0,1.04,1.75,2.2,2.2,2.42,1.54,Estadio Juan Francisco Barraza,S6353E3F33D
1722475800,Aug 01 2024 - 1:30am,complete,,FAS,Dragón,,2,1.0,0.0,1.12,0.72,2,0,2,1,1,0,"27,86",,15,9,-1,-1,-1,-1,-1,-1,-1,-1,13,8,7,4,6,4,-1,-1,50,50,1.23,0.93,1.71,1.11,3.5,50,100,100,50,0,50,50,50,100,9.0,6.0,1.65,3.5,5.0,1.36,1.85,3.7,2.28,1.87,1.9,Estadio Óscar Alberto Quiteño,S63517C6185
1722547800,Aug 01 2024 - 9:30pm,complete,,CD Platense,Once Municipal,Germán Martínez,2,0.0,1.0,0.53,1.59,1,2,3,3,1,2,19,"5,45",11,3,-1,-1,-1,-1,-1,-1,-1,-1,10,9,3,3,7,6,-1,-1,50,50,1.59,1.08,1.31,1.02,2.5,50,50,50,50,0,0,50,50,50,9.0,4.0,2.9,3.0,2.45,1.44,2.15,4.5,9.5,1.97,1.95,,S635A140137
1722547800,Aug 01 2024 - 9:30pm,complete,,Cacahuatique,Alianza,,2,0.0,1.0,1.82,1.65,1,3,4,3,0,3,90'4,"5,16,20",3,1,-1,-1,-1,-1,-1,-1,-1,-1,8,12,5,9,3,3,-1,-1,50,50,0.0,1.49,1.53,1.95,1.0,50,50,0,0,0,0,50,0,50,2.0,1.0,8.5,4.33,1.3,0.0,1.8,0.0,0.0,0.0,0.0,,S6359A3E57F
1722720600,Aug 03 2024 - 9:30pm,complete,,Firpo,Cacahuatique,Juan Francisco Quinteros,3,3.0,0.0,2.06,1.82,1,3,4,4,1,3,13,"17,28,43",7,1,5,0,5,0,2,3,1,4,8,10,3,6,5,4,-1,-1,50,50,0.89,1.53,1.5,1.46,2.5,50,50,50,50,0,50,100,0,50,7.0,3.0,1.4,4.33,6.5,1.3,2.0,2.8,5.8,2.28,1.6,Estadio Sergio Torres Rivera,S63550C86E0
1722733200,Aug 04 2024 - 1:00am,complete,,Isidro Metapán,Águila,,3,3.0,3.0,1.82,2.0,0,0,0,0,0,0,,,6,7,2,0,1,0,1,1,1,0,8,7,6,2,2,5,-1,-1,50,50,1.59,1.85,1.36,1.19,2.5,0,75,75,0,0,25,100,50,75,10.5,7.0,2.75,3.25,2.3,1.5,2.5,5.25,8.5,2.1,1.6,,S635CF85015
1722805200,Aug 04 2024 - 9:00pm,complete,,Fuerte San Francisco,FAS,,3,0.0,2.0,0.71,1.12,2,2,4,2,0,2,"78,81","7,45'3",3,4,-1,-1,-1,-1,-1,-1,-1,-1,16,19,9,10,7,9,-1,-1,50,50,0.78,1.47,2.03,2.23,2.5,25,75,50,25,0,0,75,50,75,13.0,5.0,3.0,3.3,2.15,1.42,2.35,4.33,7.2,2.02,1.88,,S6354BA2683
1722805200,Aug 04 2024 - 9:00pm,complete,,Dragón,CD Platense,Elmer Martínez,3,0.0,0.0,0.72,0.53,0,0,0,0,0,0,,,3,9,-1,-1,-1,-1,-1,-1,-1,-1,8,11,2,6,6,5,-1,-1,50,50,1.02,1.45,0.92,1.41,2.25,25,75,50,0,0,50,100,0,50,14.5,0.5,2.5,3.4,2.5,1.35,2.05,3.65,6.5,1.8,2.06,Estadio Juan Francisco Barraza,S635BD21DE7
1722805200,Aug 04 2024 - 9:00pm,complete,,Once Municipal,Municipal Limeño,Jaime Alfredo Herrera,3,2.0,1.0,1.59,1.41,1,2,3,2,1,1,32,"8,77",6,3,-1,-1,-1,-1,-1,-1,-1,-1,9,7,4,4,5,3,-1,-1,50,50,1.05,0.82,1.32,1.18,2.75,100,100,50,25,0,25,75,25,75,2.0,1.5,2.2,3.2,3.0,1.36,2.2,3.84,8.1,1.96,1.86,Estadio Arturo Simeón Magaña,S635EEAB626
1723325400,Aug 10 2024 - 9:30pm,complete,,Cacahuatique,Once Municipal,,4,1.5,1.33,1.82,1.59,1,0,1,0,0,0,56,,2,6,3,0,4,0,0,3,1,3,8,6,4,2,4,4,-1,-1,50,50,1.5,1.14,1.18,0.79,3.67,100,100,100,67,0,84,84,17,59,5.33,2.0,3.3,3.1,2.05,1.38,2.25,3.95,7.2,1.96,1.89,,S635D1AFF59
1723334700,Aug 11 2024 - 12:05am,complete,,Municipal Limeño,Dragón,,4,2.0,0.33,1.41,0.72,0,0,0,0,0,0,,,8,3,2,0,4,0,0,2,1,3,13,6,4,3,9,3,-1,-1,50,50,1.0,0.98,1.59,0.8,2.09,50,84,42,0,0,42,84,0,84,5.83,-0.33,1.75,3.4,4.0,1.29,1.95,3.25,6.0,1.83,1.9,Estadio Dr. Ramón Flores Berríos,S635E0BAD2B
1723339800,Aug 11 2024 - 1:30am,complete,,FAS,Isidro Metapán,Germán Martínez,4,1.67,2.0,1.12,1.82,0,3,3,1,0,1,,"14,68,77",8,1,2,0,0,0,1,1,0,0,9,8,3,4,6,4,-1,-1,50,50,1.72,1.47,1.36,1.12,2.42,34,75,59,34,0,17,59,59,75,14.0,4.0,1.9,3.1,3.7,1.45,2.3,4.3,8.5,1.96,1.86,Estadio Óscar Alberto Quiteño,S635E6AEE79
