timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1726783200,Sep 19 2024 - 10:00pm,suspended,,Ethiopia Nigd Bank,Ethiopia Bunna,,1,0.0,0.0,1.33,0.0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa Stadium,S635C5F6608
1726837200,Sep 20 2024 - 1:00pm,complete,,Mekelle Kenema,Hadiya Hosaena,,1,0.0,0.0,1.33,1.75,0,1,1,1,0,1,,9,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S635C024C9B
1726848000,Sep 20 2024 - 4:00pm,complete,,Arba Minch Kenema,Dire Dawa Kenema,,1,0.0,0.0,1.5,1.33,1,2,3,1,0,1,80,"30,84",4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.3,3.4,0.0,1.91,0.0,0.0,0.0,0.0,,S6356A7A8D4
1726923600,Sep 21 2024 - 1:00pm,canceled,,Wolkite Ketema,Mekelakeya,,1,0.0,0.0,0.0,2.0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6,3.0,2.0,0.0,2.38,4.6,0.0,0.0,0.0,Dire Dawa Stadium,S635CE0A9C1
1726934400,Sep 21 2024 - 4:00pm,complete,,Welwalo Adigrat Uni,Bahardar,,1,0.0,0.0,0.0,1.0,0,1,1,1,0,1,,24,3,3,-1,-1,-1,-1,-1,-1,-1,-1,6,8,3,4,3,4,-1,-1,44,56,0.0,0.0,1.04,1.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.2,2.8,2.25,1.43,2.5,4.45,9.0,2.1,1.65,Adigrat Stadium,S635E32FC05
1727010000,Sep 22 2024 - 1:00pm,complete,,Mebrat Hayl,Welayta Dicha,,1,0.0,0.0,1.33,1.4,2,3,5,1,0,1,"55,90'5","33,58,87",4,4,-1,-1,-1,-1,-1,-1,-1,-1,3,4,3,4,0,0,-1,-1,55,45,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,2.88,2.3,1.61,3.25,0.0,0.0,0.0,0.0,Addis Ababa Stadium,S635398D848
1727020800,Sep 22 2024 - 4:00pm,complete,,Kedus Giorgis,Fasil Ketema,,1,0.0,0.0,1.4,1.67,1,2,3,1,0,1,83,"20,87",6,9,-1,-1,-1,-1,-1,-1,-1,-1,6,10,3,7,3,3,-1,-1,50,50,0.0,0.0,0.97,1.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.58,2.51,3.21,1.71,3.1,6.25,10.5,2.35,1.48,Addis Ababa Stadium,S6353818E5E
1727096400,Sep 23 2024 - 1:00pm,complete,,Adama Kenema,Shire Endaselassie,,1,0.0,0.0,1.33,1.2,2,3,5,0,0,0,,,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abebe Bikila Stadium,S635C776B51
1727107200,Sep 23 2024 - 4:00pm,complete,,Sidama Bunna,Awassa Kenema,,1,0.0,0.0,2.0,1.5,0,1,1,1,0,1,,43,6,2,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,2,0,0,-1,-1,58,42,0.0,0.0,0.54,0.66,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.25,3.4,1.49,2.3,4.95,10.0,2.0,1.73,Yirgalem Stadium,S635BC12299
1727269200,Sep 25 2024 - 1:00pm,complete,,Ethiopian Medhin,Arba Minch Kenema,,2,0.0,0.0,2.0,1.0,0,0,0,0,0,0,,,1,2,-1,-1,-1,-1,-1,-1,-1,-1,11,3,3,0,8,3,-1,-1,52,48,0.0,0.0,1.35,0.64,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,2.6,3.0,1.39,2.3,4.35,9.0,1.91,1.8,Addis Ababa Stadium,S63576E3F4C
