timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1723831200,Aug 16 2024 - 6:00pm,complete,,Clermont,Pau,Remi Landry,1.0,0.0,0.0,1.14,0.71,2,2,4,3,1,2,"7,60","16,45'2",4,6,1,0,3,1,1,0,1,3,14,12,6,5,6,4,12,11,58,42,0.0,0.0,1.81,1.31,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,3.5,4.2,1.36,1.98,3.75,8.0,2.0,1.73,Stade Gabriel-Montpied (Clermont-Ferrand),S6356AE97B6
1723831200,Aug 16 2024 - 6:00pm,complete,,Ajaccio,Rodez,Antoine Valnet,1.0,0.0,0.0,2.0,1.14,1,0,1,0,0,0,79,,3,4,2,0,0,0,0,2,0,0,5,6,2,0,3,6,2,0,60,40,0.0,0.0,0.67,0.73,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.1,3.25,2.15,1.4,2.05,4.2,8.5,1.91,1.8,Stade Michel-Moretti (Ajaccio),S6352DD8DF8
1723831200,Aug 16 2024 - 6:00pm,complete,,Dunkerque,Annecy,Geoffrey Kubler,1.0,0.0,0.0,2.57,1.17,0,2,2,0,0,0,,"52,84",8,2,1,0,2,0,0,1,0,2,13,12,7,5,6,7,15,15,50,50,0.0,0.0,2.13,1.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.75,3.1,2.6,1.38,2.1,4.0,7.5,1.83,1.83,Stade Marcel-Tribut (Dunkerque),S635AF8CEED
1723831200,Aug 16 2024 - 6:00pm,complete,,Amiens SC,Red Star,Eddy Rosier,1.0,0.0,0.0,2.67,1.0,3,0,3,1,1,0,"43,46,57",,6,3,1,0,0,0,0,1,0,0,16,12,6,3,5,7,10,12,49,51,0.0,0.0,1.55,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.34,3.26,3.14,1.4,2.2,4.2,8.5,1.91,1.8,Stade Crédit Agricole de la Licorne (Amiens),S6356668BBE
1723831200,Aug 16 2024 - 6:00pm,complete,,Grenoble Foot 38,Laval,Abdelatif Kherradji,1.0,0.0,0.0,2.33,1.14,2,1,3,0,0,0,"61,64",90'2,4,4,2,0,0,0,1,1,0,0,7,12,5,5,2,7,1,0,50,50,0.0,0.0,1.19,1.41,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.2,3.4,1.44,2.23,4.5,9.5,2.0,1.73,Stade des Alpes (Grenoble),S6355C0FF54
1723831200,Aug 16 2024 - 6:00pm,complete,,Guingamp,Troyes,Marc Bollengier,1.0,0.0,0.0,1.86,0.67,4,0,4,2,2,0,"19,33,80,83",,3,5,0,0,4,0,0,0,2,2,18,11,5,4,10,5,9,13,48,52,0.0,0.0,1.64,1.16,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.77,3.5,4.5,1.38,2.12,4.0,8.0,1.93,1.75,Stade du Roudourou (Guingamp),S6354034F39
1723897800,Aug 17 2024 - 12:30pm,complete,,Caen,Paris,Pierre Gaillouste,1.0,0.0,0.0,1.43,2.17,0,2,2,0,0,0,,"76,86",9,3,3,0,1,0,1,2,0,1,14,14,6,6,4,6,14,12,37,63,0.0,0.0,1.39,1.63,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.4,3.2,2.75,1.36,2.1,3.85,7.5,1.91,1.8,Stade Michel d'Ornano (Caen),S6357FFA65D
1724093100,Aug 19 2024 - 6:45pm,complete,,Martigues,Lorient,Olivier Thual,1.0,0.0,0.0,0.14,1.14,0,1,1,0,0,0,,61,1,12,0,0,0,0,0,0,0,0,3,18,2,7,1,4,8,12,34,66,0.0,0.0,0.67,1.86,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.85,3.4,1.94,1.36,2.0,4.0,8.0,1.91,1.8,Orange Vélodrome (Marseille),S6355DA4823
1724093100,Aug 19 2024 - 6:45pm,complete,,Metz,Bastia,Aurélien Petit,1.0,0.0,0.0,2.0,1.0,1,1,2,1,0,1,90'8,38,9,1,1,0,3,0,0,1,1,2,20,5,6,3,5,0,11,14,71,29,0.0,0.0,1.92,0.75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.89,3.4,4.0,1.34,2.1,3.66,7.2,2.0,1.73,Stade Saint-Symphorien (Longeville-lès-Metz),S635E0E0DDF
1724436000,Aug 23 2024 - 6:00pm,complete,,Troyes,Clermont,Robin Chapapria,2.0,0.0,0.0,1.17,1.4,0,1,1,1,0,1,,23,15,3,0,0,1,0,0,0,1,0,16,6,6,2,5,3,5,11,46,54,0.0,0.0,1.59,0.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.4,3.1,2.26,1.38,2.13,3.75,7.5,1.83,1.83,Stade de l'Aube (Troyes),S6356F8349F
1724436000,Aug 23 2024 - 6:00pm,complete,,Rodez,Metz,Remi Landry,2.0,0.0,0.0,0.8,1.5,1,3,4,3,0,3,59,"1,30,44",7,3,2,1,4,0,3,0,1,3,16,14,5,5,9,5,14,12,37,63,0.0,0.0,1.69,1.27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,3.42,2.79,1.28,1.86,3.1,5.75,1.67,2.1,Stade Paul Lignon (Rodez),S63500BAAE7
1724436000,Aug 23 2024 - 6:00pm,complete,,Pau,Caen,Mickaël Leleu,2.0,0.0,0.0,2.0,0.8,1,0,1,1,1,0,8,,0,7,1,2,2,0,1,2,0,2,8,22,3,5,3,11,11,17,31,69,0.0,0.0,0.82,2.07,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.46,3.3,2.85,1.29,1.87,3.2,5.75,1.71,2.08,Stade Nouste Camp (Bizanos),S6358B71CF5
1724436000,Aug 23 2024 - 6:00pm,complete,,Bastia,Amiens SC,Mikael Lesage,2.0,0.0,0.0,1.67,0.5,1,0,1,0,0,0,53,,6,4,2,0,4,1,1,1,1,4,16,10,5,4,6,5,11,12,61,39,0.0,0.0,1.55,1.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.42,3.1,3.1,1.52,2.25,5.0,9.5,2.1,1.67,Stade Armand-Césari (Furiani),S635FEBFCE8
1724436000,Aug 23 2024 - 6:00pm,complete,,Annecy,Martigues,Benoît Bastien,2.0,0.0,0.0,2.5,1.4,2,4,6,3,1,2,"26,84","11,45,77,87",19,3,3,0,1,0,1,2,1,0,23,11,7,6,7,2,12,12,57,43,0.0,0.0,2.15,1.24,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.96,3.32,4.05,1.42,2.33,4.33,8.5,2.0,1.73,Parc des Sports (Annecy),S6356D0EC2B
1724436000,Aug 23 2024 - 6:00pm,complete,,Paris,Dunkerque,Ahmed Taleb,2.0,0.0,0.0,2.17,0.8,3,2,5,1,0,1,"79,88,90","40,65",7,1,1,0,2,0,0,1,0,2,10,6,5,3,4,1,7,17,63,37,0.0,0.0,1.66,0.83,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.85,5.15,1.33,1.94,3.6,6.5,1.98,1.79,Stade Crédit Agricole de la Licorne (Amiens),S635CCDF805
1724436000,Aug 23 2024 - 6:00pm,complete,,Laval,Guingamp,Olivier Thual,2.0,0.0,0.0,1.4,1.2,0,1,1,1,0,1,,22,8,5,2,0,2,0,1,1,1,1,13,15,2,5,10,8,21,14,47,53,0.0,0.0,1.48,1.53,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.13,2.95,2.49,1.5,2.31,4.5,9.0,2.09,1.7,Stade Francis Le Basser (Laval),S6357A30A17
1724502600,Aug 24 2024 - 12:30pm,complete,10798.0,Lorient,Grenoble Foot 38,Faouzi Benchabane,2.0,0.0,0.0,3.0,0.5,2,0,2,0,0,0,"46,68",,9,7,1,0,2,0,1,0,1,1,13,12,6,4,5,3,11,11,54,46,0.0,0.0,1.49,1.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.3,3.5,1.33,1.73,3.4,6.5,1.8,1.91,Stade du Moustoir - Yves Allainmat (Lorient),S63510DE90E
1724697900,Aug 26 2024 - 6:45pm,complete,,Red Star,Ajaccio,Thierry Bouille,2.0,0.0,0.0,1.4,0.17,1,0,1,1,1,0,3,,2,8,2,0,3,0,0,2,0,3,6,18,3,3,2,9,14,13,42,58,0.0,0.0,0.8,1.4,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.33,2.95,3.15,1.48,2.32,4.75,9.5,2.0,1.73,Stade de Paris (Stade Bauer) (Saint-Ouen),S63569A7B51
