timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722623400,Aug 02 2024 - 6:30pm,complete,50000.0,Köln,Hamburger SV,Max Burda,1.0,0.0,0.0,1.17,1.4,1,2,3,2,0,2,78,"5,35",6,3,2,0,2,0,1,1,1,1,29,11,5,7,13,1,17,7,60,40,0.0,0.0,2.21,1.15,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.7,2.88,1.22,1.7,2.33,5.0,1.57,2.25,RheinEnergieSTADION (Köln),S635801B3BB
1722682800,Aug 03 2024 - 11:00am,complete,,Karlsruher SC,Nürnberg,Robin Braun,1.0,0.0,0.0,2.0,1.33,3,2,5,3,1,2,"45'2,73,79","20,31",7,3,2,0,4,0,1,1,1,3,16,16,6,6,6,5,15,12,53,47,0.0,0.0,1.6,1.27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.81,3.98,4.04,1.22,1.68,2.85,5.0,1.62,2.2,BBBank Wildpark (Karlsruhe),S635C295FF3
1722682800,Aug 03 2024 - 11:00am,complete,,Hannover 96,Jahn Regensburg,Michael Bacher,1.0,0.0,0.0,3.0,0.0,2,0,2,2,2,0,"11,23",,5,3,1,0,0,0,0,1,0,0,18,11,6,4,6,6,12,17,54,46,0.0,0.0,1.5,1.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.72,4.05,4.49,1.22,1.63,2.8,5.0,1.67,2.1,Heinz von Heiden-Arena (Hannover),S635BA2F8DC
1722682800,Aug 03 2024 - 11:00am,complete,,Hertha BSC,Paderborn,Wolfgang Haslberger,1.0,0.0,0.0,1.0,1.5,1,2,3,1,0,1,72,"42,48",1,8,2,0,1,0,1,1,0,1,11,12,5,5,3,4,16,8,59,41,0.0,0.0,1.29,1.21,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.97,3.92,3.46,1.18,1.53,2.25,4.0,1.5,2.5,Olympiastadion Berlin (Berlin),S635527FB83
1722682800,Aug 03 2024 - 11:00am,complete,,Magdeburg,Elversberg,Florian Heft,1.0,0.0,0.0,0.8,1.0,0,0,0,0,0,0,,,11,1,3,0,2,0,1,2,0,2,21,9,7,3,9,4,11,8,60,40,0.0,0.0,1.96,0.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.84,3.59,1.2,1.62,2.65,4.5,1.57,2.25,Avnet Arena (Magdeburg),S635CCCBFF4
1722709800,Aug 03 2024 - 6:30pm,complete,,Schalke 04,Eintracht Braunschweig,Tobias Stieler,1.0,0.0,0.0,0.8,0.33,5,1,6,3,2,1,"9,25,73,82,83",32,3,3,2,0,2,0,0,2,1,1,15,12,9,7,4,5,13,12,56,44,0.0,0.0,1.71,1.46,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.7,3.6,4.6,1.26,1.6,3.25,6.5,1.73,2.0,VELTINS-Arena (Gelsenkirchen),S635E101F7B
1722771000,Aug 04 2024 - 11:30am,complete,,Darmstadt 98,Fortuna Düsseldorf,Robert Kampka,1.0,0.0,0.0,1.0,2.5,0,2,2,0,0,0,,"55,86",7,6,2,1,2,0,0,3,0,2,13,12,7,5,3,5,16,7,45,55,0.0,0.0,1.43,1.22,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,3.4,2.5,1.22,1.7,2.8,5.0,1.57,2.25,Merck-Stadion am Böllenfalltor (Darmstadt),S6350772398
1722771000,Aug 04 2024 - 11:30am,complete,,Greuther Fürth,Preußen Münster,Richard Hempel,1.0,0.0,0.0,0.83,0.8,3,1,4,2,1,1,"25,50,55",41,6,5,1,0,2,0,1,0,0,2,22,15,10,5,10,10,9,11,47,53,0.0,0.0,2.28,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,3.5,4.0,1.22,1.7,2.85,5.0,1.62,2.2,Sportpark Ronhof Thomas Sommer (Fürth),S635E1EB119
1722771000,Aug 04 2024 - 11:30am,complete,,Ulm,Kaiserslautern,Robert Schröder,1.0,0.0,0.0,0.67,1.67,1,2,3,0,0,0,48,"77,83",6,7,2,0,3,0,1,1,0,3,12,14,4,6,6,6,12,16,50,50,0.0,0.0,1.22,1.42,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,3.4,2.5,1.25,1.77,3.0,5.5,1.62,2.2,Donaustadion (Ulm),S63575C8FA9
1723221000,Aug 09 2024 - 4:30pm,complete,,Kaiserslautern,Greuther Fürth,Florian Lechner,2.0,0.0,0.0,1.2,1.6,2,2,4,3,1,2,"45'1,84","31,38",8,5,3,0,1,0,2,1,0,1,15,15,8,8,6,4,10,14,56,44,0.0,0.0,1.8,1.54,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.93,3.71,3.64,1.22,1.61,2.3,4.75,1.57,2.3,Fritz-Walter-Stadion (Kaiserslautern),S63514AEA5A
