timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1724437800,Aug 23 2024 - 6:30pm,complete,54042.0,Borussia M'gladbach,Bayer Leverkusen,Robert Schröder,1.0,0.0,0.0,1.8,2.0,2,3,5,2,0,2,"59,85","12,38,90'11",2,4,1,0,0,0,0,1,0,0,16,27,8,11,3,8,11,7,42,58,0.0,0.0,1.46,2.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.35,4.18,1.64,1.16,1.57,2.3,4.0,1.57,2.25,BORUSSIA-PARK (Mönchengladbach),S6354B235E4
1724506200,Aug 24 2024 - 1:30pm,complete,,RB Leipzig,Bochum,Benjamin Brand,1.0,0.0,0.0,2.5,0.0,1,0,1,0,0,0,59,,9,3,1,1,3,0,1,1,2,1,14,11,4,5,5,0,9,16,63,37,0.0,0.0,1.16,0.87,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.33,5.75,8.25,1.08,1.35,2.1,3.04,1.75,2.0,Red Bull Arena (Leipzig),S635F13846A
1724506200,Aug 24 2024 - 1:30pm,complete,18503.0,Hoffenheim,Holstein Kiel,Tobias Stieler,1.0,0.0,0.0,1.2,0.5,3,2,5,2,2,0,"6,37,87","63,89",8,6,2,0,2,1,1,1,1,2,23,18,9,7,9,7,8,14,55,45,0.0,0.0,2.26,1.61,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,4.2,4.8,1.19,1.55,2.3,4.33,1.57,2.25,PreZero Arena (Sinsheim),S635DFD05B6
1724506200,Aug 24 2024 - 1:30pm,complete,,Freiburg,Stuttgart,Tobias Welz,1.0,0.0,0.0,2.0,1.0,3,1,4,2,1,1,"26,54,61",2,6,3,2,0,1,0,1,1,0,1,17,10,7,3,5,5,7,10,33,67,0.0,0.0,1.5,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.45,3.6,2.1,1.26,1.79,3.0,5.5,1.62,2.2,Europa-Park Stadion (Freiburg im Breisgau),S6354F7154A
1724506200,Aug 24 2024 - 1:30pm,complete,,Augsburg,Werder Bremen,Sascha Stegemann,1.0,0.0,0.0,2.0,2.0,2,2,4,3,2,1,"16,35","12,58",4,2,3,0,1,0,0,3,0,1,12,13,4,6,6,4,11,10,45,55,0.0,0.0,1.22,1.32,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.65,3.15,1.21,1.68,2.73,4.75,1.62,2.2,WWK Arena (Augsburg),S635729A993
1724506200,Aug 24 2024 - 1:30pm,complete,,Mainz 05,Union Berlin,Harm Osmers,1.0,0.0,0.0,0.4,1.0,1,1,2,0,0,0,53,74,8,9,1,0,3,0,1,0,1,2,15,16,4,6,8,6,10,15,54,46,0.0,0.0,1.23,1.54,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.4,3.8,1.4,2.2,4.2,8.5,1.95,1.8,MEWA ARENA (Mainz),S6355D8BC6D
1724517000,Aug 24 2024 - 4:30pm,complete,81365.0,Borussia Dortmund,Eintracht Frankfurt,Felix Zwayer,1.0,0.0,0.0,3.0,1.4,2,0,2,0,0,0,"72,90'3",,7,7,0,0,1,0,0,0,0,1,21,9,6,4,7,4,6,3,70,30,0.0,0.0,1.89,1.12,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.68,4.04,4.15,1.11,1.45,2.2,3.48,1.5,2.5,SIGNAL IDUNA PARK (Dortmund),S6359BE0B80
1724592600,Aug 25 2024 - 1:30pm,complete,30000.0,Wolfsburg,Bayern München,Daniel Siebert,1.0,0.0,0.0,0.4,2.6,2,3,5,1,0,1,"47,55","19,65,82",1,7,2,0,3,0,0,2,1,2,12,16,3,9,7,2,12,11,29,71,0.0,0.0,1.03,1.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.5,4.8,1.5,1.12,1.44,2.0,3.5,1.62,2.2,Volkswagen Arena (Wolfsburg),S63544C73FF
1724599800,Aug 25 2024 - 3:30pm,complete,29157.0,St. Pauli,Heidenheim,Sven Jablonski,1.0,0.0,0.0,0.5,1.2,0,2,2,0,0,0,,"66,82",4,2,2,0,3,0,2,0,1,2,12,7,4,4,7,2,9,15,61,39,0.0,0.0,1.27,0.87,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.5,3.4,1.3,1.98,3.25,6.5,1.7,2.05,Millerntor-Stadion (Hamburg),S63548C31CD
1725042600,Aug 30 2024 - 6:30pm,complete,,Union Berlin,St. Pauli,Bastian Dankert,2.0,0.0,0.0,2.5,1.2,1,0,1,1,1,0,34,,5,4,3,0,1,0,0,3,1,0,12,9,6,2,5,4,10,11,39,61,0.0,0.0,1.36,0.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.55,3.7,1.26,1.77,3.1,5.7,1.75,2.0,Stadion An der Alten Försterei (Berlin),S635E20A46E
1725111000,Aug 31 2024 - 1:30pm,complete,59000.0,Stuttgart,Mainz 05,Timo Gerach,2.0,0.0,0.0,2.0,2.0,3,3,6,3,2,1,"8,15,88","43,62,90'4",11,2,4,0,2,0,1,3,0,2,29,12,13,8,8,1,6,12,64,36,0.0,0.0,2.62,1.27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,4.4,5.75,1.18,1.54,2.34,4.3,1.67,2.1,MHPArena (Stuttgart),S63555517CC
1725111000,Aug 31 2024 - 1:30pm,complete,,Eintracht Frankfurt,Hoffenheim,Florian Badstübner,2.0,0.0,0.0,2.5,0.5,3,1,4,2,2,0,"24,33,56",54,1,4,0,0,3,0,0,0,1,2,19,12,8,4,8,4,10,10,50,50,0.0,0.0,1.86,1.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.75,3.4,1.11,1.63,2.28,3.56,1.5,2.5,Deutsche Bank Park (Frankfurt am Main),S635C393C66
1725111000,Aug 31 2024 - 1:30pm,complete,,Werder Bremen,Borussia Dortmund,Robert Hartmann,2.0,0.0,0.0,0.5,0.25,0,0,0,0,0,0,,,5,6,2,0,6,1,1,1,2,5,6,10,2,5,0,3,11,16,47,53,0.0,0.0,0.65,1.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.9,4.1,1.78,1.1,1.45,2.04,3.3,1.44,2.63,Weserstadion (Bremen),S635405A394
1725111000,Aug 31 2024 - 1:30pm,complete,,Bochum,Borussia M'gladbach,Sören Storks,2.0,0.0,0.0,0.25,1.0,0,2,2,0,0,0,,"67,78",3,4,1,0,0,0,0,1,0,0,17,16,5,7,9,5,9,10,39,61,0.0,0.0,1.57,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.35,3.7,2.75,1.17,1.58,2.65,4.25,1.53,2.38,Vonovia Ruhrstadion (Bochum),S6354000C6A
1725111000,Aug 31 2024 - 1:30pm,complete,,Holstein Kiel,Wolfsburg,Florian Exner,2.0,0.0,0.0,0.6,1.75,0,2,2,2,0,2,,"27,30",1,7,4,0,7,0,0,4,4,3,14,14,6,6,6,4,17,14,54,46,0.0,0.0,1.4,1.46,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,3.5,2.25,1.23,1.77,2.79,5.15,1.62,2.2,Holstein-Stadion (Kiel),S63531EE205
1725121800,Aug 31 2024 - 4:30pm,complete,29615.0,Bayer Leverkusen,RB Leipzig,Matthias Jöllenbeck,2.0,0.0,0.0,1.6,2.0,2,3,5,3,2,1,"38,45","45'7,57,80",18,2,3,0,1,0,2,1,0,1,27,9,11,5,9,3,7,8,63,37,0.0,0.0,2.58,1.06,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,4.0,3.75,1.12,1.58,2.25,3.56,1.5,2.5,BayArena (Leverkusen),S635824A4FB
1725197400,Sep 01 2024 - 1:30pm,complete,,Heidenheim,Augsburg,Martin Petersen,2.0,0.0,0.0,1.0,0.25,4,0,4,2,2,0,"9,30,69,73",,5,6,1,0,4,0,0,1,1,3,16,16,9,2,5,11,15,10,36,64,0.0,0.0,1.69,1.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.25,3.45,3.0,1.22,1.64,2.77,4.95,1.57,2.25,Voith-Arena (Heidenheim an der Brenz),S6352596B31
1725204600,Sep 01 2024 - 3:30pm,complete,,Bayern München,Freiburg,Christian Dingert,2.0,0.0,0.0,2.5,1.5,2,0,2,1,1,0,"38,78",,2,4,1,0,0,0,1,0,0,0,14,10,4,4,4,4,13,12,67,33,0.0,0.0,1.17,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.2,7.0,12.0,1.03,1.28,1.7,2.2,1.67,2.1,Allianz Arena (München),S635AC6599F
1726252200,Sep 13 2024 - 6:30pm,complete,,Borussia Dortmund,Heidenheim,Robert Schröder,3.0,3.0,3.0,3.0,1.2,4,2,6,4,3,1,"11,17,41,90'3","39,74",8,1,2,0,2,0,0,2,0,2,15,12,7,5,4,2,12,18,61,39,1.89,0.87,1.57,1.06,2.0,0,100,0,0,0,0,0,100,100,9.0,3.0,1.37,5.5,7.5,1.13,1.49,1.9,3.74,1.8,1.95,SIGNAL IDUNA PARK (Dortmund),S635CDBFBD5
1726320600,Sep 14 2024 - 1:30pm,complete,,RB Leipzig,Union Berlin,Sven Jablonski,3.0,3.0,1.0,2.5,1.0,0,0,0,0,0,0,,,6,5,2,0,3,0,0,2,1,2,15,11,4,4,5,4,8,19,68,32,1.16,1.54,1.12,0.98,1.5,50,50,0,0,0,0,0,50,100,18.0,6.0,1.47,4.6,6.25,1.19,1.62,2.29,4.5,1.8,1.95,Red Bull Arena (Leipzig),S6354E2F669
1726320600,Sep 14 2024 - 1:30pm,complete,,Hoffenheim,Bayer Leverkusen,Daniel Schlager,3.0,3.0,3.0,1.2,2.0,1,4,5,3,1,2,37,"17,30,72,75",4,12,2,0,2,0,1,1,1,1,16,21,6,9,4,6,9,10,40,60,2.26,2.43,1.39,2.14,5.0,100,100,100,100,100,100,100,100,100,12.0,2.0,5.25,5.0,1.53,1.09,1.45,2.05,2.9,1.44,2.63,PreZero Arena (Sinsheim),S635E378709
1726320600,Sep 14 2024 - 1:30pm,complete,,Freiburg,Bochum,Daniel Siebert,3.0,3.0,0.0,2.0,0.0,2,1,3,1,0,1,"58,61",45,5,6,0,0,3,0,0,0,0,3,27,14,10,4,8,6,5,16,54,46,1.5,0.87,2.14,1.19,2.5,50,50,50,50,0,50,50,50,100,9.0,5.0,1.7,4.0,4.6,1.22,1.62,2.7,5.0,1.67,2.1,Europa-Park Stadion (Freiburg im Breisgau),S635BA3DDB9
1726320600,Sep 14 2024 - 1:30pm,complete,26281.0,Wolfsburg,Eintracht Frankfurt,Harm Osmers,3.0,0.0,0.0,0.4,1.4,1,2,3,1,0,1,76,"30,82",5,4,1,0,2,0,0,1,1,1,19,15,5,7,6,4,7,18,60,40,1.03,1.12,1.54,1.43,3.5,50,100,50,50,50,0,50,100,100,8.0,3.0,2.7,3.6,2.5,1.22,1.67,2.75,5.0,1.57,2.25,Volkswagen Arena (Wolfsburg),S6352C323EE
1726320600,Sep 14 2024 - 1:30pm,complete,53756.0,Borussia M'gladbach,Stuttgart,Felix Brych,3.0,0.0,0.0,1.8,1.0,1,3,4,2,1,1,27,"21,57,61",6,2,2,0,2,0,1,1,1,1,16,13,8,8,4,2,14,12,44,56,1.46,1.03,1.65,1.47,4.5,100,100,100,100,50,100,100,100,100,5.0,2.0,2.75,3.95,2.3,1.14,1.5,2.17,3.6,1.44,2.63,BORUSSIA-PARK (Mönchengladbach),S635D02722B
1726331400,Sep 14 2024 - 4:30pm,complete,,Holstein Kiel,Bayern München,Tobias Reichel,3.0,0.0,3.0,0.6,2.6,1,6,7,4,0,4,82,"1,7,13,43,65,90'1",2,10,0,0,1,0,0,0,0,1,6,24,2,13,3,6,12,11,29,71,1.4,1.77,0.6,2.64,3.5,50,100,50,50,50,50,100,50,50,8.0,7.0,10.0,7.0,1.22,1.04,1.27,1.67,2.47,1.62,2.2,Holstein-Stadion (Kiel),S63514AEBCC
1726407000,Sep 15 2024 - 1:30pm,complete,30660.0,Augsburg,St. Pauli,Felix Zwayer,3.0,1.0,0.0,2.0,1.2,3,1,4,0,0,0,"47,66,90'6",74,7,7,4,0,3,0,1,3,2,1,19,13,10,4,7,4,12,10,43,57,1.22,0.81,2.17,1.13,2.5,50,50,50,50,0,50,100,0,50,8.0,4.0,1.89,3.5,3.75,1.25,1.78,2.21,5.5,1.62,2.2,WWK Arena (Augsburg),S635CD68A17
1726414200,Sep 15 2024 - 3:30pm,complete,,Mainz 05,Werder Bremen,Benjamin Brand,3.0,1.0,1.0,0.4,2.0,1,2,3,2,1,1,27,"8,69",10,4,3,0,1,1,2,1,0,2,18,15,6,6,6,6,12,7,58,42,1.23,1.32,1.72,1.39,3.0,100,100,50,50,0,50,50,50,100,10.0,2.0,2.0,3.7,3.64,1.22,1.72,2.75,5.0,1.67,2.1,MEWA ARENA (Mainz),S635DB2F456
1726857000,Sep 20 2024 - 6:30pm,complete,28913.0,Augsburg,Mainz 05,Sören Storks,4.0,2.0,1.0,2.0,2.0,2,3,5,3,1,2,"25,57","13,15,49",14,1,3,1,4,1,0,4,3,2,30,6,9,4,12,2,7,12,73,27,1.7,1.27,2.68,0.79,5.0,100,100,100,100,50,75,75,75,100,7.5,5.5,2.63,3.65,2.5,1.21,1.7,2.73,4.9,1.57,2.25,WWK Arena (Augsburg),S63589F763B
1726925400,Sep 21 2024 - 1:30pm,complete,,Heidenheim,Freiburg,Benjamin Brand,4.0,3.0,0.0,1.0,1.5,0,3,3,0,0,0,,"54,59,65",3,9,1,0,1,0,0,1,0,1,8,16,2,6,5,6,6,7,42,58,1.69,1.03,0.81,1.58,3.0,0,100,50,50,0,50,100,50,100,9.0,1.0,2.7,3.4,2.55,1.24,1.67,2.85,5.0,1.57,2.25,Voith-Arena (Heidenheim an der Brenz),S63511EA4DA
1726925400,Sep 21 2024 - 1:30pm,complete,,Werder Bremen,Bayern München,Bastian Dankert,4.0,1.0,3.0,0.5,2.6,0,5,5,2,0,2,,"23,32,57,60,65",1,4,0,0,3,0,0,0,1,2,0,26,0,8,0,5,4,13,30,70,0.65,2.21,0.17,1.9,3.0,50,50,50,50,50,25,50,50,50,13.5,4.0,6.5,4.75,1.4,1.06,1.34,1.95,2.93,1.53,2.38,Weserstadion (Bremen),S6358163BD3
1726925400,Sep 21 2024 - 1:30pm,complete,,Union Berlin,Hoffenheim,Matthias Jöllenbeck,4.0,3.0,0.0,2.5,0.5,2,1,3,2,2,0,"4,6",67,5,5,3,0,3,0,1,2,0,3,13,8,3,4,4,2,17,18,51,49,1.36,1.08,0.95,1.04,2.5,50,50,50,50,0,50,100,50,50,9.0,6.0,2.1,3.4,3.4,1.24,1.7,2.85,5.0,1.62,2.2,Stadion An der Alten Försterei (Berlin),S635EB9B5C7
1726925400,Sep 21 2024 - 1:30pm,complete,,Bochum,Holstein Kiel,Martin Petersen,4.0,0.0,0.0,0.25,0.5,2,2,4,3,2,1,"22,35","15,89",2,5,4,0,1,0,1,3,0,1,15,15,4,5,7,8,19,9,44,56,1.57,1.61,1.18,1.47,3.5,50,100,50,50,50,50,50,100,100,9.0,4.0,1.95,3.6,3.7,1.19,1.6,2.46,4.37,1.53,2.38,Vonovia Ruhrstadion (Bochum),S63579D6045
1726936200,Sep 21 2024 - 4:30pm,complete,,Eintracht Frankfurt,Borussia M'gladbach,Tobias Welz,4.0,3.0,3.0,2.5,1.0,2,0,2,1,1,0,"30,80",,8,5,1,0,1,0,1,0,1,0,20,26,5,8,8,6,10,12,37,63,1.86,1.59,1.54,1.9,3.0,50,100,50,50,0,50,50,100,100,5.0,0.0,1.73,4.0,4.4,1.1,1.43,2.15,3.5,1.5,2.5,Deutsche Bank Park (Frankfurt am Main),S635F4B5E76
1727011800,Sep 22 2024 - 1:30pm,complete,29250.0,Bayer Leverkusen,Wolfsburg,Sascha Stegemann,4.0,0.0,3.0,1.6,1.75,4,3,7,5,2,3,"14,32,48,90'3","5,37,45'1",6,2,4,0,5,1,2,2,0,6,21,10,8,5,7,5,6,14,79,21,2.58,1.46,2.27,1.11,3.5,50,100,50,50,50,100,100,50,50,25.0,10.0,1.34,5.25,8.75,1.15,1.58,2.1,3.75,1.8,1.95,BayArena (Leverkusen),S635D38280B
1727019000,Sep 22 2024 - 3:30pm,complete,,Stuttgart,Borussia Dortmund,Florian Badstübner,4.0,1.0,1.0,2.0,0.25,5,1,6,2,2,0,"4,21,62,80,90",75,6,4,1,0,3,0,1,0,0,3,18,8,10,4,6,2,10,6,52,48,2.62,1.08,1.96,0.91,3.0,50,50,50,50,50,50,50,50,50,17.0,11.0,2.14,4.0,2.95,1.14,1.45,2.25,3.6,1.4,2.75,MHPArena (Stuttgart),S6355BC5480
1727026200,Sep 22 2024 - 5:30pm,complete,,St. Pauli,RB Leipzig,Robert Hartmann,4.0,0.0,3.0,0.5,2.0,0,0,0,0,0,0,,,3,1,2,0,1,0,1,1,1,0,19,11,6,6,10,4,6,8,31,69,1.27,1.06,1.76,1.34,3.5,50,100,50,50,50,50,50,100,100,6.0,3.0,4.9,4.2,1.65,1.2,1.63,2.7,4.75,1.67,2.1,Millerntor-Stadion (Hamburg),S635C30A01E
