timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722042000,Jul 27 2024 - 1:00am,complete,,Motagua,Lobos UPNFM,,1,0.0,0.0,1.79,1.21,4,2,6,2,1,1,"24,49,69,88","45'1,85",9,4,4,1,0,0,1,4,0,0,14,12,9,6,5,6,-1,-1,57,43,0.0,0.0,2.01,1.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.36,4.33,6.5,1.25,1.8,3.0,5.9,1.99,1.8,Estadio Tiburcio Carías Andino,S6356BC9920
1722114000,Jul 27 2024 - 9:00pm,complete,,Marathón,Victoria,,1,0.0,0.0,1.43,1.36,2,2,4,2,0,2,"67,72","36,45",1,4,-1,-1,-1,-1,-1,-1,-1,-1,14,12,6,6,8,6,-1,-1,51,49,0.0,0.0,1.62,1.44,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4,4.2,6.5,1.22,1.8,2.75,4.8,2.06,1.74,Estadio Yankel Rosenthal,S635AA7A6E8
1722128400,Jul 28 2024 - 1:00am,complete,,Génesis,Olimpia,,1,0.0,0.0,1.14,1.86,0,3,3,1,0,1,,"45'3,53,76",5,4,-1,-1,-1,-1,-1,-1,-1,-1,6,14,2,7,4,7,-1,-1,52,48,0.0,0.0,0.76,1.74,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.75,3.5,1.62,1.25,2.15,2.9,5.5,1.7,1.43,,S635BAB7A61
1722200400,Jul 28 2024 - 9:00pm,complete,,Real Sociedad,Real España,,1,0.0,0.0,0.71,1.93,0,3,3,0,0,0,,"78,86,90'4",2,7,-1,-1,-1,-1,-1,-1,-1,-1,5,7,0,4,5,3,-1,-1,45,55,0.0,0.0,0.65,1.14,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.7,3.3,2.3,1.25,2.08,2.8,5.0,1.77,1.89,,S635AB49D32
1722208500,Jul 28 2024 - 11:15pm,complete,,Olancho,Juticalpa,,1,0.0,0.0,1.21,0.79,0,1,1,0,0,0,,78,4,3,-1,-1,-1,-1,-1,-1,-1,-1,4,3,2,2,2,1,-1,-1,53,47,0.0,0.0,0.54,0.47,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,3.7,4.33,1.29,1.95,3.2,6.0,1.95,1.83,,S635D9F77C3
1722718800,Aug 03 2024 - 9:00pm,complete,,Lobos UPNFM,Olancho,,2,0.0,0.0,1.21,1.21,1,0,1,0,0,0,48,,3,6,-1,-1,-1,-1,-1,-1,-1,-1,11,12,6,4,5,8,-1,-1,45,55,1.71,0.54,1.37,1.38,3.5,50,50,50,50,50,50,50,50,100,8.0,-1.0,3.4,3.1,2.05,1.38,2.3,4.0,7.9,2.02,1.84,Estadio Tiburcio Carías Andino,S63500FA514
1722726900,Aug 03 2024 - 11:15pm,complete,,Real España,Motagua,,2,3.0,3.0,1.93,1.79,1,0,1,1,1,0,45'5,,5,3,-1,-1,-1,-1,-1,-1,-1,-1,4,3,3,2,1,1,-1,-1,49,51,1.14,2.01,0.69,0.57,4.5,50,100,100,50,50,50,50,100,100,16.0,4.0,2.4,3.4,2.6,1.33,2.0,3.65,7.1,1.81,2.0,Estadio Francisco Morazán,S635EC3DC64
1722735000,Aug 04 2024 - 1:30am,complete,,Victoria,Génesis,,2,1.0,0.0,1.36,1.14,2,2,4,2,0,2,"55,62","24,34",4,6,-1,-1,-1,-1,-1,-1,-1,-1,14,7,4,5,10,2,-1,-1,42,58,1.44,0.76,1.47,1.08,3.5,50,100,100,50,0,50,100,100,100,9.0,-2.0,2.6,2.9,2.63,1.33,2.25,3.4,6.5,1.87,1.89,Estadio Municipal Ceibeño Nilmo Edwards,S6355BF1505
1722813300,Aug 04 2024 - 11:15pm,complete,,Olimpia,Marathón,,2,3.0,1.0,1.86,1.43,2,2,4,3,1,2,"39,47","14,45'1",7,3,-1,-1,-1,-1,-1,-1,-1,-1,4,5,2,2,2,3,-1,-1,48,52,1.74,1.62,0.99,0.99,3.5,50,100,100,50,0,50,100,100,100,5.0,-2.0,1.5,4.1,5.25,1.2,1.75,2.71,4.9,1.94,1.9,Estadio Tiburcio Carías Andino,S63514E4FBD
1722821400,Aug 05 2024 - 1:30am,complete,,Juticalpa,Real Sociedad,,2,3.0,0.0,0.79,0.71,1,1,2,1,0,1,51,26,7,1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,3,2,2,3,-1,-1,51,49,0.47,0.65,0.87,0.71,2.0,0,50,50,0,0,0,0,50,100,5.0,-2.0,2.25,3.2,2.88,1.32,2.1,3.48,6.8,1.81,1.85,,S635FF8964E
