timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1726236000,Sep 13 2024 - 2:00pm,complete,,ATK Mohun Bagan,Mumbai City,,1.0,0.0,0.0,2.33,1.33,2,2,4,2,2,0,"9,28","70,90",5,7,4,0,4,0,0,4,1,3,6,16,3,7,0,7,14,12,47,53,0.0,0.0,0.69,1.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,3.5,2.7,1.14,1.45,2.23,4.04,1.44,2.7,Vivekananda Yuba Bharati Krirangan Stadium (Kolkata),S635D953B8B
1726313400,Sep 14 2024 - 11:30am,complete,,Odisha FC,Chennaiyin,,1.0,0.0,0.0,1.75,2.0,2,3,5,1,1,0,"9,90'5","48,51,69",6,4,1,0,1,0,1,0,0,1,11,24,7,6,1,10,10,7,60,40,0.0,0.0,1.34,1.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.35,3.35,1.23,1.65,2.82,5.17,1.62,2.1,Kalinga Stadium (Bhubaneswar),S63570822B0
1726322400,Sep 14 2024 - 2:00pm,complete,,Bengaluru,East Bengal,Crystal John,1.0,0.0,0.0,3.0,0.0,1,0,1,1,1,0,25,,2,4,3,0,5,1,0,3,3,3,10,11,3,3,4,6,12,19,46,54,0.0,0.0,1.03,1.22,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.3,3.1,1.21,1.67,2.78,5.05,1.62,2.1,Sree Kanteerava Stadium (Bangalore),S635C8A9148
1726408800,Sep 15 2024 - 2:00pm,complete,,Kerala Blasters,Minerva Punjab,R Venkatesh,1.0,0.0,0.0,1.0,1.0,1,2,3,0,0,0,90'2,"86,90'5",1,3,5,0,5,0,0,5,0,5,7,13,5,4,1,5,11,7,57,43,0.0,0.0,1.02,1.24,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.45,3.43,1.24,1.74,2.9,5.39,1.65,2.05,Jawaharlal Nehru International Stadium (Kochi),S6357BC37C5
1726495200,Sep 16 2024 - 2:00pm,complete,,Mohammedan,NorthEast United,,1.0,0.0,0.0,0.25,1.33,0,1,1,0,0,0,,90'4,3,4,3,0,3,0,1,2,2,1,10,14,3,3,6,7,13,17,60,40,0.0,0.0,1.13,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.05,3.55,2.02,0.0,1.56,0.0,0.0,1.53,2.38,Kishore Bharati Krirangan (Kalkātā (Kolkata)),S635FAB8BD9
1726581600,Sep 17 2024 - 2:00pm,complete,,Goa,Jamshedpur,,1.0,0.0,0.0,1.4,1.0,1,2,3,1,1,0,45'3,"74,90'3",5,4,2,0,2,0,0,2,1,1,21,14,6,6,9,7,12,9,62,38,0.0,0.0,1.95,1.7,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.45,4.15,5.1,1.12,1.53,2.25,3.75,1.6,2.25,Pandit Jawaharlal Nehru Stadium (Margao),S635FA6315E
1726754400,Sep 19 2024 - 2:00pm,complete,,Bengaluru,Hyderabad,Tejas Nagvenkar,2.0,3.0,0.0,3.0,0.75,3,0,3,1,1,0,"5,85,90'4",,9,2,3,0,0,0,2,1,0,0,15,11,5,0,8,8,8,11,73,27,1.03,0.0,1.92,0.84,0.5,0,0,0,0,0,0,50,0,0,2.0,3.0,1.27,5.0,8.5,1.16,1.58,2.42,4.25,1.86,1.8,Sree Kanteerava Stadium (Bangalore),S635C74D107
1726840800,Sep 20 2024 - 2:00pm,complete,,Minerva Punjab,Odisha FC,Jamal Mohamed,2.0,0.0,0.0,3.0,0.33,2,1,3,1,1,0,"28,89",90'6,9,2,3,0,1,0,0,3,1,0,18,10,8,0,5,6,9,5,30,70,0.0,0.0,1.78,0.89,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.9,3.35,2.15,1.2,1.72,2.88,5.5,1.62,2.25,Jawaharlal Nehru Stadium (New Delhi),S635AC9BD42
1726918200,Sep 21 2024 - 11:30am,complete,,Jamshedpur,Mumbai City,,2.0,0.0,1.0,2.25,1.33,3,2,5,3,2,1,"36,44,50","18,77",5,6,7,0,2,0,2,5,1,1,18,21,8,7,7,7,13,3,32,68,0.0,1.77,1.87,1.96,2.0,50,50,50,50,0,50,50,50,50,7.0,4.0,3.6,3.6,1.83,1.25,1.7,2.92,4.9,1.67,2.15,JRD Tata Sports Complex (Jamshedpur),S63518B3EFC
1726927200,Sep 21 2024 - 2:00pm,complete,,Mohammedan,Goa,,2.0,0.0,0.0,0.25,1.67,1,1,2,0,0,0,66,90'4,4,5,2,0,5,0,0,2,2,3,23,12,8,5,11,4,5,14,46,54,1.13,0.0,2.2,1.38,0.5,0,0,0,0,0,0,0,0,50,3.0,3.0,3.1,3.3,2.1,1.23,1.85,2.97,5.45,1.73,2.0,Kishore Bharati Krirangan (Kalkātā (Kolkata)),S635007E79A
