timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1723204800,Aug 09 2024 - 12:00pm,complete,,Persib,PSBS Biak Numfor,,1.0,0.0,0.0,2.33,0.75,4,1,5,1,1,0,"18,65,77,85",52,4,4,0,0,0,0,0,0,0,0,15,14,9,8,6,6,51,49,41,59,0.0,0.0,1.9,1.83,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.16,5.8,12.0,1.15,1.55,2.38,4.15,1.93,1.73,Stadion Si Jalak Harupat (Soreang),S6359AF77A0
1723278600,Aug 10 2024 - 8:30am,complete,,Madura United,Malut United,,1.0,0.0,0.0,1.25,1.0,1,1,2,0,0,0,70,81,3,5,1,0,4,1,1,0,2,3,6,8,2,3,4,5,14,11,62,38,0.0,0.0,0.97,1.18,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.55,4.2,4.2,1.17,1.55,2.45,4.05,1.6,2.1,Stadion Gelora Bangkalan (Bangkalan),S635C6FE593
1723278600,Aug 10 2024 - 8:30am,complete,,PSM,Persis Solo,,1.0,0.0,0.0,1.71,0.2,3,0,3,2,2,0,"23,31,74",,10,3,2,0,2,0,1,1,1,1,9,3,4,0,5,3,19,8,45,55,0.0,0.0,1.26,0.41,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,3.2,2.7,1.28,1.83,3.1,5.8,1.65,2.05,Stadion Batakan (Balikpapan),S63533C169C
1723291200,Aug 10 2024 - 12:00pm,complete,,Persija,Barito Putera,Asep Yandis,1.0,0.0,0.0,2.2,0.8,3,0,3,1,1,0,"11,71,82",,5,3,3,0,2,0,1,2,2,0,9,13,5,6,4,7,23,6,59,41,0.0,0.0,1.27,1.47,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.2,3.2,2.87,1.28,1.8,3.0,5.5,1.62,2.1,Jakarta International Stadium (Jakarta),S63564AFA6C
1723365000,Aug 11 2024 - 8:30am,complete,,PSIS Semarang,Persita,,1.0,0.0,0.0,0.6,2.0,0,1,1,0,0,0,,83,12,4,1,0,2,0,0,1,1,1,10,8,5,4,5,4,12,13,54,46,0.0,0.0,1.45,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.92,3.7,3.6,1.19,1.62,2.3,4.7,1.57,2.15,Stadion Madya Magelang (Magelang),S6351BA2F7F
1723365000,Aug 11 2024 - 8:30am,complete,,Persik Kediri,Bali United,,1.0,0.0,0.0,0.8,1.8,1,3,4,1,0,1,74,"18,50,69",0,5,2,0,5,0,0,2,1,4,9,14,4,5,5,9,15,26,68,32,0.0,0.0,1.45,1.61,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.39,3.55,2.7,1.2,1.64,2.68,4.8,1.55,2.2,Stadion Brawijaya (Kediri),S635DE4AEC3
1723377600,Aug 11 2024 - 12:00pm,complete,,Persebaya Surabaya,PSS Sleman,,1.0,0.0,0.0,2.2,1.4,1,0,1,0,0,0,78,,6,2,0,0,3,0,0,0,2,1,11,6,5,2,6,4,9,16,67,33,0.0,0.0,1.48,0.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.35,3.35,2.9,1.29,2.01,3.34,6.4,1.7,1.95,Stadion Gelora Bung Tomo (Surabaya),S635DC2AF73
1723451400,Aug 12 2024 - 8:30am,complete,,Arema,Dewa United,,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,,,10,4,1,0,3,0,0,1,2,1,11,12,3,3,8,9,14,11,35,65,0.0,0.0,1.37,1.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.39,3.24,2.69,1.24,1.66,2.78,5.5,1.53,2.25,Stadion Gelora Supriyadi (Blitar),S635A907455
1723464000,Aug 12 2024 - 12:00pm,complete,,Semen Padang,Borneo,Adham Mohammad Tumah Makhadmeh,1.0,0.0,0.0,0.8,1.6,1,3,4,2,0,2,76,"4,39,53",2,6,1,0,0,0,1,0,0,0,6,5,4,4,2,1,9,7,38,62,0.0,0.0,0.99,1.07,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.17,3.78,1.61,1.22,1.65,2.62,5.3,1.7,1.95,PTIK Stadium (South Jakarta City),S6359FE6689
1723797000,Aug 16 2024 - 8:30am,complete,,PSBS Biak Numfor,PSM,,2.0,0.0,0.0,2.0,1.67,1,2,3,1,0,1,51,"10,90'4",5,3,1,0,1,0,0,1,1,0,6,11,4,4,2,7,20,15,48,52,0.0,0.0,1.03,1.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,3.45,2.1,1.21,1.64,2.71,4.95,1.6,2.2,Stadion Kapten I Wayan Dipta (Gianyar),S635A0BE9CF
