timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1601145900,Sep 26 2020 - 6:45pm,complete,,Lecco,Giana Erminio,Adalberto Fiero,1.0,0.0,0.0,1.8,0.79,1,0,1,0,0,0,68,,3,6,1,0,2,0,1,0,2,0,13,5,8,3,5,2,-1,-1,51,49,0.0,0.0,1.93,1.05,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,2.8,3.55,1.32,2.05,3.65,6.6,1.77,1.83,Stadio Rigamonti Ceppi (Lecco),S6354ABD883
1601145900,Sep 26 2020 - 6:45pm,complete,,Vis Pesaro,Legnago Salus,,1.0,0.0,0.0,1.32,0.9,2,2,4,2,1,1,"30,80","16,89",11,3,2,0,1,0,2,0,1,0,16,12,5,9,11,3,-1,-1,47,53,0.0,0.0,2.05,1.86,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.87,3.35,3.45,1.34,2.1,3.8,6.9,1.91,1.69,Stadio Tonino Benelli (Pesaro ),S63501C4C5B
1601145900,Sep 26 2020 - 6:45pm,complete,,Cavese,Vibonese,,1.0,0.0,0.0,0.78,0.78,0,1,1,0,0,0,,58,3,1,1,0,2,0,1,0,2,0,5,7,2,5,3,2,-1,-1,47,53,0.0,0.0,1.13,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,2.65,2.75,1.41,2.3,4.25,7.75,1.91,1.69,Stadio Comunale Simonetta Lamberti (Cava de' Tirreni),S635F7DC216
1601211600,Sep 27 2020 - 1:00pm,complete,,AlbinoLeffe,Livorno,,1.0,0.0,0.0,1.29,0.68,0,0,0,0,0,0,,,2,5,0,0,0,0,0,0,0,0,5,14,0,5,5,9,15,20,47,53,0.0,0.0,0.71,1.84,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,3.1,2.55,0.0,0.0,0.0,0.0,0.0,0.0,Campo Sportivo Seven Sport Garden (Gorgonzola),S635B2591BA
1601211600,Sep 27 2020 - 1:00pm,complete,,Carrarese,Pro Patria,,1.0,0.0,0.0,1.16,1.74,0,0,0,0,0,0,,,3,3,-1,-1,-1,-1,-1,-1,-1,-1,8,7,4,0,4,7,-1,-1,48,52,0.0,0.0,1.32,0.67,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,3.05,5.5,0.0,0.0,0.0,0.0,0.0,0.0,Stadio dei Marmi (Carrara),S635269FFF6
1601211600,Sep 27 2020 - 1:00pm,complete,,Olbia,Pontedera,Francesco Luciani,1.0,0.0,0.0,1.42,1.2,0,1,1,0,0,0,,67,3,3,0,0,0,0,0,0,0,0,10,5,3,4,7,1,18,27,50,50,0.0,0.0,1.3,1.01,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.2,3.05,2.95,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Bruno Nespoli (Olbia),S63508D8B6F
1601211600,Sep 27 2020 - 1:00pm,complete,,Piacenza,Grosseto,,1.0,0.0,0.0,1.37,1.48,0,2,2,0,0,0,,"54,90'1",6,5,-1,-1,-1,-1,-1,-1,-1,-1,10,11,2,6,8,5,-1,-1,53,47,0.0,0.0,1.06,1.35,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.74,3.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Leonardo Garilli (Piacenza),S6355F89205
1601211600,Sep 27 2020 - 1:00pm,complete,,Pistoiese,US Alessandria,Claudio Panettella,1.0,0.0,0.0,1.37,1.5,1,1,2,1,0,1,83,17,2,6,-1,-1,-1,-1,-1,-1,-1,-1,9,11,6,5,3,6,-1,-1,49,51,0.0,0.0,1.47,1.7,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.95,2.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Marcello Melani (Pistoia),S635FC77896
1601211600,Sep 27 2020 - 1:00pm,complete,,Carpi,Sambenedettese,Matteo Marcenaro,1.0,0.0,0.0,1.53,1.35,2,0,2,1,1,0,"32,70",,2,4,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,2,1,6,-1,-1,48,52,0.0,0.0,1.15,1.01,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Sandro Cabassi (Carpi),S635DCE1843
1601211600,Sep 27 2020 - 1:00pm,complete,,FeralpiSalò,Arezzo,Mattia Pascarella,1.0,0.0,0.0,1.91,0.68,2,1,3,2,2,0,"5,32",84,2,5,0,0,0,0,0,0,0,0,9,11,5,4,4,7,29,14,50,50,0.0,0.0,1.27,1.48,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,2.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Lino Turina (Salò),S635015BA22
1601211600,Sep 27 2020 - 1:00pm,complete,,Gubbio,Modena,Gino Garofalo,1.0,0.0,0.0,1.32,1.55,0,2,2,0,0,0,,"49,78",7,4,-1,-1,-1,-1,-1,-1,-1,-1,10,11,6,6,4,5,-1,-1,47,53,0.0,0.0,1.66,1.54,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.95,2.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Pietro Barbetti (Gubbio),S63516782B5
