timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722042000,Jul 27 2024 - 1:00am,complete,,Venados,Tepatitlán de Morelos,,1.0,0.0,0.0,2.43,1.0,1,1,2,1,0,1,80,35,6,4,2,0,4,0,1,1,1,3,4,7,3,2,1,5,-1,-1,57,43,0.0,0.0,1.25,1.08,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.45,4.33,6.5,1.22,1.77,2.84,5.2,1.88,1.78,Estadio Olímpico Carlos Iturralde Rivero (Mérida),S63527386B5
1722049200,Jul 27 2024 - 3:00am,complete,,Leones Negros de la Universidad de Guadalajara,Tapatío,,1.0,0.0,0.0,2.14,1.71,1,1,2,1,1,0,26,69,4,5,0,0,3,0,0,0,0,3,9,12,6,6,3,6,-1,-1,54,46,0.0,0.0,1.35,1.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.4,3.4,1.22,1.8,2.84,5.2,1.66,2.16,Estadio Jalisco (Guadalajara),S6351BAAAB8
1722121200,Jul 27 2024 - 11:00pm,complete,,Tlaxcala,CA La Paz,,1.0,0.0,0.0,1.43,0.43,0,2,2,2,0,2,,"3,27",12,2,0,0,2,0,0,0,0,2,8,3,2,3,6,0,-1,-1,50,50,0.0,0.0,0.9,0.53,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.4,3.3,1.25,1.9,3.04,5.7,1.7,2.1,Estadio Tlahuicole (Tlaxcala),S635E8D8C7D
1722128400,Jul 28 2024 - 1:00am,complete,,Mineros de Zacatecas,Dorados,,1.0,0.0,0.0,2.29,0.29,1,0,1,1,1,0,10,,5,4,4,0,2,0,1,3,1,1,12,6,8,0,4,6,-1,-1,59,41,0.0,0.0,1.81,0.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.45,4.0,5.5,1.16,1.62,2.45,4.3,1.74,2.04,Estadio Carlos Vega Villalba (Zacatecas),S635BCDDB06
1722135600,Jul 28 2024 - 3:00am,complete,,CDS Tampico Madero,Morelia,,1.0,0.0,0.0,1.71,0.71,1,1,2,0,0,0,88,69,8,4,1,0,2,0,0,1,0,2,13,7,7,3,6,4,15,13,59,41,0.0,0.0,1.85,0.89,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.5,3.4,1.26,2.0,3.08,5.8,1.69,2.0,Estadio Tamaulipas (Tampico y Ciudad Madero),S6350EB74B8
1722618000,Aug 02 2024 - 5:00pm,complete,,Morelia,Tapatío,,2.0,0.0,1.0,1.57,1.71,1,4,5,1,0,1,73,"38,71,75,78",3,3,4,0,2,0,3,1,0,2,12,8,3,5,9,3,-1,-1,63,37,0.0,1.5,1.36,1.15,1.0,50,50,0,0,0,0,50,0,50,5.0,3.0,2.04,3.23,3.22,1.35,1.99,3.8,7.5,1.83,1.85,Estadio Generalísimo José María Morelos y Pavón (Morelia),S635BF5E719
1722646800,Aug 03 2024 - 1:00am,complete,,Mineros de Zacatecas,Zacatepec Siglo XXI,,,3.0,0.0,2.29,0.43,3,0,3,0,0,0,"55,56,90'1",,-1,-1,1,0,3,0,1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.81,0.0,0.0,0.0,0.5,0,0,0,0,0,0,50,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S635095A5DB
1722646800,Aug 03 2024 - 1:00am,complete,,CDS Tampico Madero,Venados,,2.0,1.0,0.0,1.71,0.71,0,0,0,0,0,0,,,4,4,5,0,2,0,3,2,1,1,3,2,3,0,0,2,-1,-1,57,43,1.85,0.0,0.46,0.18,1.0,50,50,0,0,0,0,0,50,50,8.0,1.0,3.25,3.4,1.95,1.33,2.05,3.4,6.5,1.85,1.85,Estadio Tamaulipas (Tampico y Ciudad Madero),S6359BAB2E6
1722654000,Aug 03 2024 - 3:00am,complete,,CA La Paz,Atlante,,2.0,0.0,0.0,1.29,1.43,2,2,4,0,0,0,"49,53","79,83",0,11,2,0,3,0,0,2,2,1,6,7,3,3,3,4,-1,-1,41,59,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.25,3.3,2.05,1.4,2.3,4.2,8.2,1.95,1.72,Estadio Guaycura (La Paz),S63589AAC3C
1722726000,Aug 03 2024 - 11:00pm,complete,,Cancún,Tepatitlán de Morelos,,2.0,0.0,1.0,1.57,1.0,2,0,2,2,2,0,"32,35",,5,2,2,0,5,1,1,1,1,5,13,6,4,0,9,6,-1,-1,50,50,0.0,1.08,1.5,0.66,1.0,50,50,0,0,0,0,50,0,50,4.0,4.0,1.53,3.6,5.25,1.28,1.95,3.2,6.15,1.95,1.72,Estadio Olímpico Andrés Quintana Roo (Cancún),S6357408FBA
