timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1725033600,Aug 30 2024 - 4:00pm,complete,,Difaâ El Jadida,Riadi Salmi,,1,0.0,0.0,2.0,1.0,1,1,2,1,0,1,70,2,4,5,1,0,0,0,0,1,0,0,15,8,6,6,9,2,-1,-1,61,39,0.0,0.0,2.18,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,2.9,3.0,1.5,2.7,4.8,10.0,2.2,1.62,Stade Ben Ahmed El Abdi,S6350911390
1725040800,Aug 30 2024 - 6:00pm,complete,,Chabab Mohammedia,FAR Rabat,,1,0.0,0.0,0.2,1.25,0,5,5,1,0,1,,"31,48,67,84,88",0,7,-1,-1,-1,-1,-1,-1,-1,-1,7,20,4,12,3,8,-1,-1,32,68,0.0,0.0,1.12,2.73,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0,3.4,1.48,1.3,1.95,4.0,8.0,2.38,1.53,Stade Al Bachir,S635E8A182E
1725048000,Aug 30 2024 - 8:00pm,complete,,Maghreb Fès,Wydad Casablanca,,1,0.0,0.0,2.2,1.0,1,0,1,0,0,0,90'4,,1,12,-1,-1,-1,-1,-1,-1,-1,-1,5,11,4,6,1,5,-1,-1,31,69,0.0,0.0,0.89,1.89,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6,3.0,1.95,1.5,2.35,4.5,8.4,2.63,1.44,,S635265F019
1725048000,Aug 30 2024 - 8:00pm,complete,,UTS Rabat,FUS Rabat,,1,0.0,0.0,1.4,0.8,2,2,4,2,1,1,"39,87","34,51",4,9,-1,-1,-1,-1,-1,-1,-1,-1,5,8,5,5,0,3,-1,-1,56,44,0.0,0.0,1.21,1.28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,2.9,2.25,1.49,2.6,5.5,8.5,2.2,1.62,,S63545F2883
1725120000,Aug 31 2024 - 4:00pm,complete,,Raja Casablanca,RSB Berkane,,1,0.0,0.0,1.6,2.6,0,1,1,0,0,0,,71,15,1,3,0,2,0,3,0,0,2,12,10,0,5,12,5,-1,-1,68,32,0.0,0.0,1.55,1.31,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,3.2,5.75,1.44,2.5,4.32,8.0,2.38,1.53,Stade Mohamed V,S635AE5A5EA
1725127200,Aug 31 2024 - 6:00pm,complete,,Moghreb Tétouan,Olympic Safi,,1,0.0,0.0,1.2,1.6,0,0,0,0,0,0,,,0,12,-1,-1,-1,-1,-1,-1,-1,-1,2,10,2,4,0,6,-1,-1,37,63,0.0,0.0,0.42,1.28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.4,2.7,3.0,1.49,3.4,5.2,11.0,2.5,1.5,Stade Saniat Rmel,S6359A66A56
1725127200,Aug 31 2024 - 6:00pm,complete,,CODM Meknès,CR Khemis Zemamra,,1,0.0,0.0,1.75,1.4,1,1,2,1,0,1,76,24,9,3,0,0,3,0,0,0,0,3,18,14,6,6,12,8,-1,-1,47,53,0.0,0.0,2.0,1.68,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.7,2.75,2.7,1.5,2.56,0.0,0.0,2.25,1.57,,S635BF30E97
1725134400,Aug 31 2024 - 8:00pm,complete,,Hassania Agadir,Ittihad Tanger,,1,0.0,0.0,1.4,1.6,0,1,1,1,0,1,,30,9,5,-1,-1,-1,-1,-1,-1,-1,-1,6,6,2,3,4,3,-1,-1,53,47,0.0,0.0,0.87,0.88,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,3.6,6.5,1.5,2.5,5.5,11.0,2.5,1.5,Stade d'Agadir,S635000B000
1726333200,Sep 14 2024 - 5:00pm,complete,,Wydad Casablanca,Moghreb Tétouan,,2,0.0,0.0,2.25,0.0,1,0,1,0,0,0,90'5,,12,1,-1,-1,-1,-1,-1,-1,-1,-1,21,4,7,3,14,1,-1,-1,75,25,0.0,0.0,2.69,0.73,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.29,4.5,9.5,1.5,2.2,4.75,9.5,3.25,1.33,Stade Mohamed V,S635473A527
1726340400,Sep 14 2024 - 7:00pm,complete,,Maghreb Fès,UTS Rabat,,2,3.0,0.0,2.2,1.25,0,0,0,0,0,0,,,-1,-1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.89,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,50,1.0,0.0,2.4,2.88,2.8,1.53,2.6,5.15,10.5,2.2,1.62,,S63572ABA05
