timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1706299200,Jan 26 2024 - 8:00pm,complete,,UTC Cajamarca,Deportivo Garcilaso,Edwin Ordóñez,1.0,0.0,0.0,1.47,0.76,1,0,1,1,1,0,45,,2,7,1,0,1,2,0,1,1,2,17,13,7,5,8,6,18,16,35,65,0.0,0.0,1.58,1.36,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.14,3.15,3.05,1.3,1.8,3.3,6.0,1.72,2.1,Estadio Municipal Germán Contreras Jara (Cajabamba),S63546FA72D
1706313600,Jan 27 2024 - 12:00am,complete,,Melgar,Real Garcilaso,Jesús Cartagena,1.0,0.0,0.0,2.59,1.24,2,3,5,3,1,2,"19,66","7,41,71",12,2,2,0,2,0,2,0,1,1,38,8,14,5,11,1,14,13,73,27,0.0,0.0,3.18,0.86,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.52,4.1,5.85,1.25,1.8,3.1,5.5,1.9,1.87,Estadio de la Universidad Nacional San Agustín (Arequipa),S635166F303
1706385600,Jan 27 2024 - 8:00pm,complete,,Sporting Cristal,ADT,Augusto Menéndez,1.0,0.0,0.0,2.71,0.88,6,2,8,2,1,1,"39,51,56,63,68,73","22,90'7",5,7,2,0,4,0,2,0,2,2,17,10,8,6,6,0,8,14,42,58,0.0,0.0,1.69,1.07,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.34,4.95,7.9,1.17,1.57,2.5,4.33,1.85,1.9,Estadio Alberto Gallardo (Lima),S6354C9C038
1706394600,Jan 27 2024 - 10:30pm,complete,,Sport Huancayo,Sport Boys,,1.0,0.0,0.0,1.47,0.53,1,0,1,0,0,0,60,,3,0,1,0,4,0,0,1,2,2,19,9,6,3,6,6,13,20,68,32,0.0,0.0,1.58,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.49,4.3,5.9,1.22,1.7,2.85,5.0,1.8,1.95,Estadio Huancayo (Huancayo),S635F44F27B
1706403600,Jan 28 2024 - 1:00am,complete,,Cienciano,Comerciantes Unidos,Daniel Ureta,1.0,0.0,0.0,1.76,0.65,1,0,1,1,1,0,19,,4,3,3,1,3,0,3,1,1,2,14,9,6,5,7,3,25,14,47,53,0.0,0.0,1.5,1.05,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4,4.6,6.25,1.18,1.57,2.4,4.2,1.8,1.88,Estadio Inca Garcilaso de la Vega (Cusco),S635999535D
1706470200,Jan 28 2024 - 7:30pm,complete,,Atlético Grau,Alianza Atlético,Jordi Estanley Espinoza Valles,1.0,0.0,0.0,1.76,0.88,1,1,2,1,1,0,20,50,3,0,1,0,4,1,0,1,2,3,11,9,3,2,8,6,13,17,61,39,0.0,0.0,1.32,0.76,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.72,3.9,4.2,1.22,1.72,2.9,5.0,1.68,2.1,Estadio Campeones del '36 (Sullana),S6358F6CB74
1706479200,Jan 28 2024 - 10:00pm,complete,,Carlos Manucci,Universitario,Diego Mirko Haro Sueldo,1.0,0.0,0.0,1.24,1.53,0,4,4,2,0,2,,"5,39,67,76",5,4,2,1,1,0,2,1,0,1,8,18,6,8,0,6,11,11,44,56,0.0,0.0,1.1,1.75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.73,3.35,1.84,1.33,2.05,3.75,7.0,1.85,1.85,Estadio Mansiche (Trujillo),S635A539FA2
1706490000,Jan 29 2024 - 1:00am,complete,,Alianza Lima,César Vallejo,Joel Alarcón,1.0,0.0,0.0,2.24,0.24,2,1,3,2,1,1,"39,49",22,7,1,1,1,1,1,1,1,1,1,22,5,9,2,9,2,8,7,39,61,0.0,0.0,2.01,0.68,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,4.0,5.0,1.22,1.71,2.9,5.0,1.83,1.83,Estadio Nacional de Lima (Lima),S635CB7F51B
1706558400,Jan 29 2024 - 8:00pm,complete,,Santa Rosa PNP,Unión Comercio,Micke Palomino,1.0,0.0,0.0,1.88,0.18,2,1,3,1,1,0,"23,76",90'2,4,5,1,0,2,1,0,1,1,2,18,11,6,4,10,4,13,11,49,51,0.0,0.0,1.7,1.04,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.77,3.62,4.4,1.28,1.77,3.3,6.0,1.75,2.0,Estadio Los Chankas (Andahuaylas),S635AB635FB
1706904000,Feb 02 2024 - 8:00pm,complete,,Real Garcilaso,UTC Cajamarca,Pablo López,2.0,0.0,0.0,2.29,0.35,1,1,2,0,0,0,84,90'2,4,5,3,0,2,0,1,2,2,0,15,11,4,4,5,5,10,14,68,32,0.0,0.0,1.09,1.04,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.42,4.4,6.8,1.22,1.75,2.95,5.5,1.89,1.87,Estadio Inca Garcilaso de la Vega (Cusco),S635038FA42
1706922000,Feb 03 2024 - 1:00am,complete,,César Vallejo,Melgar,Diego Mirko Haro Sueldo,2.0,0.0,0.0,1.53,1.53,3,2,5,3,2,1,"22,27,59","17,81",2,7,2,0,2,0,1,1,1,1,11,17,6,6,3,10,12,15,47,53,0.0,0.0,1.28,1.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,3.35,2.65,1.33,2.0,3.6,7.0,1.77,2.0,Estadio Mansiche (Trujillo),S635B767CBF
1706990400,Feb 03 2024 - 8:00pm,complete,,ADT,Cienciano,Micke Palomino,2.0,0.0,0.0,2.12,1.29,1,1,2,1,0,1,62,41,7,1,2,0,5,1,0,2,2,4,24,11,10,3,11,7,4,14,69,31,0.0,0.0,2.44,0.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.28,3.35,2.95,1.3,1.9,3.3,6.0,1.68,2.12,Estadio Municipal Unión de Tarma (Tarma),S635FCC66E7
1706992200,Feb 03 2024 - 8:30pm,complete,,Unión Comercio,Carlos Manucci,Jordi Estanley Espinoza Valles,2.0,0.0,0.0,0.82,0.59,2,2,4,0,0,0,"49,65","52,75",3,5,4,0,5,1,1,3,2,4,11,20,5,4,3,12,15,20,51,49,0.0,0.0,1.09,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.72,3.75,4.6,1.26,1.86,3.25,6.1,1.77,2.0,Estadio Municipal Carlos Vidaurre García (Tarapoto),S6355FA971A
1707008400,Feb 04 2024 - 1:00am,complete,,Universitario,Atlético Grau,Edwin Ordóñez,2.0,0.0,0.0,3.0,1.24,1,0,1,0,0,0,85,,3,1,1,1,3,0,1,1,2,1,11,14,3,5,6,7,3,21,45,55,0.0,0.0,1.01,1.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.28,5.35,9.2,1.2,1.68,2.8,5.0,2.05,1.74,Estadio Monumental (Lima),S635A89806E
1707073200,Feb 04 2024 - 7:00pm,complete,,Alianza Atlético,Alianza Lima,Augusto Menéndez,2.0,0.0,0.0,1.71,1.82,0,2,2,1,0,1,,"34,81",2,2,0,1,3,0,0,1,2,1,4,9,2,5,2,4,12,12,40,60,0.0,0.0,0.57,1.24,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.45,3.45,2.02,1.33,2.0,3.6,6.5,1.78,1.98,Estadio Campeones del '36 (Sullana),S6351010176
1707080400,Feb 04 2024 - 9:00pm,complete,,Sport Boys,Sporting Cristal,Joel Alarcón,2.0,0.0,0.0,1.53,1.65,1,3,4,3,0,3,84,"9,17,45",7,4,0,0,0,0,0,0,0,0,16,11,9,4,6,3,5,14,56,44,0.0,0.0,1.96,0.96,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.9,3.5,1.88,1.3,1.9,3.4,6.5,1.77,2.0,Estadio Miguel Grau del Callao (Callao),S6358D83229
1707091200,Feb 05 2024 - 12:00am,complete,,Deportivo Garcilaso,Sport Huancayo,Daniel Ureta,2.0,0.0,0.0,1.41,0.76,0,2,2,0,0,0,,"50,79",13,3,2,1,1,0,2,1,0,1,22,6,6,4,10,1,11,10,62,38,0.0,0.0,1.81,0.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.08,3.08,2.99,1.25,1.72,2.9,5.25,1.65,2.1,Estadio Inca Garcilaso de la Vega (Cusco),S63562C97BE
1707163200,Feb 05 2024 - 8:00pm,complete,,Comerciantes Unidos,Santa Rosa PNP,Jonathan Zamora,2.0,0.0,0.0,1.41,0.41,3,2,5,2,0,2,"50,72,86","23,38",1,5,4,0,2,0,0,4,1,1,15,11,7,5,3,5,10,13,53,47,0.0,0.0,1.45,1.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.08,3.55,3.25,1.28,1.87,3.3,6.0,1.71,2.08,Estadio Municipal Germán Contreras Jara (Cajabamba),S635530ABDC
1707508800,Feb 09 2024 - 8:00pm,complete,,UTC Cajamarca,César Vallejo,Augusto Menéndez,3.0,3.0,0.0,1.47,0.24,4,0,4,1,1,0,"16,74,85,90",,2,10,2,0,2,0,1,1,1,1,9,9,5,3,4,3,9,6,28,72,1.58,0.68,1.06,0.96,2.0,50,50,50,0,0,50,100,0,50,3.0,4.0,2.08,3.17,2.92,1.32,2.08,3.56,6.85,1.83,1.83,Estadio Municipal Germán Contreras Jara (Cajabamba),S6351809D10
1707523200,Feb 10 2024 - 12:00am,complete,,Cienciano,Sporting Cristal,Kevin Ortega,3.0,3.0,3.0,1.76,1.65,2,2,4,3,2,1,"23,31","10,78",4,3,2,0,5,0,1,1,0,5,26,13,9,3,14,4,7,9,56,44,1.5,0.96,2.43,0.86,2.5,50,50,50,50,0,50,100,0,50,8.0,5.0,2.44,3.11,2.44,1.38,2.2,4.0,8.0,1.91,1.8,Estadio Inca Garcilaso de la Vega (Cusco),S6356F6FB51
1707595200,Feb 10 2024 - 8:00pm,complete,,Melgar,Alianza Atlético,Michael Espinoza,3.0,0.0,1.0,2.59,0.88,1,0,1,0,0,0,90'5,,9,2,4,1,8,1,1,4,3,6,17,10,3,4,5,4,22,14,65,35,3.18,0.76,1.05,1.04,3.5,100,100,50,50,50,50,100,50,100,12.0,8.0,1.17,5.58,9.76,1.14,1.5,2.28,3.75,2.38,1.53,Estadio de la Universidad Nacional San Agustín (Arequipa),S6353333457
1707597000,Feb 10 2024 - 8:30pm,complete,,Carlos Manucci,Comerciantes Unidos,Sebastián Lozano,3.0,0.0,0.0,1.24,0.65,1,3,4,3,1,2,33,"2,20,67",7,2,4,0,2,0,2,2,2,0,18,14,7,6,9,5,14,17,60,40,1.1,1.05,1.91,1.31,2.5,0,50,50,50,0,50,100,50,50,8.0,7.0,1.63,3.37,4.32,1.33,2.05,3.75,7.0,2.0,1.73,Estadio Mansiche (Trujillo),S6350F6B9D0
1707613200,Feb 11 2024 - 1:00am,complete,,Alianza Lima,Universitario,Diego Mirko Haro Sueldo,3.0,3.0,3.0,2.24,1.53,0,1,1,1,0,1,,18,8,0,2,2,6,0,1,3,2,4,22,13,7,6,11,7,15,14,61,39,2.01,1.75,2.0,1.43,3.5,50,100,100,50,0,100,100,50,100,11.0,4.0,2.29,2.96,2.74,1.5,2.5,5.0,10.0,2.1,1.67,Estadio Nacional de Lima (Lima),S635F455729
1707681600,Feb 11 2024 - 8:00pm,complete,,Santa Rosa PNP,ADT,,3.0,3.0,0.0,1.88,0.88,2,0,2,0,0,0,"71,80",,7,3,1,0,2,0,0,1,1,1,11,16,5,5,5,11,11,12,43,57,1.7,1.07,1.43,1.71,5.5,100,100,100,50,50,50,100,100,100,11.0,5.0,2.0,3.3,3.4,1.38,2.1,4.0,8.0,1.91,1.8,Estadio Los Chankas (Andahuaylas),S635FA99770
1707685200,Feb 11 2024 - 9:00pm,complete,,Sport Boys,Deportivo Garcilaso,Fernando Legario,3.0,0.0,0.0,1.53,0.76,2,0,2,1,1,0,"34,90'7",,10,3,2,0,4,1,0,2,3,2,21,16,7,4,8,6,20,12,61,39,1.96,1.36,1.69,1.11,2.5,50,50,50,50,0,50,100,0,50,14.0,5.0,2.15,3.25,3.1,1.37,2.15,3.75,7.5,1.91,1.8,Estadio Miguel Grau del Callao (Callao),S635653F3BF
