timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721404800,Jul 19 2024 - 4:00pm,complete,,Jastrzębie,Hutnik Kraków,,1.0,0.0,0.0,0.89,1.33,5,0,5,3,3,0,"2,8,22,73,90'2",,4,8,2,0,1,0,0,2,0,1,17,17,8,4,9,13,-1,-1,48,52,0.0,0.0,2.11,1.88,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.25,3.25,1.3,2.05,3.42,6.0,1.87,1.87,Stadion Miejski (Jastrzębie Zdrój),S6354D5B675
1721410200,Jul 19 2024 - 5:30pm,complete,,Chojniczanka Chojnice,Rekord Bielsko-Biała,,1.0,0.0,0.0,2.22,1.33,2,0,2,2,2,0,"38,44",,3,9,2,0,2,1,0,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Miejski Chojnice (Chojnice),S6351A1A040
1721469600,Jul 20 2024 - 10:00am,complete,,Pogoń Grod. Mazowiecki,Polonia Bytom,,1.0,0.0,0.0,2.56,1.88,2,0,2,2,2,0,"7,20",,5,3,1,0,4,0,1,0,1,3,10,4,3,2,7,2,-1,-1,47,53,0.0,0.0,1.3,0.93,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.8,3.6,2.1,1.14,1.57,2.29,3.7,1.45,2.66,Stadion Miejski (Grodzisk Mazowiecki),S6358E26ACF
1721469600,Jul 20 2024 - 10:00am,complete,,ŁKS Łódź II,SKRA Częstochowa,,1.0,0.0,0.0,1.0,0.5,3,1,4,2,2,0,"2,5,48",50,5,3,4,0,2,0,1,3,0,2,14,8,5,5,9,3,-1,-1,48,52,0.0,0.0,1.93,1.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.51,4.02,5.6,1.19,1.75,2.6,5.0,1.87,1.89,Stadion Miejski LKS Lodz (Łódź),S6359D4825A
1721479500,Jul 20 2024 - 12:45pm,complete,,Wieczysta Kraków,Resovia Rzeszów,Kornel Paszkiewicz,1.0,0.0,0.0,2.22,1.11,0,1,1,1,0,1,,9,13,1,3,0,2,0,1,2,1,1,6,3,0,2,6,1,-1,-1,61,39,0.0,0.0,0.98,0.64,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.45,4.1,5.25,1.18,1.57,2.4,4.23,1.73,2.0,Stadion KS Wieczysta (Kraków),S635F09CBEB
1721574000,Jul 21 2024 - 3:00pm,complete,,Świt Skolwin,Kalisz,Paul Horożaniecki,1.0,0.0,0.0,1.67,1.56,1,1,2,1,0,1,76,20,6,5,1,0,4,0,1,0,4,0,14,6,5,2,9,4,-1,-1,56,44,0.0,0.0,1.69,0.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,3.3,3.5,1.31,2.05,3.42,6.23,1.87,1.87,Stadion Miejski Skolwin (Szczecin),S635F4AA61F
1721577600,Jul 21 2024 - 4:00pm,complete,,Podbeskidzie,Olimpia Elbląg,,1.0,0.0,0.0,1.33,0.22,0,0,0,0,0,0,,,8,4,2,0,3,0,1,1,2,1,20,10,5,4,15,6,-1,-1,55,45,0.0,0.0,2.32,1.39,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,3.5,3.7,1.27,1.95,3.33,5.9,1.87,1.87,Stadion Miejski (Bielsko-Biała),S6350386014
1721583300,Jul 21 2024 - 5:35pm,complete,,Zagłębie Sosnowiec,Olimpia Grudziądz,,1.0,0.0,0.0,1.63,0.89,2,1,3,2,1,1,"9,75",5,15,2,0,0,2,1,0,0,3,0,16,6,5,2,11,4,-1,-1,62,38,0.0,0.0,2.24,1.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,3.0,2.9,1.35,2.2,3.74,7.5,1.83,1.93,ArcelorMittal Park (Sosnowiec),S6358514E93
1722006000,Jul 26 2024 - 3:00pm,complete,,ŁKS Łódź II,Wisła Puławy,,2.0,3.0,0.0,1.0,1.0,0,0,0,0,0,0,,,-1,-1,2,0,1,0,0,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.93,0.0,0.0,0.0,2.0,50,50,50,50,0,50,50,50,50,5.0,4.0,1.08,8.5,13.0,1.1,1.75,1.99,1.65,1.85,1.91,Stadion Miejski LKS Lodz (Łódź),S6356398F0E
1722007800,Jul 26 2024 - 3:30pm,complete,,Kalisz,SKRA Częstochowa,,2.0,0.0,0.0,1.14,0.5,1,0,1,1,1,0,18,,-1,-1,1,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,1.38,0.0,0.0,2.0,50,50,50,50,0,50,50,50,50,3.0,2.0,1.28,5.16,8.11,1.14,1.55,2.4,4.05,2.0,1.69,Stadion OSRiR (Kalisz),S63565C517C
