timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721404800,Jul 19 2024 - 4:00pm,complete,,Jagiellonia Białystok,Puszcza Niepołomice,Damian Kos,1,0.0,0.0,2.29,0.29,2,0,2,0,0,0,"78,90'8",,6,0,3,0,3,0,0,3,1,2,21,10,8,3,7,4,9,24,68,32,0.0,0.0,2.07,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.44,4.5,6.25,1.22,1.57,2.8,5.0,1.8,1.95,,S635350E5FB
1721413800,Jul 19 2024 - 6:30pm,complete,23646.0,Śląsk Wrocław,Lechia Gdańsk,,1,0.0,0.0,1.17,0.71,1,1,2,1,0,1,90'2,12,12,1,3,0,1,0,1,2,0,1,21,4,6,3,8,0,12,7,60,40,0.0,0.0,2.02,0.69,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.74,3.65,4.35,1.28,1.93,3.2,6.25,1.8,1.95,,S635626B837
1721479500,Jul 20 2024 - 12:45pm,complete,6720.0,GKS Katowice,Radomiak Radom,Paweł Raczkowski,1,0.0,0.0,1.13,0.5,1,2,3,2,0,2,82,"24,37",5,3,1,0,5,0,0,1,0,5,19,15,8,4,6,6,7,16,52,48,0.0,0.0,2.03,1.31,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.63,3.2,2.63,1.25,1.85,3.0,5.5,1.67,2.1,Stadion ul. Bukowa,S635DF85F97
1721489400,Jul 20 2024 - 3:30pm,complete,18743.0,Pogoń Szczecin,Korona Kielce,Marcin Szczerbowicz,1,0.0,0.0,3.0,1.13,3,0,3,1,1,0,"35,47,84",,5,5,1,0,3,0,1,0,2,1,18,13,7,3,6,7,13,14,51,49,0.0,0.0,1.66,1.29,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,4.0,6.0,1.22,1.65,2.85,5.25,1.7,2.05,Stadion Miejski im. Floriana Krygiera,S6351627744
1721499300,Jul 20 2024 - 6:15pm,complete,25542.0,Legia Warszawa,Zagłębie Lubin,Piotr Lasyk,1,0.0,0.0,2.0,0.71,2,0,2,0,0,0,"86,90'3",,3,1,1,0,0,1,0,1,0,1,20,7,5,2,10,4,12,12,56,44,0.0,0.0,1.73,0.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.57,3.65,4.75,1.22,1.7,2.95,5.5,1.8,1.95,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego,S63564D49A7
1721565900,Jul 21 2024 - 12:45pm,complete,10698.0,Cracovia Kraków,Piast Gliwice,Daniel Stefanski,1,0.0,0.0,1.57,1.38,1,1,2,1,0,1,89,18,0,6,3,0,1,0,0,3,0,1,5,26,2,6,2,16,14,12,52,48,0.0,0.0,0.72,2.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,3.1,2.88,1.42,2.4,4.5,9.5,2.0,1.75,Stadion Cracovii im. Józefa Piłsudskiego,S635B4A34D2
1721575800,Jul 21 2024 - 3:30pm,complete,19620.0,Lech Poznań,Górnik Zabrze,Damian Sylwestrzak,1,0.0,0.0,2.57,1.14,2,0,2,1,1,0,"32,90'4",,4,2,1,0,2,0,0,1,1,1,18,7,6,4,7,3,15,7,49,51,0.0,0.0,1.69,0.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.67,4.33,4.0,1.3,1.65,3.4,6.5,1.7,2.05,,S635911E912
1721585700,Jul 21 2024 - 6:15pm,complete,,Motor Lublin,Raków Częstochowa,Jarosław Przybył,1,0.0,0.0,1.38,2.43,0,2,2,1,0,1,,"32,87",4,8,1,0,3,0,1,0,1,2,11,18,3,8,5,3,7,21,50,50,0.0,0.0,1.0,1.86,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,4.2,1.5,1.25,1.8,3.0,5.75,1.95,1.8,Slavutych-Arena,S635AF9AD69
1721667600,Jul 22 2024 - 5:00pm,complete,,Stal Mielec,Widzew Łódź,Wojciech Myć,1,0.0,0.0,1.57,1.13,1,1,2,1,1,0,45'2,73,1,1,2,0,1,1,1,1,0,2,10,13,5,5,5,4,13,12,48,52,0.0,0.0,1.41,1.51,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.88,3.4,2.38,1.3,1.75,3.25,6.25,1.62,2.2,,S635CB91A37
1722009600,Jul 26 2024 - 4:00pm,complete,,Puszcza Niepołomice,Górnik Zabrze,Daniel Stefanski,2,0.0,0.0,1.29,1.14,2,2,4,1,0,1,"53,60","10,56",4,2,1,0,2,0,0,1,0,2,10,18,4,9,4,6,10,8,40,60,0.0,0.99,1.25,2.02,1.0,0,50,0,0,0,0,50,0,50,2.0,2.0,2.25,3.3,3.0,1.33,2.0,3.45,6.5,1.8,1.95,Stadion Cracovii im. Józefa Piłsudskiego,S635B5F6F5D
