timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1723284000,Aug 10 2024 - 10:00am,complete,,CS Marítimo,CD Tondela,,1.0,0.0,0.0,1.0,2.2,2,2,4,3,1,2,"20,90'2","24,27",5,5,1,0,4,0,1,0,0,4,11,12,8,5,3,6,17,21,59,41,0.0,0.0,1.66,1.42,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,3.5,5.25,1.33,2.0,3.6,6.5,2.05,1.73,Estádio do Marítimo (Funchal (Ilha da Madeira)),S63528F5AA8
1723294800,Aug 10 2024 - 1:00pm,complete,,CD Mafra,Paços de Ferreira,Anzhony Francisco Gonçalves Rodrigues,1.0,0.0,0.0,1.0,1.4,0,1,1,1,0,1,,36,2,4,3,0,3,0,0,3,2,1,12,7,5,3,6,3,16,11,59,41,0.0,0.0,1.33,0.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.09,4.65,1.43,1.33,2.0,3.4,6.5,1.78,1.99,Estádio Municipal de Mafra (Mafra),S635FA9A0B1
1723300200,Aug 10 2024 - 2:30pm,complete,,Leixões,Benfica II,Sérgio José dos Santos Guelho,1.0,0.0,0.0,2.0,1.75,2,1,3,2,1,1,"45'2,78",42,8,3,0,0,2,2,0,0,1,3,23,8,7,4,9,2,17,12,49,51,0.0,0.0,1.93,0.96,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.29,3.2,3.16,1.36,2.05,3.6,7.0,1.84,1.92,Estádio do Mar (Matosinhos),S635D72AA8B
1723309200,Aug 10 2024 - 5:00pm,complete,,Academico Viseu,GD Chaves,Hélder Miguel Azevedo Malheiro,1.0,0.0,0.0,1.4,1.4,2,1,3,2,2,0,"20,26",89,1,10,1,0,1,0,0,1,0,1,13,15,5,4,6,10,6,3,50,50,0.0,0.0,1.31,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,2.88,2.3,1.38,2.2,3.8,6.5,1.8,1.91,Estádio Municipal do Fontelo (Viseu),S6352124BE5
1723370400,Aug 11 2024 - 10:00am,complete,,FC Penafiel,UD Oliveirense,Tiago Bruno Lopes Martins,1.0,0.0,0.0,1.6,0.25,4,3,7,5,2,3,"12,18,55,71","3,6,9",2,7,3,0,3,0,1,2,2,1,8,9,6,7,2,2,14,7,48,52,0.0,0.0,1.23,1.45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.03,3.35,3.85,1.3,2.01,3.5,6.0,1.8,1.91,Estádio Municipal 25 de Abril (Penafiel),S6358FC2017
1723381200,Aug 11 2024 - 1:00pm,complete,,Torreense,CD Feirense,Nuno Miguel Serrano Almeida,1.0,0.0,0.0,1.8,1.0,0,1,1,0,0,0,,77,6,8,3,1,1,0,2,2,0,1,22,28,2,9,12,10,13,10,44,56,0.0,0.0,1.3,2.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.11,3.2,3.75,1.33,1.95,3.6,6.5,1.83,1.83,Campo Manuel Marques (Torres Vedras),S635A17B8F3
1723395600,Aug 11 2024 - 5:00pm,complete,,Porto II,Alverca,,1.0,0.0,0.0,1.2,1.2,1,1,2,1,0,1,54,20,7,6,1,0,1,0,1,0,1,0,5,5,3,2,2,3,13,12,60,40,0.0,0.0,0.82,0.68,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.78,3.08,4.45,1.3,2.05,3.4,6.5,1.83,1.83,Estádio Luís Filipe Menezes (Vila Nova de Gaia),S6359BBCA80
1723404600,Aug 11 2024 - 7:30pm,complete,,União de Leiria,FC Vizela,,1.0,0.0,0.0,1.0,1.5,0,2,2,1,0,1,,"32,90'6",5,5,3,0,3,0,1,2,1,2,7,13,3,5,4,8,11,13,45,55,0.0,0.0,1.01,1.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.05,3.1,2.41,1.32,1.99,3.4,6.5,1.73,2.0,Estádio Dr. Magalhães Pessoa (Leiria),S6350A3BA54
1723482000,Aug 12 2024 - 5:00pm,complete,,Felgueiras 1932,Portimonense,Luis Miguel Branco Godinho,1.0,0.0,0.0,0.67,0.6,0,0,0,0,0,0,,,8,1,3,0,1,0,2,1,0,1,19,5,5,2,10,3,12,16,67,33,0.0,0.0,1.84,0.69,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.49,2.98,2.79,1.38,2.18,3.9,7.6,1.83,1.83,Estádio Dr. Machado de Matos (Felgueiras),S635B9F9A4E
1723888800,Aug 17 2024 - 10:00am,complete,,Alverca,Felgueiras 1932,Márcio André Dias Torres,2.0,0.0,0.0,1.2,2.0,1,1,2,0,0,0,70,60,5,11,5,0,2,0,2,3,0,2,12,14,2,7,7,4,16,9,44,56,0.0,0.0,1.08,1.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.55,3.2,2.75,1.38,2.15,3.9,7.6,1.83,1.83,Complexo Desportivo FC Alverca (Alverca do Ribatejo),S635C0FBC89
1723899600,Aug 17 2024 - 1:00pm,complete,,UD Oliveirense,CD Mafra,,2.0,0.0,0.0,0.8,1.0,0,0,0,0,0,0,,,4,5,3,0,2,0,1,2,2,0,13,14,3,6,8,6,18,11,51,49,0.0,0.0,1.33,1.6,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.2,3.4,3.2,1.23,1.71,2.91,5.35,1.62,2.2,Estádio Carlos Osório (Oliveira de Azeméis),S635B8AD970
1723923000,Aug 17 2024 - 7:30pm,complete,,Portimonense,União de Leiria,,2.0,0.0,0.0,1.0,1.4,0,3,3,1,0,1,,"16,90'4,90'6",6,9,0,0,2,0,0,0,0,2,9,21,2,7,6,10,12,10,59,41,0.0,0.0,1.04,1.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.5,4.5,1.28,1.8,3.1,5.8,1.8,1.91,Estádio Municipal de Portimão (Portimão),S635B554B8B
1723975200,Aug 18 2024 - 10:00am,complete,,Paços de Ferreira,CS Marítimo,Gustavo Fernandes Correia,2.0,0.0,0.0,0.8,2.0,1,2,3,2,1,1,25,"7,86",9,7,2,0,4,0,0,2,1,3,22,23,8,5,8,11,20,20,50,50,0.0,0.0,1.95,1.75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.15,3.71,1.55,1.36,2.1,3.6,7.0,1.85,1.91,Estádio da Capital do Móvel (Paços de Ferreira),S6357C8326E
1723986000,Aug 18 2024 - 1:00pm,complete,,CD Feirense,Academico Viseu,Rui Miguel Gomes Lima,2.0,0.0,0.0,1.2,1.6,2,2,4,3,2,1,"18,38","4,74",2,5,0,0,2,1,0,0,1,2,15,13,5,6,9,4,7,12,51,49,0.0,0.0,1.57,1.41,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.52,3.2,2.42,1.33,1.99,3.4,6.5,1.78,1.99,Estádio Marcolino de Castro (Santa Maria da Feira),S6359873AF5
1723991400,Aug 18 2024 - 2:30pm,complete,,FC Vizela,FC Penafiel,David Rafael Oliveira Silva,2.0,0.0,0.0,1.0,2.6,1,2,3,1,0,1,74,"27,61",12,4,4,0,3,0,2,2,2,1,19,14,7,6,9,7,19,8,50,50,0.0,0.0,2.27,1.66,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.79,3.09,3.61,1.25,1.81,2.9,5.2,1.73,2.0,Estádio Do Vizela (Caldas de Vizela),S63559A014F
1724000400,Aug 18 2024 - 5:00pm,complete,,GD Chaves,Leixões,,2.0,0.0,0.0,1.6,1.0,0,0,0,0,0,0,,,6,3,3,0,4,0,2,1,1,3,8,8,2,5,4,3,15,5,59,41,0.0,0.0,0.91,1.22,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,2.95,3.25,1.36,2.06,3.7,6.6,1.83,1.83,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),S6357C638C8
1724000400,Aug 18 2024 - 5:00pm,complete,,Benfica II,Torreense,,2.0,0.0,0.0,2.0,0.8,2,0,2,1,1,0,"24,77",,6,7,3,0,3,0,1,2,1,2,20,14,5,5,9,7,20,15,55,45,0.0,0.0,1.62,1.45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.92,3.33,3.69,1.29,1.91,3.0,5.5,1.73,2.06,Caixa Futebol Campus (Seixal),S6358C422F5
1724086800,Aug 19 2024 - 5:00pm,complete,,CD Tondela,Porto II,,2.0,0.0,0.0,2.2,0.4,2,2,4,1,1,0,"15,54","69,82",6,3,4,1,3,0,1,4,1,2,11,14,5,5,4,7,26,15,39,61,0.0,0.0,1.31,1.41,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.32,3.4,3.1,1.27,1.95,3.2,6.05,1.73,1.99,Estádio João Cardoso (Tondela),S635544D2E1
1724432400,Aug 23 2024 - 5:00pm,complete,,União de Leiria,Alverca,Marcos Roberto Viegas Brazão,3.0,0.0,1.0,1.0,1.2,1,1,2,0,0,0,76,51,6,7,0,0,1,0,0,0,1,0,11,13,4,8,5,5,11,14,49,51,1.01,0.68,1.2,1.69,2.0,50,100,0,0,0,0,100,0,100,11.0,4.0,1.8,3.27,4.02,1.3,1.93,3.3,6.1,1.73,1.91,Estádio Dr. Magalhães Pessoa (Leiria),S6356C6AF19
1724493600,Aug 24 2024 - 10:00am,complete,,Felgueiras 1932,CD Feirense,,3.0,1.0,3.0,0.67,1.0,0,0,0,0,0,0,,,8,4,2,0,2,0,1,1,0,2,14,10,6,4,8,5,18,15,53,47,1.84,2.26,2.0,1.28,0.5,0,0,0,0,0,0,0,0,50,16.0,4.0,1.97,3.3,3.6,1.33,2.02,3.7,7.1,1.8,1.85,Estádio Dr. Machado de Matos (Felgueiras),S635E2DD643
