timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1720798200,Jul 12 2024 - 3:30pm,complete,,SSC Farul,Unirea Slobozia,Horațiu Mircea Fesnic,1.0,0.0,0.0,1.63,1.25,0,1,1,1,0,1,,19,8,5,2,0,3,0,2,0,1,2,17,8,6,3,8,4,12,18,70,30,0.0,0.0,1.89,0.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.55,3.5,5.25,1.35,2.0,3.6,6.75,2.1,1.65,Stadionul Central (Ovidiu),S63582FE974
1720809000,Jul 12 2024 - 6:30pm,complete,,Hermannstadt,CS U Craiova,Szabolcs Kovacs,1.0,0.0,0.0,1.5,1.13,0,0,0,0,0,0,,,0,9,1,0,1,0,0,1,1,0,10,19,2,11,5,3,6,10,39,61,0.0,0.0,0.84,2.23,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.9,2.95,2.45,1.34,2.05,3.65,7.3,1.85,1.85,Stadionul Municipal (Sibiu),S635753D7B5
1720879200,Jul 13 2024 - 2:00pm,complete,,Sepsi,CSM Iaşi,Marcel Bîrsan,1.0,0.0,0.0,1.38,0.57,1,0,1,1,1,0,23,,4,4,0,0,1,0,0,0,0,1,15,19,6,6,5,10,10,15,62,38,0.0,0.0,1.66,1.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.87,3.3,4.4,1.33,1.98,3.75,6.6,1.95,1.8,Arena Sepsi OSK (Sfântu Gheorghe),S6359117C34
1720887300,Jul 13 2024 - 4:15pm,complete,,UTA Arad,Rapid Bucureşti,,1.0,0.0,0.0,1.5,1.25,1,1,2,1,0,1,60,23,5,4,3,0,3,0,0,3,0,3,17,16,6,7,5,6,8,7,50,50,0.0,0.0,1.56,1.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,3.15,2.3,1.3,1.93,3.4,6.05,1.75,2.0,Stadionul Francisc von Neuman (Arad),S635088E97B
1720897200,Jul 13 2024 - 7:00pm,complete,,FCSB,Universitatea Cluj,Adrian Viorel Cojocaru,1.0,0.0,0.0,1.5,1.78,1,1,2,0,0,0,51,57,6,0,2,0,3,0,0,2,0,3,21,5,7,3,10,0,5,12,57,43,0.0,0.0,1.85,0.54,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,3.38,4.22,1.33,2.15,3.75,6.8,2.0,1.72,Stadionul Steaua (București),S6351C4D814
1720972800,Jul 14 2024 - 4:00pm,complete,,CFR Cluj,Dinamo Bucureşti,Rareș George Vidican,1.0,0.0,0.0,1.56,1.0,3,2,5,3,1,2,"42,52,90'3","14,34",7,2,3,0,2,0,0,3,1,1,18,8,8,3,7,4,6,7,47,53,0.0,0.0,2.0,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.49,3.42,5.42,1.28,1.95,3.2,6.15,2.2,1.62,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca),S63568D4A94
1721057400,Jul 15 2024 - 3:30pm,complete,,Botoşani,Oţelul Galaţi,Cristian Moldoveanu,1.0,0.0,0.0,1.17,1.25,2,3,5,2,1,1,"33,56","6,65,67",7,4,3,0,2,0,3,0,1,1,15,15,6,8,4,4,16,9,51,49,0.0,0.0,1.6,1.69,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.37,3.0,2.8,1.45,2.25,4.5,8.8,2.0,1.73,Stadionul Municipal (Botoşani),S63581DD6C0
1721068200,Jul 15 2024 - 6:30pm,complete,,Petrolul 52,SCM Gloria Buzău,Istvan Kovacs,1.0,0.0,0.0,1.75,0.63,0,0,0,0,0,0,,,5,4,2,0,2,0,1,1,1,1,16,6,3,2,2,2,22,6,62,38,0.0,0.0,0.95,0.71,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.79,3.37,4.28,1.45,2.3,4.5,8.5,2.1,1.67,Stadionul Ilie Oană (Ploieşti),S6354C6B863
1721404800,Jul 19 2024 - 4:00pm,complete,,CSM Iaşi,Botoşani,Florin Andrei,2.0,0.0,0.0,2.0,0.63,1,0,1,1,1,0,6,,5,2,1,0,3,0,0,1,0,3,11,5,6,2,3,2,13,10,50,50,0.0,0.0,1.45,0.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.46,3.1,3.01,1.38,2.18,4.35,8.5,1.83,1.83,Stadionul Emil Alexandrescu (Iaşi),S635B614DCC
1721415600,Jul 19 2024 - 7:00pm,complete,,Unirea Slobozia,FCSB,Vlad Baban,2.0,0.0,0.0,1.14,1.5,2,2,4,2,1,1,"36,89","33,55",4,9,3,0,2,0,0,3,0,2,11,13,5,5,4,4,16,11,32,68,0.0,0.0,1.0,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.2,3.7,1.52,1.27,1.88,3.35,6.75,1.83,1.83,Clinceni - Arena 1 (Clinceni),S6351C4C69D
1721491200,Jul 20 2024 - 4:00pm,complete,,CS U Craiova,UTA Arad,Andrei Florin Chivulete,2.0,0.0,0.0,1.86,0.86,4,2,6,2,1,1,"35,58,73,90'3","45,90'2",8,3,0,0,0,0,0,0,0,0,21,8,9,6,8,2,10,7,63,37,0.0,0.0,2.09,1.13,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.72,3.55,4.5,1.3,2.04,3.5,6.5,1.9,1.83,Complex Sportiv Craiova (Craiova),S635A518079
1721502000,Jul 20 2024 - 7:00pm,complete,,Rapid Bucureşti,CFR Cluj,Istvan Kovacs,2.0,0.0,0.0,1.43,1.8,2,2,4,1,0,1,"53,90'7","28,75",5,4,1,0,0,0,0,1,0,0,16,16,8,3,5,7,13,15,49,51,0.0,0.0,1.69,1.23,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.75,3.0,2.35,1.28,1.9,3.28,6.2,1.73,1.99,Superbet Arena-Giulești (București),S635DDD953F
1721577600,Jul 21 2024 - 4:00pm,complete,,Universitatea Cluj,Hermannstadt,Horia Gabriel Mladinovici,2.0,0.0,0.0,2.33,0.14,3,1,4,4,3,1,"7,20,37",41,3,8,1,0,1,0,0,1,0,1,16,7,7,3,6,3,12,7,59,41,0.0,0.0,1.57,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.16,3.0,3.4,1.54,2.55,5.1,10.25,2.25,1.57,Cluj Arena (Cluj-Napoca),S635311AEAB
1721588400,Jul 21 2024 - 7:00pm,complete,,Dinamo Bucureşti,Petrolul 52,George Cătălin Găman,2.0,0.0,0.0,2.29,1.29,4,1,5,2,2,0,"12,41,61,86",82,5,3,2,0,2,0,1,1,1,1,7,6,5,2,1,2,14,12,55,45,0.0,0.0,1.0,0.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,3.0,3.3,1.4,2.35,4.15,8.2,2.0,1.73,Stadionul Arcul de Triumf (București),S6352C127B6
1721664000,Jul 22 2024 - 4:00pm,complete,,SCM Gloria Buzău,Sepsi,Iulian Călin,2.0,0.0,0.0,1.14,1.14,1,2,3,2,0,2,86,"12,30",7,9,6,0,2,0,2,4,0,2,13,14,7,6,3,4,11,12,45,55,0.0,0.0,1.67,1.75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.4,3.1,2.0,1.4,2.2,4.0,8.0,2.0,1.73,Stadionul Gloria (Buzău),S635129358C
1721674800,Jul 22 2024 - 7:00pm,complete,,Oţelul Galaţi,SSC Farul,Radu Petrescu,2.0,0.0,0.0,1.5,0.57,0,0,0,0,0,0,,,8,12,1,0,0,0,0,1,0,0,13,20,3,4,7,10,17,7,42,58,0.0,0.0,1.29,1.68,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.26,3.15,2.76,1.38,2.0,3.8,8.0,1.83,1.83,Stadionul Oţelul (Galaţi),S6352DBDF6F
1722009600,Jul 26 2024 - 4:00pm,complete,,Hermannstadt,Unirea Slobozia,Rareș George Vidican,3.0,1.0,3.0,1.5,1.25,1,1,2,2,1,1,6,40,5,3,4,0,3,0,1,3,0,3,16,21,2,7,12,11,10,13,53,47,0.84,0.97,1.57,2.11,0.5,0,0,0,0,0,0,50,0,0,5.0,4.0,1.91,3.2,4.0,1.42,2.3,4.2,8.1,2.0,1.75,Stadionul Municipal (Sibiu),S635229639C
1722020400,Jul 26 2024 - 7:00pm,complete,,FCSB,Oţelul Galaţi,Andrei Moroita,3.0,1.0,3.0,1.5,1.25,0,2,2,1,0,1,,"44,59",9,2,2,0,0,0,0,2,0,0,20,7,8,5,9,1,12,11,73,27,1.85,1.69,2.36,1.07,3.5,100,100,50,50,50,50,50,100,100,10.0,4.0,1.65,3.55,5.5,1.3,2.1,3.4,6.05,2.1,1.68,Stadionul Steaua (București),S635677AE6E
1722096000,Jul 27 2024 - 4:00pm,complete,,CSM Iaşi,SCM Gloria Buzău,Iulian Dima,3.0,3.0,1.0,2.0,0.63,1,2,3,2,1,1,29,"45'12,52",7,1,2,0,5,0,1,1,0,5,18,11,4,6,8,3,11,14,63,37,1.45,0.71,1.51,1.27,0.5,0,0,0,0,0,0,50,0,0,9.0,3.0,2.2,3.0,3.1,1.45,2.3,4.5,8.6,2.0,1.75,Stadionul Emil Alexandrescu (Iaşi),S635E628FF4
1722106800,Jul 27 2024 - 7:00pm,complete,,Sepsi,Dinamo Bucureşti,Horațiu Mircea Fesnic,3.0,3.0,0.0,1.38,1.0,1,1,2,1,1,0,29,74,9,3,2,0,3,0,1,1,2,1,10,8,2,3,5,4,12,12,51,49,1.66,0.85,1.11,0.93,3.0,50,50,50,50,50,50,100,50,50,6.0,2.0,1.8,3.3,3.9,1.33,1.95,3.5,6.25,1.83,1.9,Arena Sepsi OSK (Sfântu Gheorghe),S6358E78F57
1722182400,Jul 28 2024 - 4:00pm,complete,,SSC Farul,Botoşani,Viorel Nicușor Flueran,3.0,0.0,0.0,1.63,0.63,0,1,1,0,0,0,,47,7,5,1,0,4,1,1,0,1,4,21,9,2,5,13,1,11,17,67,33,1.89,0.77,1.59,1.04,1.0,0,0,0,0,0,0,100,0,0,10.0,5.0,1.62,3.65,4.4,1.25,1.9,3.04,5.7,1.95,1.8,Stadionul Central (Ovidiu),S635E907421
1722193200,Jul 28 2024 - 7:00pm,complete,,CFR Cluj,CS U Craiova,Marcel Bîrsan,3.0,3.0,1.0,1.56,1.13,0,2,2,0,0,0,,"51,90'5",5,5,3,1,4,0,3,1,0,4,15,14,3,5,9,4,14,11,35,65,2.0,2.23,1.38,1.32,2.5,50,50,50,50,50,50,50,50,50,16.0,4.0,1.75,3.45,3.84,1.22,1.7,2.85,4.95,1.68,2.1,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca),S635D468DA6
1722268800,Jul 29 2024 - 4:00pm,complete,,UTA Arad,Universitatea Cluj,Istvan Kovacs,3.0,1.0,1.0,1.5,1.78,0,0,0,0,0,0,,,6,5,0,0,2,0,0,0,0,2,12,11,5,2,4,6,7,11,40,60,1.56,0.54,1.33,1.15,2.0,100,100,0,0,0,0,50,50,100,5.0,6.0,2.88,3.1,2.4,1.34,2.19,3.65,7.2,1.85,1.85,Stadionul Francisc von Neuman (Arad),S635F4F36DC
1722279600,Jul 29 2024 - 7:00pm,complete,,Petrolul 52,Rapid Bucureşti,Andrei Florin Chivulete,3.0,1.0,1.0,1.75,1.25,1,0,1,1,1,0,31,,0,12,2,0,0,1,0,2,0,1,7,12,3,5,2,4,14,13,34,66,0.95,1.8,0.67,1.46,1.0,50,50,0,0,0,0,50,0,50,9.0,5.0,3.55,3.0,2.25,1.31,2.05,3.48,6.7,1.84,1.86,Stadionul Ilie Oană (Ploieşti),S63553074D9
