timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1720875600,Jul 13 2024 - 1:00pm,complete,,Arsenal Tula,FK Chernomorets Novorossiysk,,1,0.0,0.0,2.0,1.11,1,0,1,0,0,0,51,,2,0,3,0,3,0,1,2,0,3,9,5,6,0,3,5,-1,-1,49,51,0.0,0.0,1.24,0.54,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.51,3.18,2.81,1.37,2.22,3.92,7.7,1.89,1.81,Stadion Arsenal,S6359586307
1720951200,Jul 14 2024 - 10:00am,complete,,Yenisey,KAMAZ,,1,0.0,0.0,2.0,0.8,2,1,3,0,0,0,"62,72",90'1,2,6,3,0,1,0,0,3,1,0,11,11,6,6,5,5,-1,-1,53,47,0.0,0.0,1.29,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.76,5.05,1.29,1.99,3.34,6.35,1.93,1.78,Central'nyj Stadion,S6353A495A1
1720962000,Jul 14 2024 - 1:00pm,complete,,Shinnik,Rotor Volgograd,,1,0.0,0.0,1.22,1.33,0,1,1,1,0,1,,14,6,3,2,0,1,0,1,1,1,0,10,7,4,3,6,4,-1,-1,58,42,0.0,0.0,1.4,0.89,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.78,3.4,4.2,1.33,2.05,3.65,7.2,1.94,1.77,Stadion Shinnik,S6353793538
1720962000,Jul 14 2024 - 1:00pm,complete,,Ural,FK Sochi,,1,0.0,0.0,2.11,1.11,2,0,2,0,0,0,"49,58",,5,4,2,0,2,0,0,2,1,1,6,5,3,3,3,2,-1,-1,51,49,0.0,0.0,0.86,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.45,3.2,1.24,1.83,2.98,5.55,1.68,2.06,,S6359A50707
1720969200,Jul 14 2024 - 3:00pm,complete,,Neftekhimik,Tyumen,,1,0.0,0.0,2.0,0.44,3,0,3,2,2,0,"24,36,60",,3,9,0,0,1,0,0,0,1,0,12,9,9,6,3,3,-1,-1,46,54,0.0,0.0,1.78,1.48,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.89,3.24,4.33,1.48,2.54,4.8,9.6,2.21,1.59,Stadion Neftekhimik,S635D243CBD
1720971000,Jul 14 2024 - 3:30pm,complete,,Torpedo Moskva,SKA Khabarovsk,,1,0.0,0.0,2.11,0.67,4,0,4,1,1,0,"21,49,82,85",,5,5,0,0,1,0,0,0,0,1,8,9,7,3,1,6,-1,-1,58,42,0.0,0.0,1.16,0.98,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.03,3.15,3.45,1.45,2.64,4.15,8.2,2.21,1.59,,S6356AEF512
1720974600,Jul 14 2024 - 4:30pm,complete,,Rodina Moskva,Baltika,,1,0.0,0.0,1.38,1.67,0,0,0,0,0,0,,,2,5,3,0,2,0,2,1,0,2,5,6,3,2,2,4,-1,-1,47,53,0.0,0.0,0.71,0.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.24,3.3,2.85,1.26,1.85,3.08,5.8,1.77,1.94,,S6350F86079
1720976400,Jul 14 2024 - 5:00pm,complete,,Chayka,Sokol Saratov,,1,0.0,0.0,1.56,0.88,1,1,2,0,0,0,75,52,5,3,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,3,0,0,-1,-1,51,49,0.0,0.0,1.52,0.78,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.02,3.25,3.35,1.44,2.35,4.5,9.0,2.04,1.69,Stadion Central’nyj im. I.P. Chayka,S6355AE9382
1721061000,Jul 15 2024 - 4:30pm,complete,,Spartak Vladikavkaz,Ufa,,1,0.0,0.0,0.63,0.86,0,0,0,0,0,0,,,8,2,1,0,0,0,0,1,0,0,12,9,6,3,6,6,-1,-1,56,44,0.0,0.0,1.63,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.78,3.4,4.0,1.34,2.05,3.65,7.2,1.92,1.79,Respublikanskiy stadion Spartak,S635CD3D2FA
1721467800,Jul 20 2024 - 9:30am,complete,,Ural,Shinnik,,2,3.0,0.0,2.11,0.88,2,1,3,1,0,1,"83,89",41,6,4,-1,-1,-1,-1,-1,-1,-1,-1,6,6,3,3,3,3,-1,-1,58,42,0.86,0.0,0.81,0.72,1.0,0,50,0,0,0,0,0,50,50,5.0,2.0,1.58,3.64,6.35,1.39,2.28,4.05,7.9,2.27,1.6,,S63571D2771
