timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1724082600,Aug 19 2024 - 3:50pm,complete,,Al Adalh,Al Bukayriyah,,1,0.0,0.0,2.33,1.4,2,0,2,0,0,0,"68,78",,4,0,-1,-1,-1,-1,-1,-1,-1,-1,11,7,5,2,6,5,-1,-1,57,43,0.0,0.0,1.41,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,3.5,3.7,1.3,1.95,3.35,5.5,1.79,1.87,Prince Abdullah bin Jalawi Sports City Stadium,S635619201A
1724084100,Aug 19 2024 - 4:15pm,complete,,Al Najma,Al Ta'ee,,1,0.0,0.0,1.8,2.0,3,0,3,0,0,0,"54,71,85",,3,6,-1,-1,-1,-1,-1,-1,-1,-1,12,6,8,3,4,3,-1,-1,54,46,0.0,0.0,1.75,0.86,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.35,3.1,2.7,1.3,2.0,3.4,6.5,1.65,2.0,,S6354AF7160
1724089800,Aug 19 2024 - 5:50pm,complete,,Jeddah,Al-Jndal,,1,0.0,0.0,2.2,1.5,1,0,1,1,1,0,10,,2,4,-1,-1,-1,-1,-1,-1,-1,-1,6,9,3,3,3,6,-1,-1,33,67,0.0,0.0,0.86,1.28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.1,3.2,1.33,2.1,3.64,6.8,1.83,1.83,King Abdullah Sports City Reserve Stadium,S635D5E99BD
1724170800,Aug 20 2024 - 4:20pm,complete,,Al-Ain,Al Batin,,1,0.0,0.0,0.5,1.25,1,1,2,0,0,0,90'9,66,6,2,-1,-1,-1,-1,-1,-1,-1,-1,8,11,2,5,6,6,-1,-1,61,39,0.0,0.0,1.12,1.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.2,3.4,1.75,1.36,1.9,3.65,5.8,1.67,2.0,,S63559E3680
1724170800,Aug 20 2024 - 4:20pm,complete,,Al Jabalain,Al Faisaly,,1,0.0,0.0,1.75,0.75,0,1,1,0,0,0,,56,6,5,-1,-1,-1,-1,-1,-1,-1,-1,6,9,2,6,4,3,-1,-1,51,49,0.0,0.0,0.92,1.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.2,3.4,1.95,1.34,2.1,3.4,7.5,1.88,1.85,Prince Abdul Aziz bin Musa'ed Stadium,S635432A1B2
1724176200,Aug 20 2024 - 5:50pm,complete,,Al Jubail,Al Safa,,1,0.0,0.0,0.6,1.33,0,1,1,0,0,0,,53,2,6,-1,-1,-1,-1,-1,-1,-1,-1,8,14,3,9,5,5,-1,-1,47,53,0.0,0.0,0.96,1.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.83,3.4,3.5,1.22,1.73,2.84,5.2,1.65,2.1,,S635C86ECF7
1724256600,Aug 21 2024 - 4:10pm,complete,,Abha,Al Suqoor,,1,0.0,0.0,1.75,2.4,0,1,1,1,0,1,,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,5,3,8,1,-1,-1,53,47,0.0,0.0,1.61,0.67,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S63559C6585
1724256600,Aug 21 2024 - 4:10pm,complete,,Al Hazm,Ohod,,1,0.0,0.0,2.6,0.25,1,1,2,1,1,0,40,47,9,2,-1,-1,-1,-1,-1,-1,-1,-1,18,11,9,7,9,4,-1,-1,61,39,0.0,0.0,2.36,1.57,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.57,3.5,5.25,1.32,2.05,3.48,6.5,1.98,1.79,,S635570A68A
1724262600,Aug 21 2024 - 5:50pm,complete,,Al Zulfi,Al Arabi,,1,0.0,0.0,1.6,1.4,0,0,0,0,0,0,,,9,5,-1,-1,-1,-1,-1,-1,-1,-1,10,10,3,3,7,7,-1,-1,54,46,0.0,0.0,1.27,1.25,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.9,3.25,2.15,1.24,1.85,2.98,5.5,1.66,2.04,,S6355B02245
1724600700,Aug 25 2024 - 3:45pm,complete,,Al Safa,Al-Ain,,2,0.0,0.0,0.6,0.8,0,3,3,2,0,2,,"10,24,79",7,2,-1,-1,-1,-1,-1,-1,-1,-1,8,6,3,5,5,1,-1,-1,50,50,0.0,0.0,1.13,0.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.05,3.1,3.4,1.3,2.0,3.5,8.0,1.75,1.95,Al Safwa Stadium,S635E21BDC1
1724601600,Aug 25 2024 - 4:00pm,complete,,Al Faisaly,Al Adalh,,2,0.0,0.0,1.4,0.8,3,0,3,2,2,0,"31,41,60",,4,1,-1,-1,-1,-1,-1,-1,-1,-1,12,9,4,3,8,6,-1,-1,50,50,0.0,0.0,1.38,1.23,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.55,3.1,2.63,1.33,2.1,3.8,8.0,1.75,1.95,,S63526A08B4
1724608200,Aug 25 2024 - 5:50pm,complete,,Al Ta'ee,Jeddah,,2,0.0,0.0,1.33,2.0,1,1,2,1,1,0,17,86,3,5,-1,-1,-1,-1,-1,-1,-1,-1,5,6,3,3,2,3,-1,-1,50,50,0.0,0.0,0.84,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.25,3.2,1.22,2.05,3.1,6.0,1.75,1.95,,S6357E88F2C
1724688300,Aug 26 2024 - 4:05pm,complete,,Al Batin,Al Hazm,,2,0.0,0.0,1.0,2.0,1,3,4,2,1,1,10,"13,50,90'5",3,4,-1,-1,-1,-1,-1,-1,-1,-1,7,12,3,7,4,5,-1,-1,48,52,0.0,0.0,0.92,1.52,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.55,3.25,2.4,1.3,1.9,3.5,7.5,1.65,2.1,Al-Batin FC Stadium,S635AE4F9C4
1724688300,Aug 26 2024 - 4:05pm,complete,,Al Bukayriyah,Al Jubail,,2,0.0,0.0,0.67,1.75,0,0,0,0,0,0,,,1,2,-1,-1,-1,-1,-1,-1,-1,-1,9,2,3,0,6,2,-1,-1,59,41,0.0,0.0,1.18,0.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.57,3.7,5.25,1.36,2.1,3.7,8.0,2.2,1.6,,S635F7747BC
1724694600,Aug 26 2024 - 5:50pm,complete,,Al Zulfi,Al Najma,,2,1.0,0.0,1.6,1.33,2,0,2,0,0,0,"54,90'8",,11,7,-1,-1,-1,-1,-1,-1,-1,-1,12,6,6,3,6,3,-1,-1,53,47,1.27,0.0,1.42,0.89,0.0,0,0,0,0,0,0,0,0,0,9.0,0.0,2.9,3.0,2.25,1.4,1.95,4.2,8.5,1.75,2.0,,S635E5548ED
1724775000,Aug 27 2024 - 4:10pm,complete,,Al Arabi,Abha,,2,0.0,0.0,1.33,1.8,1,2,3,0,0,0,90'7,"61,90'9",7,3,-1,-1,-1,-1,-1,-1,-1,-1,6,6,3,4,3,2,-1,-1,50,50,0.0,0.0,0.92,0.93,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,3.7,4.33,1.25,1.8,3.0,5.5,1.75,1.95,,S635FABC290
1724775900,Aug 27 2024 - 4:25pm,complete,,Ohod,Al Jabalain,,2,0.0,0.0,0.6,0.75,2,0,2,0,0,0,"82,89",,9,2,-1,-1,-1,-1,-1,-1,-1,-1,8,12,4,6,4,6,-1,-1,48,52,0.0,0.0,1.12,1.51,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.25,2.9,3.1,1.36,2.38,4.1,8.0,2.0,1.73,Prince Mohammed bin Abdul Aziz Stadium,S63575B7630
1724781000,Aug 27 2024 - 5:50pm,complete,,Al Suqoor,Al-Jndal,,2,0.0,0.0,2.5,1.5,4,0,4,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,5,2,3,3,-1,-1,63,37,0.0,1.28,1.24,0.64,0.5,0,0,0,0,0,0,50,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,King Khalid Sport City Stadium,S635426E48E
1725022800,Aug 30 2024 - 1:00pm,complete,,Al-Ain,Al Ta'ee,,3,1.0,0.0,0.5,2.0,0,1,1,0,0,0,,55,0,6,-1,-1,-1,-1,-1,-1,-1,-1,3,11,0,5,3,6,-1,-1,39,61,1.12,0.86,0.41,1.52,2.5,50,100,50,0,0,0,0,100,100,12.0,0.0,2.2,3.2,2.9,1.3,2.0,3.5,7.5,1.75,2.0,,S63547D837C
1725032400,Aug 30 2024 - 3:40pm,complete,,Al Adalh,Al Safa,,3,3.0,3.0,2.33,1.33,1,0,1,0,0,0,90'2,,11,3,-1,-1,-1,-1,-1,-1,-1,-1,9,5,5,2,4,3,-1,-1,65,35,1.41,1.82,1.53,0.69,1.5,0,50,0,0,0,0,0,50,100,10.0,0.0,1.83,3.25,4.0,1.22,2.1,3.1,6.5,1.91,1.8,Prince Abdullah bin Jalawi Sports City Stadium,S635EECD32E
