timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722684600,Aug 03 2024 - 11:30am,complete,,Hearts,Rangers,Nick Walsh,1.0,0.0,0.0,1.0,0.8,0,0,0,0,0,0,,,8,7,3,0,1,0,1,2,0,1,19,11,4,4,3,3,12,11,37,63,0.0,0.0,1.14,1.18,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.58,4.05,1.71,1.18,1.55,2.45,4.33,1.62,2.2,Tynecastle Park (Edinburgh),S6356523AAD
1722693600,Aug 03 2024 - 2:00pm,complete,,Motherwell,Ross County,John Beaton,1.0,0.0,0.0,1.4,0.6,0,0,0,0,0,0,,,9,3,0,0,2,0,0,0,0,2,13,8,4,4,6,3,5,11,50,50,0.0,0.0,1.47,1.11,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.4,3.7,1.28,1.8,3.1,6.0,1.67,2.1,Fir Park (Motherwell),S6355FAB1FB
1722774600,Aug 04 2024 - 12:30pm,complete,,Dundee United,Dundee,David Dickinson,1.0,0.0,0.0,1.4,1.0,2,2,4,3,2,1,"13,23","18,79",5,6,2,0,0,0,0,2,0,0,17,16,10,5,6,8,8,6,37,63,0.0,0.0,2.04,1.6,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,3.25,2.8,1.24,1.86,2.89,5.35,1.67,2.1,CalForth Construction Arena at Tannadice Park (Dundee),S635D02566C
1722780000,Aug 04 2024 - 2:00pm,complete,,St. Mirren,Hibernian,Matthew McDermid,1.0,0.0,0.0,1.57,0.4,3,0,3,0,0,0,"48,78,80",,4,8,3,0,1,0,3,0,1,0,10,17,5,4,4,7,10,9,43,57,0.0,0.0,1.07,1.47,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.45,3.14,2.99,1.3,1.91,3.4,6.5,1.75,2.0,The SMISA Stadium (Paisley),S63578BF563
1722785400,Aug 04 2024 - 3:30pm,complete,,Celtic,Kilmarnock,Don Robertson,1.0,0.0,0.0,2.6,1.0,4,0,4,2,2,0,"17,40,59,90'4",,10,1,0,0,2,0,0,0,0,2,33,6,14,3,10,2,7,11,82,18,0.0,0.0,3.1,0.69,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.17,7.36,12.55,1.09,1.34,1.8,3.0,1.95,1.8,Celtic Park (Glasgow),S6352C8F572
1722884400,Aug 05 2024 - 7:00pm,complete,,St. Johnstone,Aberdeen,Kevin Clancy,1.0,0.0,0.0,0.6,2.5,1,2,3,1,0,1,88,"22,62",12,7,2,0,1,0,2,0,0,1,17,22,3,7,8,9,10,12,52,48,0.0,0.0,1.39,1.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.78,3.25,2.33,1.33,2.04,3.6,7.0,1.75,2.0,McDiarmid Park (Perth),S635DC3A3A1
1723298400,Aug 10 2024 - 2:00pm,complete,,Rangers,Motherwell,Kevin Clancy,2.0,0.0,0.0,3.0,1.8,2,1,3,3,2,1,"13,24",17,6,4,2,0,0,0,0,2,0,0,20,8,10,2,5,5,9,8,68,32,0.0,0.0,2.02,0.88,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.13,8.94,14.41,1.12,1.36,1.83,3.1,1.8,1.9,Hampden Park (Glasgow),S635C0040D0
1723298400,Aug 10 2024 - 2:00pm,complete,,Ross County,Dundee United,Craig Napier,2.0,0.0,0.0,1.29,1.5,1,1,2,0,0,0,90'5,48,7,5,1,0,2,0,0,1,1,1,22,13,6,3,8,4,11,13,57,43,0.0,0.0,1.66,1.05,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.32,3.23,3.12,1.33,2.03,3.55,7.0,1.8,1.95,Global Energy Stadium (Dingwall),S6356E00DCA
1723307400,Aug 10 2024 - 4:30pm,complete,,Dundee,Hearts,Don Robertson,2.0,0.0,0.0,1.17,0.57,3,1,4,3,3,0,"23,45'2,45'5",61,2,10,3,0,4,0,2,1,2,2,13,15,8,4,3,7,8,12,40,60,0.0,0.0,1.56,1.39,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.11,3.62,2.16,1.22,1.55,2.6,4.75,1.53,2.38,The Scot Foam Stadium at Dens Park (Dundee),S6357C8854E
1723375800,Aug 11 2024 - 11:30am,complete,,Hibernian,Celtic,Nick Walsh,2.0,0.0,0.0,1.0,3.0,0,2,2,2,0,2,,"3,19",3,5,2,0,1,0,2,0,1,0,5,20,0,8,5,3,11,10,25,75,0.0,0.0,0.53,1.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.2,5.0,1.4,1.15,1.49,2.23,3.7,1.7,2.05,Easter Road Stadium (Edinburgh),S635F8D582D
