timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1721408400,Jul 19 2024 - 5:00pm,complete,,Radnički Kragujevac,Železničar Pančevo,Milan Mitić,1.0,0.0,0.0,1.75,1.13,2,3,5,4,1,3,"29,53","3,15,45'3",4,5,3,0,2,0,1,2,1,1,14,9,6,5,6,3,19,19,63,37,0.0,0.0,1.76,1.25,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.45,3.77,1.32,1.97,3.42,6.55,1.8,1.85,Gradski stadion Dubočica (Leskovac),S6352D2336F
1721415600,Jul 19 2024 - 7:00pm,complete,,Napredak,Partizan,Novak Simović,1.0,0.0,0.0,1.0,2.29,0,1,1,0,0,0,,90'3,3,4,1,1,1,0,0,2,0,1,10,16,4,5,3,7,17,9,38,62,0.0,0.0,1.02,1.67,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.18,5.1,1.25,1.21,1.55,2.61,4.62,2.2,1.55,Stadion Partizana (Beograd),S635FE1AECE
1721498400,Jul 20 2024 - 6:00pm,complete,,Red Star Belgrade,Jedinstvo Ub,Miloš Milanović,1.0,0.0,0.0,2.71,0.14,4,0,4,2,2,0,"18,23,53,69",,10,3,1,0,1,0,1,0,1,0,26,9,10,0,8,5,16,8,62,38,0.0,0.0,2.33,0.52,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.06,7.5,19.0,1.1,1.3,1.86,2.74,2.4,1.45,Stadion Rajko Mitić (Beograd),S635E9B1D28
1721498400,Jul 20 2024 - 6:00pm,complete,,Mladost Lučani,OFK Beograd,Nikola Radaković,1.0,0.0,0.0,1.63,2.13,1,2,3,0,0,0,59,"86,90'3",2,4,3,1,1,0,1,3,0,1,7,11,4,7,3,4,13,15,32,68,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.1,3.1,0.0,2.16,0.0,0.0,0.0,0.0,Stadion Radomir Antić (Užice),S63586A80E3
1721498400,Jul 20 2024 - 6:00pm,complete,,Čukarički,Radnički Niš,,1.0,0.0,0.0,2.0,1.0,2,0,2,2,2,0,"32,45",,3,5,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,18,19,67,33,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,3.75,5.0,1.31,2.0,3.48,6.7,1.95,1.81,Stadion na Banovom brdu (Beograd),S635793BE0E
1721575800,Jul 21 2024 - 3:30pm,complete,,Novi Pazar,Spartak Subotica,Milan Stefanović,1.0,0.0,0.0,1.75,0.38,3,2,5,2,2,0,"23,31,78","83,90'2",4,1,4,0,2,0,1,3,2,0,15,14,5,7,8,2,17,14,46,54,0.0,0.0,1.59,1.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.35,4.3,1.37,2.14,3.83,7.45,1.86,1.9,Atletski stadion Novi Pazar (Novi Pazar),S635AF88817
1721583000,Jul 21 2024 - 5:30pm,complete,1000.0,Tekstilac Odžaci,Vojvodina,Lazar Lukić,1.0,0.0,0.0,1.0,1.5,1,3,4,1,0,1,90,"28,51,88",1,2,1,0,2,0,0,1,0,2,11,14,5,7,3,5,14,11,38,62,0.0,0.0,1.24,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.5,3.8,1.48,1.26,1.88,3.08,5.8,1.85,1.91,Stadion Slavko Maletin Vava (Bačka Palanka),S6353272666
1721583000,Jul 21 2024 - 5:30pm,complete,,Bačka Topola,IMT Novi Beograd,Pavle Ilić,1.0,0.0,0.0,1.25,0.5,1,0,1,0,0,0,70,,7,8,4,0,3,0,2,2,1,2,18,16,6,5,6,5,11,16,66,34,0.0,0.0,1.78,1.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.49,3.95,5.1,1.24,1.71,2.87,5.25,1.86,1.9,TSC Arena (Bačka Topola),S63588865FF
1722103200,Jul 27 2024 - 6:00pm,complete,,Jedinstvo Ub,Partizan,Nenad Minaković,2.0,0.0,3.0,0.57,2.29,0,4,4,2,0,2,,"2,27,52,65",2,6,2,0,2,0,1,1,0,2,6,17,2,7,3,6,21,9,48,52,0.0,1.67,0.53,1.4,0.5,0,0,0,0,0,0,0,0,50,4.0,1.0,5.25,4.1,1.47,1.14,1.7,2.55,4.8,1.73,2.05,Stadion Dragan Dzajić (Ub),S635471E8BC
1722103200,Jul 27 2024 - 6:00pm,complete,,Železničar Pančevo,Napredak,Jovan Šegrt,2.0,0.0,0.0,1.17,0.86,1,1,2,1,1,0,36,71,5,0,0,0,1,0,0,0,0,1,13,4,6,2,5,2,14,16,69,31,0.0,0.0,1.6,0.46,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.82,3.25,3.75,1.25,1.9,3.3,6.0,1.65,2.18,Sportsko-Rekreativni Centar Mladost (Pančevo),S635CAAEFC8
1722103200,Jul 27 2024 - 6:00pm,complete,,Red Star Belgrade,Mladost Lučani,,,3.0,0.0,2.71,2.33,2,2,4,2,0,2,"85,90'1","19,37",19,0,1,0,4,1,1,0,1,4,29,2,12,0,17,2,7,9,77,23,2.33,0.0,0.0,0.0,2.0,0,50,50,50,0,50,50,50,50,10.0,1.0,1.1,8.25,16.5,0.0,1.36,1.91,0.0,0.0,0.0,,S635849761C
1722193200,Jul 28 2024 - 7:00pm,complete,,Spartak Subotica,Čukarički,Marko Ivković,2.0,0.0,0.0,1.4,1.0,1,1,2,1,0,1,81,26,4,4,2,0,1,0,0,2,0,1,7,21,3,6,2,6,13,12,37,63,0.0,0.0,0.95,1.72,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.27,2.97,1.9,1.29,1.96,3.6,6.7,1.75,2.03,Gradski Stadion (Senta),S63553CEE03
1722193200,Jul 28 2024 - 7:00pm,complete,,Radnički Niš,Bačka Topola,Dejan Trifković,2.0,0.0,0.0,2.33,1.8,1,0,1,0,0,0,52,,9,4,7,0,3,1,3,4,1,3,20,15,7,2,4,8,25,15,50,50,0.0,0.0,1.68,1.21,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.28,2.98,1.89,1.3,2.06,4.0,8.0,1.8,1.96,Gradski stadion Dubočica (Leskovac),S6354DF24E8
1722276000,Jul 29 2024 - 6:00pm,complete,,OFK Beograd,Tekstilac Odžaci,Stanko Ostraćanin,2.0,0.0,0.0,1.67,0.5,1,0,1,1,1,0,5,,5,4,0,0,1,0,0,0,0,1,6,19,3,6,3,6,11,18,49,51,0.0,0.0,0.98,1.64,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.53,3.55,5.25,1.3,2.04,3.3,6.0,1.86,1.9,Stadion Lagator (Loznica),S635AA40A5E
1722621600,Aug 02 2024 - 6:00pm,complete,,Napredak,IMT Novi Beograd,,3.0,0.0,0.0,1.0,0.5,1,1,2,0,0,0,90,65,3,1,0,0,2,0,0,0,0,2,12,10,4,3,7,5,12,21,54,46,1.02,1.43,1.41,1.14,1.0,0,0,0,0,0,0,0,0,100,11.0,6.0,2.8,3.3,2.2,1.36,1.9,3.88,7.6,1.91,1.8,SRC Kolubara (Lazarevac),S63564BC826
1722699000,Aug 03 2024 - 3:30pm,complete,,Novi Pazar,OFK Beograd,,3.0,3.0,3.0,1.75,2.13,0,0,0,0,0,0,,,9,1,1,0,2,0,0,1,2,0,16,10,10,2,4,5,17,16,52,48,1.59,0.0,2.19,1.02,4.0,100,100,100,50,50,50,50,100,100,8.0,5.0,2.0,3.2,3.5,1.33,2.0,3.75,7.0,1.83,1.83,Atletski stadion Novi Pazar (Novi Pazar),S6355F16E3E
1722708000,Aug 03 2024 - 6:00pm,complete,,Mladost Lučani,Jedinstvo Ub,Ivan Stamenković,3.0,0.0,0.0,1.63,0.14,2,1,3,1,0,1,"52,71",39,9,2,1,1,2,0,0,2,1,1,7,7,5,4,2,3,12,12,54,46,0.0,0.52,0.0,0.0,3.5,50,100,100,50,0,50,50,100,100,5.0,5.0,1.65,3.6,4.6,0.0,1.8,0.0,0.0,0.0,0.0,Stadion Radomir Antić (Užice),S635307B3EC
1722708000,Aug 03 2024 - 6:00pm,complete,,Tekstilac Odžaci,Red Star Belgrade,,3.0,0.0,0.0,1.0,3.0,0,4,4,0,0,0,,"53,63,68,83",1,5,2,0,0,0,2,0,0,0,6,21,3,7,3,8,20,9,26,74,1.24,0.0,0.77,2.18,2.0,50,50,50,50,0,0,50,50,50,1.0,1.0,17.0,9.0,1.08,1.1,1.36,1.83,3.0,2.63,1.44,Stadion Slavko Maletin Vava (Bačka Palanka),S6358669ABC
1722785400,Aug 04 2024 - 3:30pm,complete,,Bačka Topola,Spartak Subotica,Srđan Jovanović,3.0,3.0,0.0,1.25,0.38,0,0,0,0,0,0,,,5,4,2,0,0,0,0,2,0,0,14,12,8,4,1,5,15,13,73,27,1.78,1.49,1.87,1.21,3.0,50,50,50,50,50,50,50,50,100,8.0,6.0,1.58,3.63,5.02,1.22,1.93,2.75,4.5,1.91,1.8,TSC Arena (Bačka Topola),S6356E0F466
