timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1709269200,Mar 01 2024 - 5:00am,complete,,Ulsan,Pohang Steelers,Woo-Sung Kim,1,0.0,0.0,2.33,1.41,1,0,1,0,0,0,51,,4,4,0,0,2,1,0,0,0,3,11,5,6,3,4,2,4,8,61,39,0.0,0.0,1.38,0.73,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.83,3.6,4.0,1.25,1.83,3.0,5.5,1.73,2.0,Ulsan Munsu Football Stadium (Ulsan),S6355219DF0
1709278200,Mar 01 2024 - 7:30am,complete,24758.0,Jeonbuk Motors,Daejeon Citizen,Dong-Sik Jeong,1,0.0,0.0,1.28,0.89,1,1,2,1,0,1,86,11,8,2,2,0,4,0,0,2,1,3,20,8,7,4,11,3,9,14,60,40,0.0,0.0,2.28,1.07,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,3.75,4.2,1.27,1.85,3.1,5.99,1.73,2.0,Jeonju World Cup Stadium (Jeonju),S635E50904E
1709355600,Mar 02 2024 - 5:00am,complete,,Gwangju,FC Seoul,Byung-Jin Park,1,0.0,0.0,1.53,1.32,2,0,2,1,1,0,"21,90'5",,8,5,4,0,3,0,0,4,1,2,13,13,6,4,6,7,5,14,47,53,0.0,0.0,1.56,1.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.1,3.0,1.36,2.05,3.75,7.5,1.83,1.83,Gwangju Football Stadium (Gwangju),S6358DECA93
1709364600,Mar 02 2024 - 7:30am,complete,,Incheon United,Suwon,Yong-Jun Shin,1,0.0,0.0,0.78,1.37,0,1,1,0,0,0,,90'10,8,2,2,0,3,0,1,1,1,2,19,6,7,2,7,4,6,8,60,40,0.0,0.0,2.1,0.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.91,3.4,3.3,1.25,1.75,2.9,5.5,1.67,2.1,Sungui Arena Park (Incheon),S6350F1F51D
1709364600,Mar 02 2024 - 7:30am,complete,,Gangwon,Jeju United,Hyung-Jin Ko,1,0.0,0.0,2.11,0.83,1,1,2,2,1,1,1,44,6,4,2,0,1,0,1,1,1,0,22,14,7,6,9,7,10,11,44,56,0.0,0.0,1.96,1.67,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.37,2.9,2.8,1.44,2.3,4.5,9.0,2.0,1.73,Chuncheon Songam Stadium (Chuncheon),S635353D8F1
1709442000,Mar 03 2024 - 5:00am,complete,,Daegu,Sangju Sangmu,,1,0.0,0.0,1.28,1.28,0,1,1,0,0,0,,78,3,3,1,0,3,0,0,1,1,2,16,8,4,3,11,5,11,9,49,51,0.0,0.0,1.71,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.3,3.9,1.38,2.15,4.0,8.0,1.91,1.8,DGB Daegu Bank Park (Daegu),S63555D5952
1709960400,Mar 09 2024 - 5:00am,complete,,Suwon,Jeonbuk Motors,Sang-Hyeop Chae,2,0.0,0.0,1.41,0.83,1,1,2,0,0,0,47,54,9,6,0,0,0,1,0,0,1,0,33,15,9,4,14,8,9,7,69,31,0.0,0.0,2.9,1.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.7,3.3,1.95,1.3,1.9,3.25,6.25,1.7,2.0,Suwon Sports Complex (Suwon),S635619AB07
1709969400,Mar 09 2024 - 7:30am,complete,,Pohang Steelers,Daegu,Byung-Jin Park,2,0.0,0.0,1.53,0.94,3,1,4,1,0,1,"49,53,73",45'1,3,2,2,0,1,0,0,2,0,1,11,16,6,5,3,8,21,8,53,47,0.0,0.0,1.55,1.67,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.2,3.5,1.4,2.2,4.2,8.0,1.9,1.77,Steelyard Stadium (Pohang),S635790964F
1709969400,Mar 09 2024 - 7:30am,complete,,Sangju Sangmu,Ulsan,Yong-Woo Kim,2,0.0,0.0,2.06,1.44,2,3,5,3,0,3,"58,61","17,26,29",7,0,1,0,1,0,0,1,0,1,14,9,6,7,5,1,7,12,66,34,0.0,0.0,1.8,1.29,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.28,3.54,2.15,1.25,1.8,3.0,5.5,1.62,2.1,Gimcheon Stadium (Gimcheon),S635C2BBE8E
1710046800,Mar 10 2024 - 5:00am,complete,,Jeju United,Daejeon Citizen,Dong-Jun Lee,2,0.0,1.0,1.83,0.89,3,1,4,2,2,0,"39,45'6,65",88,8,6,0,0,4,0,0,0,1,3,11,12,6,8,4,2,12,8,53,47,0.0,1.07,1.55,1.69,1.0,50,50,0,0,0,0,50,0,50,2.0,4.0,2.1,3.5,3.5,1.25,1.9,3.1,5.8,1.72,1.97,Jeju World Cup Stadium (Seogwipo),S635AAD51FF
