timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1723746600,Aug 15 2024 - 6:30pm,complete,,Granada CF,Albacete Balompié,Saúl Ais Reig,1.0,0.0,0.0,1.14,1.14,1,2,3,3,1,2,29,"42,45'3",9,5,6,0,3,0,4,2,2,1,21,10,10,4,10,2,9,11,66,34,0.0,0.0,2.51,0.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.79,3.17,3.92,1.4,2.2,4.2,8.5,2.0,1.73,Estadio Nuevo Los Cármenes (Granada),S635DBC8EEA
1723827600,Aug 16 2024 - 5:00pm,complete,,Mirandés,Córdoba,Miguel González Díaz,1.0,0.0,0.0,2.29,0.17,1,0,1,1,1,0,25,,2,9,1,0,1,0,1,0,0,1,5,26,2,7,1,7,7,13,31,69,0.0,0.0,0.48,1.95,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.4,3.1,2.9,1.45,2.38,4.5,9.0,2.0,1.73,Estadio Municipal de Anduva (Miranda de Ebro),S635A6515E7
1723836600,Aug 16 2024 - 7:30pm,complete,,Cádiz,Real Zaragoza,Dámaso Arcediano Monescillo,1.0,0.0,0.0,0.86,1.86,0,4,4,2,0,2,,"14,43,84,90'1",6,0,3,0,2,0,2,1,1,1,13,13,4,9,6,3,14,18,61,39,0.0,0.0,1.33,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,3.25,4.5,1.57,2.5,4.75,9.5,2.25,1.57,Estadio Nuevo Mirandilla (Cádiz),S6358D9C12C
1723906800,Aug 17 2024 - 3:00pm,complete,,Racing Club de Ferrol,Málaga CF,Miguel Sesma Espinosa,1.0,0.0,0.0,1.0,1.0,2,2,4,1,0,1,"69,82","45,79",3,3,1,0,3,0,0,1,1,2,14,10,6,4,4,4,13,18,44,56,0.0,0.0,1.33,1.05,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.85,3.0,4.0,1.49,2.37,4.75,9.7,2.1,1.67,Estadio Municipal de A Malata (Ferrol),S635C646190
1723906800,Aug 17 2024 - 3:00pm,complete,,SD Eibar,CD Castellón,Eder Mallo Fernández,1.0,0.0,0.0,1.86,2.0,1,0,1,1,1,0,2,,3,3,4,0,1,0,2,2,0,1,9,12,4,5,2,4,16,9,36,64,0.0,0.0,0.95,1.32,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,3.4,5.25,1.32,2.05,3.5,6.75,2.0,1.73,Estadio Municipal de Ipurúa (Eibar),S6352D0BD54
1723914000,Aug 17 2024 - 5:00pm,complete,,Deportivo La Coruña,Real Oviedo,Salvador Lax Franco,1.0,0.0,0.0,0.83,1.0,0,1,1,1,0,1,,5,3,5,3,0,4,0,3,0,3,1,17,8,8,5,4,1,12,20,64,36,0.0,0.0,1.73,0.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,2.95,2.75,1.44,2.38,4.5,7.5,2.0,1.73,Estadio Abanca-Riazor (A Coruña (La Coruña)),S635D2336BF
1723993200,Aug 18 2024 - 3:00pm,complete,,Racing Santander,Almería,Álvaro Moreno Aragón,1.0,0.0,0.0,1.71,1.14,2,2,4,2,2,0,"7,31","65,71",5,7,3,0,2,0,3,0,1,1,13,21,6,9,4,10,16,15,37,63,0.0,0.0,1.32,2.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.09,3.07,3.07,1.35,2.1,3.66,7.2,1.83,1.83,Campos de Sport de El Sardinero (Santander),S635995D97A
1723993200,Aug 18 2024 - 3:00pm,complete,,Sporting Gijón,Levante UD,José Luis Guzmán Mansilla,1.0,0.0,0.0,2.29,1.43,1,2,3,2,0,2,59,"14,42",7,1,2,0,2,0,1,1,1,1,11,10,2,6,6,1,13,15,69,31,0.0,0.0,1.13,1.02,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,2.98,3.73,1.53,2.4,4.75,9.5,2.25,1.57,Estadio Municipal El Molinón (Gijón),S6356DCCCFF
1724002200,Aug 18 2024 - 5:30pm,complete,,Burgos CF,FC Cartagena,Marta Huerta de Aza,1.0,0.0,0.0,1.33,0.86,3,1,4,3,2,1,"25,40,90'3",14,5,5,2,0,3,0,1,1,0,3,13,11,7,4,4,5,11,19,56,44,0.0,0.0,1.44,1.14,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.86,2.98,3.92,1.44,2.4,4.5,8.9,2.2,1.62,Estadio Municipal de El Plantío (Burgos),S6351D013C4
1724002200,Aug 18 2024 - 5:30pm,complete,,Elche CF,SD Huesca,Daniel Palencia Caballero,1.0,0.0,0.0,2.0,1.17,0,1,1,0,0,0,,87,3,1,3,0,3,0,3,0,1,2,13,7,4,4,4,2,14,17,74,26,0.0,0.0,1.17,0.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.99,2.89,3.55,1.48,2.5,5.2,10.5,2.38,1.53,Estadio Manuel Martínez Valero (Elche),S635C9F920D
