timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1723204800,Aug 09 2024 - 12:00pm,complete,,Bangkok United,Prachuap,,1.0,0.0,0.0,2.33,0.83,2,1,3,1,1,0,"45'5,79",54,5,5,3,0,3,0,1,2,1,2,19,12,7,4,6,3,15,9,60,40,0.0,0.0,1.86,1.15,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.42,4.05,5.9,1.25,1.67,2.9,5.25,1.9,1.86,Thammasat Stadium (Pathum Thani),S6354190432
1723287600,Aug 10 2024 - 11:00am,complete,,Nong Bua Pitchaya,Buriram United,Niwat Insa-ard,1.0,0.0,0.0,1.86,2.5,0,4,4,1,0,1,,"10,62,76,83",9,13,1,1,1,0,1,1,0,1,10,25,2,10,4,6,11,16,29,71,0.0,0.0,0.8,2.25,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.33,3.5,1.67,1.18,1.55,2.35,4.15,1.53,2.25,Pitchaya Stadium (Nong Bua Lamphu (Nong Bua Lam Phu)),S635F11186C
1723289400,Aug 10 2024 - 11:30am,complete,,Sukhothai,Bangkok Glass,,1.0,0.0,0.0,2.0,1.71,1,3,4,3,1,2,28,"32,40,84",3,3,3,0,0,0,1,2,0,0,12,16,5,8,6,7,12,7,32,68,0.0,0.0,1.29,1.93,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.9,3.8,1.67,1.13,1.44,2.15,3.6,1.47,2.42,Thung Talay Luang Stadium (Sukhothai),S6352D1A76B
1723291200,Aug 10 2024 - 12:00pm,complete,,Rayong,Port FC,,1.0,0.0,0.0,1.33,1.83,1,3,4,1,1,0,39,"85,89,90'3",3,2,1,0,0,0,0,1,0,0,12,24,4,7,3,11,13,7,36,64,0.0,0.0,1.32,2.43,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.75,3.3,2.2,1.17,1.61,2.51,4.45,1.52,2.46,WHA Rayong Stadium (Rayong),S635FABEFBA
1723374000,Aug 11 2024 - 11:00am,complete,,Ratchaburi,Nakhon Pathom,,1.0,0.0,0.0,1.88,0.57,2,3,5,1,1,0,"15,88","48,56,65",4,4,3,0,3,0,2,1,2,1,14,13,7,8,3,3,13,10,63,37,0.0,0.0,1.76,1.66,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.42,4.6,6.8,1.21,1.67,2.71,4.95,1.77,1.89,Dragon Solar Park (Ratchaburi),S63500994DE
1723375800,Aug 11 2024 - 11:30am,complete,,Lamphun Warrior,Uthai Thani,Warintorn Sassadee,1.0,0.0,0.0,1.83,1.0,1,0,1,1,1,0,7,,1,3,5,0,3,0,1,4,1,2,11,14,4,3,5,6,13,21,32,68,0.0,0.0,1.07,1.12,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.6,3.45,1.2,1.67,2.67,4.85,1.59,2.15,Lamphun Warriors Stadium (Lamphun),S63537D2974
1723377600,Aug 11 2024 - 12:00pm,complete,,Nakhon Ratchasima,Muang Thong United,,1.0,0.0,0.0,1.6,0.75,2,1,3,1,1,0,"13,54",50,1,11,3,0,2,0,0,3,1,1,7,23,3,9,3,12,16,14,24,76,0.0,0.0,1.05,2.83,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.55,3.55,1.97,1.2,1.7,2.67,4.8,1.6,2.14,His Majesty the King's 80th Birthday Anniversary 5th December 2007 Stadium (Nakhon Ratchasima),S63507F9920
1723464000,Aug 12 2024 - 12:00pm,complete,,Chiangrai United,Khon Kaen United,Wichan Klinthaworn,1.0,0.0,0.0,1.4,0.8,2,0,2,0,0,0,"69,76",,8,2,2,0,4,1,1,1,1,4,19,6,8,2,6,3,22,17,62,38,0.0,0.0,1.68,0.62,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.3,3.34,1.22,1.75,2.79,5.15,1.64,2.07,Singha Chiangrai Stadium (Chiang Rai),S635861D4B4
1723809600,Aug 16 2024 - 12:00pm,complete,,Bangkok Glass,Rayong,Torpong Somsingha,2.0,0.0,0.0,1.75,0.5,0,1,1,1,0,1,,45'4,6,2,1,0,2,0,1,0,0,2,22,11,4,7,9,3,14,8,72,28,0.0,0.0,2.2,1.39,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.24,5.0,7.3,1.15,1.48,2.14,3.8,1.88,1.83,BG Stadium (Pathum Thani),S6351DE9CC0
1723894200,Aug 17 2024 - 11:30am,complete,,Ratchaburi,Uthai Thani,,2.0,0.0,0.0,1.88,1.0,1,1,2,2,1,1,40,5,11,3,1,0,1,0,0,1,1,0,17,8,6,5,9,2,12,10,61,39,1.76,1.12,1.82,0.95,3.0,50,50,50,50,50,0,100,50,50,7.0,6.0,1.95,3.07,3.0,0.0,1.78,0.0,0.0,0.0,0.0,Dragon Solar Park (Ratchaburi),S63588D321D
