timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,ID
1722688200,Aug 03 2024 - 12:30pm,complete,,Veres Rivne,Karpaty,Andriy Kovalenko,1.0,0.0,0.0,0.88,1.4,0,0,0,0,0,0,,,2,1,2,0,3,1,0,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.65,3.2,2.75,0.0,2.05,0.0,0.0,0.0,0.0,Stadion Avanhard (Rivne),S635BF8AB7F
1722697200,Aug 03 2024 - 3:00pm,complete,,Hirnyk,Chornomorets,Maksim Kozyryatskiy,1.0,0.0,0.0,1.5,0.4,1,0,1,1,1,0,6,,6,2,2,0,0,0,0,2,0,0,22,7,4,0,18,7,13,10,53,47,0.0,0.0,2.48,0.83,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.29,5.0,9.0,1.18,1.57,2.54,4.5,1.85,1.85,Stadion Hirnyk (Kryvyi Rih),S635F1E4391
1722765600,Aug 04 2024 - 10:00am,complete,,LNZ Cherkasy,Livyi Bereh,Dmitriy Kubryak,1.0,0.0,0.0,2.17,0.83,1,0,1,0,0,0,90'3,,2,4,2,0,0,0,0,2,0,0,5,3,3,2,2,1,5,8,63,37,0.0,0.0,0.57,0.35,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.59,3.73,5.2,1.3,1.9,3.4,6.55,1.91,1.8,Cherkasy Arena (Cherkasy),S635093E8E0
1722774600,Aug 04 2024 - 12:30pm,complete,,Vorskla,Shakhtar Donetsk,Mykola Balakin,1.0,0.0,0.0,1.0,1.83,0,5,5,2,0,2,,"8,31,67,68,88",4,0,2,0,3,0,2,0,2,1,3,11,0,7,3,3,10,19,50,50,0.0,0.0,0.48,1.7,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.14,4.55,1.24,1.19,1.65,2.36,4.75,2.15,1.62,Stadion Vorskla im. Oleksiya Butovskoho (Poltava),S635F45F97C
1722774600,Aug 04 2024 - 12:30pm,complete,,Obolon-Brovar,Kolos Kovalivka,Vitaliy Romanov,1.0,0.0,0.0,0.86,1.0,2,2,4,0,0,0,"59,67","48,87",9,3,2,0,2,0,0,2,1,1,18,11,8,5,9,6,8,10,51,49,0.0,0.0,2.03,1.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.85,2.7,2.7,1.58,2.48,5.4,9.5,2.25,1.57,Obolon Arena (Kyiv),S63522C5993
1722783600,Aug 04 2024 - 3:00pm,complete,,Zorya,Inhulets,Mykhailo Rayda,1.0,0.0,0.0,1.0,0.42,2,1,3,2,1,1,"16,90'2",29,11,3,0,0,0,0,0,0,0,0,5,3,3,2,1,1,11,9,51,49,0.0,0.0,0.94,0.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.83,3.46,4.07,1.3,1.97,3.3,6.0,1.84,1.92,Stadion Dynamo im. Valeriy Lobanovskyi (Kyiv),S6354FE5E17
1723206600,Aug 09 2024 - 12:30pm,complete,,Livyi Bereh,Vorskla,Roman Blavatskiy,2.0,0.0,0.0,0.5,0.75,0,3,3,0,0,0,,"50,68,90'3",2,6,2,0,2,0,2,0,1,1,6,12,0,4,5,7,12,13,44,56,0.0,0.0,0.67,1.35,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.65,3.1,2.38,1.31,2.0,3.42,6.65,1.81,1.94,Stadion Livyi Bereh (Kyiv),S63536CF1A2
1723215600,Aug 09 2024 - 3:00pm,complete,,Veres Rivne,Dynamo Kyiv,Oleksandr Omelchenko,2.0,1.0,0.0,0.88,3.0,1,2,3,2,0,2,62,"15,44",4,4,5,0,3,0,2,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,8.6,5.01,1.29,0.0,1.67,0.0,0.0,0.0,0.0,Stadion Avanhard (Rivne),S63534F2B6A
1723293000,Aug 10 2024 - 12:30pm,complete,,Chornomorets,Zorya,Dmitriy Evtukhov,2.0,0.0,0.0,1.43,1.5,0,1,1,0,0,0,,50,2,9,2,0,1,0,1,1,0,1,5,8,0,3,5,5,10,10,50,50,0.0,0.0,0.65,1.28,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.5,3.3,1.95,1.21,1.8,2.78,5.05,1.66,2.09,Stadion Chornomorets (Odesa),S6355A23C47
1723302000,Aug 10 2024 - 3:00pm,complete,,Kolos Kovalivka,Inhulets,Oleksandr Afanasiev,2.0,0.0,0.0,1.0,0.42,0,0,0,0,0,0,,,3,2,1,0,0,0,1,0,0,0,8,7,2,0,4,5,12,12,46,54,0.0,0.65,0.72,0.53,1.5,50,50,50,0,0,50,50,0,50,3.0,0.0,2.01,3.35,3.53,1.3,1.98,3.3,6.0,1.79,1.98,Stadion Kolos (Kovalivka),S635FF717D5
1723370400,Aug 11 2024 - 10:00am,complete,,Obolon-Brovar,Rukh Vynnyky,Igor Paskhal,2.0,1.0,0.0,0.86,1.17,0,4,4,1,0,1,,"18,67,87,90",5,3,0,0,1,0,0,0,0,1,12,10,4,6,7,3,13,16,48,52,2.03,0.0,1.38,1.3,2.0,50,50,50,50,0,0,0,50,50,9.0,2.0,3.3,3.2,2.2,1.44,2.35,4.5,8.5,1.97,1.79,Obolon Arena (Kyiv),S63574FC751
1723379400,Aug 11 2024 - 12:30pm,complete,,Karpaty,Hirnyk,Oleksiy Derevinskyi,2.0,0.0,0.0,1.57,1.8,3,0,3,2,2,0,"39,42,80",,1,4,0,0,2,0,0,0,0,2,12,14,5,2,5,12,2,4,50,50,0.0,0.0,1.35,1.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.4,3.4,2.03,1.27,1.94,3.2,6.05,1.77,2.0,Stadion Ukraina (Lviv),S6354957BCF
1723388400,Aug 11 2024 - 3:00pm,complete,,Shakhtar Donetsk,Polessya,Oleksandr Shandor,2.0,0.0,0.0,2.4,2.25,0,1,1,1,0,1,,35,9,6,1,0,3,0,0,1,0,3,15,8,5,4,8,4,9,17,55,45,0.0,0.0,1.71,1.12,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.24,5.4,10.25,1.17,1.6,2.48,4.35,2.12,1.64,Stadion Livyi Bereh (Kyiv),S63523BA481
1723465800,Aug 12 2024 - 12:30pm,complete,,LNZ Cherkasy,Oleksandria,Denis Reznikov,2.0,3.0,0.0,2.17,2.5,0,2,2,0,0,0,,"58,73",3,4,1,0,3,0,0,1,0,3,10,16,6,7,4,7,11,15,52,48,0.57,0.0,1.48,1.75,0.5,0,0,0,0,0,0,0,0,50,2.0,2.0,2.6,2.9,2.9,1.45,2.39,4.55,9.1,2.04,1.69,Cherkasy Arena (Cherkasy),S6355740AC3
1723811400,Aug 16 2024 - 12:30pm,complete,,Chornomorets,Kolos Kovalivka,Klim Zabroda,3.0,0.0,1.0,1.43,1.0,1,0,1,1,1,0,35,,2,4,0,0,2,0,0,0,1,1,5,7,3,3,2,3,11,13,47,53,0.65,1.38,0.7,0.99,2.5,50,50,50,50,0,0,0,50,100,5.0,4.0,3.19,2.89,2.07,1.4,2.01,4.2,7.9,1.95,1.83,Stadion Chornomorets (Odesa),S635D02C577
1723822500,Aug 16 2024 - 3:35pm,complete,,Vorskla,Obolon-Brovar,Sergiy Zadiran,3.0,0.0,0.0,1.0,0.0,2,0,2,1,1,0,"24,69",,4,6,2,0,1,0,0,2,0,1,8,18,4,8,4,9,16,6,43,57,0.48,0.0,1.06,2.15,2.5,0,50,50,50,50,50,50,50,50,4.0,2.0,2.13,3.18,3.72,1.48,2.32,4.6,9.2,2.14,1.67,Stadion Vorskla im. Oleksiya Butovskoho (Poltava),S635374830F
